GENESIS-Tabelle: 31121-03-02-5-B
Baufertigstellungen: Wohnungen in Wohn- und;;;;;;
Nichtwohngebäuden (einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baufertigstellungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01053112;Schönberg;6;3;2;0;1
01053113;Schretstaken;4;1;0;0;3
01053114;Schürensöhlen;3;0;3;0;0
01053115;Schulendorf;-;-;-;-;-
01053116;Schwarzenbek;206;28;96;28;54
01053117;Seedorf;1;0;0;1;0
01053118;Siebenbäumen;4;0;4;-1;1
01053119;Siebeneichen;1;0;0;-1;2
01053120;Sierksrade;2;1;0;0;1
01053121;Sirksfelde;2;0;0;1;1
01053122;Steinhorst;8;0;3;2;3
01053123;Sterley;0;0;0;0;0
01053124;Stubben;2;0;1;0;1
01053125;Talkau;9;3;3;0;3
01053126;Tramm;2;0;0;1;1
01053127;Walksfelde;2;0;0;1;1
01053128;Wangelau;-;-;-;-;-
01053129;Wentorf bei Hamburg;9;0;0;1;8
01053130;Wentorf (Amt Sandesneben);8;0;1;0;7
01053131;Wiershop;4;0;0;0;4
01053132;Witzeeze;-;-;-;-;-
01053133;Wohltorf;6;0;0;2;4
01053134;Woltersdorf;3;2;1;0;0
01053135;Worth;0;0;0;0;0
01053136;Ziethen;3;1;0;0;2
01054001;Achtrup;2;0;0;-2;4
01054002;Ahrenshöft;2;0;0;1;1
01054003;Ahrenviöl;7;0;2;3;2
01054004;Ahrenviölfeld;1;0;0;1;0
01054005;Alkersum;0;0;0;0;0
01054006;Almdorf;4;0;1;1;2
01054007;Arlewatt;1;0;0;0;1
01054009;Aventoft;1;0;0;0;1
01054010;Bargum;6;0;1;0;5
01054011;Behrendorf;8;0;1;6;1
01054012;Bohmstedt;0;0;-1;-1;2
01054013;Bondelum;-;-;-;-;-
01054014;Bordelum;11;0;3;3;5
01054015;Borgsum;2;0;0;1;1
01054016;Bosbüll;1;0;0;0;1
01054017;Braderup;2;0;1;1;0
01054018;Bramstedtlund;-;-;-;-;-
01054019;Bredstedt;62;21;28;8;5
01054020;Breklum;13;-1;8;1;5
01054022;Dagebüll;5;1;2;0;2
01054023;Drage;0;0;0;0;0
01054024;Drelsdorf;8;1;0;2;5
01054025;Dunsum;-;-;-;-;-
01054026;Elisabeth-Sophien-Koog;-;-;-;-;-
01054027;Ellhöft;-;-;-;-;-
01054032;Fresendelf;-;-;-;-;-
01054033;Friedrichstadt;11;2;0;4;5
01054034;Friedrich-Wilhelm-Lübke-Koog;0;0;0;0;0
01054035;Garding, Kirchspiel;0;0;-1;-1;2
01054036;Garding;7;0;0;4;3
01054037;Goldebek;-;-;-;-;-
01054038;Goldelund;2;1;0;0;1
01054039;Gröde;-;-;-;-;-
01054040;Grothusenkoog;0;0;0;0;0
01054041;Haselund;6;0;0;1;5
01054042;Hattstedt;9;0;2;2;5
