GENESIS-Tabelle: 31231-01-02-5-B
Wohngebäude- und Wohnungsbestand - Stichtag 31.12. -;;;;;;;;;;;;;;
regionale Ebenen (bis 2010);;;;;;;;;;;;;;
Fortschreib. d. Wohngebäude- u. Wohnungsbestandes;;;;;;;;;;;;;;
31.12.2010;;;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohnfläche in Wohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Wohnungen in Wohn- und Nichtwohngebäuden;Räume in Wohnungen mit 7 oder mehr Räumen
;;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;Gebäude nach Anzahl der Wohnungen;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;
;;Insgesamt;1 Wohnung;2 Wohnungen;;Insgesamt;Wohnungen mit 1 Raum;Wohnungen mit 2 Räumen;Wohnungen mit 3 Räumen;Wohnungen mit 4 Räumen;Wohnungen mit 5 Räumen;Wohnungen mit 6 Räumen;Wohnungen mit 7 Räumen oder mehr;
;;Anzahl;Anzahl;Anzahl;1000 qm;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13054121;Zarrentin am Schaalsee, Stadt;1246;923;170;180,7;2207;12;123;559;686;487;206;134;1011
13054122;Zierzow;145;98;41;19,7;212;0;7;28;58;75;30;14;108
13054123;Zülow;53;45;6;6,1;67;0;3;11;18;21;9;5;37
13054124;Wittendörp;889;722;122;109,1;1188;6;44;193;324;297;194;130;983
13054125;Grebs-Niendorf;217;166;42;28,5;305;0;6;37;79;84;61;38;295
13054126;Lüttow-Valluhn;200;155;32;26,5;292;0;11;68;63;65;51;34;267
13054127;Bengerstorf;186;159;19;20,8;238;3;13;35;72;57;44;14;102
13055002;Beseritz;58;52;3;6,0;72;0;2;12;28;15;9;6;44
13055003;Blankenhof;213;181;15;27,9;321;0;13;67;88;85;47;21;158
13055004;Blankensee;525;422;63;63,7;787;6;42;143;270;185;89;52;390
13055005;Blumenholz;254;215;32;28,6;308;3;4;50;98;77;50;26;201
13055008;Brunn;360;309;29;42,8;511;6;21;82;160;121;80;41;302
13055009;Burg Stargard, Stadt;1277;931;178;184,7;2280;17;158;514;672;503;286;130;982
13055010;Cammin;108;94;10;11,7;139;1;10;34;49;24;17;4;28
13055011;Carpin;276;218;39;34,5;396;0;17;79;114;83;63;40;309
13055012;Cölpin;236;174;27;38,8;513;1;4;107;188;151;45;17;123
13055020;Friedland, Stadt;1343;835;131;262,5;3953;58;265;1221;1554;552;208;95;706
13055021;Genzkow;64;49;10;7,3;95;4;6;18;31;29;4;3;23
13055022;Glienke;49;37;8;6,7;67;0;1;9;25;15;10;7;54
13055023;Godendorf;71;55;14;8,0;95;0;2;16;41;12;19;5;37
13055028;Groß Nemerow;342;276;46;45,5;493;5;16;85;125;132;95;35;263
13055029;Grünow;121;97;16;13,3;163;0;8;30;59;44;17;5;41
13055032;Hohenzieritz;173;131;27;22,6;270;4;3;63;83;59;40;18;127
13055033;Holldorf;240;205;26;30,2;307;0;14;36;81;100;48;28;207
13055035;Klein Vielen;219;185;24;24,3;295;2;17;39;97;79;43;18;141
13055037;Kratzeburg;165;116;41;21,1;258;0;16;55;86;61;21;19;140
13055039;Kublank;75;56;12;9,7;126;0;7;32;43;26;10;8;59
13055043;Mildenitz;178;157;15;19,3;250;18;19;51;64;55;30;13;93
13055044;Mirow, Stadt;1079;747;174;151,0;1944;29;72;446;693;429;191;84;634
13055045;Möllenbeck;247;201;27;30,0;372;2;29;90;117;79;37;18;138
13055046;Neddemin;109;90;10;13,2;151;4;6;36;35;28;32;10;72
13055047;Neetzka;83;67;9;11,0;137;0;10;41;40;17;18;11;89
13055049;Neuenkirchen;362;300;47;47,4;508;4;11;89;127;155;76;46;333
13055050;Neustrelitz, Stadt;3424;1671;421;817,5;12009;61;759;3469;4849;1868;697;306;2254
13055051;Neverin;330;289;21;42,6;468;6;10;85;110;149;78;30;219
13055053;Petersdorf;50;42;3;5,9;80;0;2;35;23;10;7;3;23
13055054;Pragsdorf;129;104;8;20,4;268;12;7;65;82;66;28;8;60
13055055;Priepert;109;79;19;14,6;177;5;13;44;44;44;15;12;91
13055058;Roggentin;244;190;40;31,5;337;0;20;37;97;98;55;30;223
13055061;Schönbeck;188;155;21;22,9;262;8;10;51;76;66;37;14;112
13055062;Schönhausen;110;95;6;12,5;167;1;13;39;61;37;13;3;28
13055066;Staven;144;112;14;19,1;258;4;16;64;84;60;21;9;72
13055068;Teschendorf;-;-;-;-;-;-;-;-;-;-;-;-;-
13055069;Trollenhagen;249;214;28;32,8;323;1;10;36;68;98;81;29;231
13055070;Userin;245;197;38;29,2;312;2;20;53;68;77;47;45;349
13055071;Voigtsdorf;45;40;1;5,6;70;0;1;15;23;20;6;5;37
13055074;Wesenberg,Stadt;791;503;142;125,4;1671;34;145;401;562;286;163;80;610
13055076;Woggersin;166;156;9;20,0;181;1;0;9;28;80;48;15;108
13055078;Woldegk, Stadt;1037;744;137;151,1;2031;19;110;539;726;382;177;78;572
13055079;Wulkenzin;393;325;49;51,1;533;1;28;81;106;148;117;52;391
13055080;Wustrow;222;148;47;29,5;371;2;23;82;142;60;44;18;135
13055081;Zirzow;101;87;10;11,5;142;4;13;28;35;31;24;7;50
13055082;Feldberger Seenlandschaft;1457;1074;218;202,1;2499;38;228;532;728;467;310;196;1462
13055083;Groß Miltzow;420;357;26;49,5;672;15;37;164;248;142;50;16;123
13055084;Helpt;160;136;13;16,1;219;0;7;71;74;41;18;8;59
13055085;Eichhorst;189;167;9;21,2;258;5;14;46;84;73;28;8;58
13055086;Wokuhl-Dabelow;203;156;35;24,5;286;0;11;62;97;58;46;12;91
13055087;Lindetal;404;336;31;47,7;619;3;35;173;203;127;58;20;162
13055088;Datzetal;308;270;16;37,4;452;13;25;69;138;103;73;31;240
13055089;Galenbeck;422;318;52;57,8;737;2;70;152;249;157;70;37;282
13055090;Sponholz;236;189;27;29,8;355;1;8;79;112;92;45;18;137
13056004;Alt Schwerin;197;169;13;22,7;288;4;15;63;85;76;26;19;142
13056005;Altenhof;123;102;8;15,9;200;0;8;32;79;59;15;7;49
13056006;Ankershagen;216;171;15;27,7;366;13;37;79;113;78;33;13;93
13056007;Bollewick;230;182;35;28,1;336;14;25;75;81;74;44;23;176
13056008;Buchholz;71;56;14;8,8;106;2;10;26;25;21;15;7;57
13056009;Bütow;150;127;8;16,6;243;1;18;54;76;72;15;7;51
13056010;Fincken;229;204;18;25,9;287;2;8;53;94;78;30;22;164
13056011;Göhren-Lebbin;432;301;73;52,9;724;31;198;151;181;85;52;26;192
13056012;Gotthun;104;94;5;11,9;135;2;9;22;33;44;19;6;46
13056013;Grabow-Below;41;24;12;5,6;75;0;3;24;29;13;3;3;21
13056014;Grabowhöfe;307;225;57;40,8;500;4;34;89;161;122;60;30;231
13056015;Groß Dratow;141;127;11;13,9;171;0;3;52;54;41;14;7;51
13056016;Groß Flotow;-;-;-;-;-;-;-;-;-;-;-;-;-
13056017;Groß Gievitz;165;130;19;23,5;256;1;26;44;69;60;40;16;135
13056018;Groß Kelle;45;39;3;4,6;65;0;3;11;28;15;7;1;7
13056019;Groß Plasten;236;197;21;28,9;361;0;28;80;122;82;34;15;110
13056020;Groß Vielen;-;-;-;-;-;-;-;-;-;-;-;-;-
13056022;Hinrichshagen;54;43;7;7,3;86;0;3;23;28;14;10;8;60
13056023;Hohen Wangelin;148;106;13;26,1;361;0;25;76;128;78;37;17;131
13056024;Jabel;187;143;27;24,2;280;0;10;59;95;73;27;16;122
13056025;Jaebetz;-;-;-;-;-;-;-;-;-;-;-;-;-
13056026;Kambs;-;-;-;-;-;-;-;-;-;-;-;-;-
13056027;Kargow;234;183;33;30,0;350;3;32;43;126;79;43;24;177
13056028;Kieve;72;57;15;8,2;91;1;1;13;32;22;13;9;66
13056029;Klein Lukow;73;54;10;9,9;133;1;6;30;50;30;13;3;24
13056030;Klink;313;218;55;49,3;581;2;44;132;187;112;71;33;249
13056031;Klocksin;145;111;22;17,1;215;1;9;53;76;57;15;4;29
13056033;Krukow;66;56;5;8,9;93;0;13;12;21;23;14;10;71
13056035;Lapitz;55;40;12;6,4;75;0;4;16;20;23;10;2;14
13056036;Lärz;222;179;27;28,5;345;1;12;109;107;76;25;15;115
13056037;Leizen;185;140;38;23,3;257;1;21;60;85;50;25;15;111
13056039;Ludorf;168;127;25;22,1;272;12;23;64;75;49;18;31;225
13056041;Malchow, Stadt;1591;932;280;266,1;3817;75;427;923;1462;583;247;100;765
13056042;Mallin;106;81;11;13,8;180;1;16;46;68;32;15;2;14
13056043;Marihn;-;-;-;-;-;-;-;-;-;-;-;-;-
13056044;Massow;89;81;7;9,1;104;7;4;13;18;28;25;9;65
13056045;Melz;128;102;19;15,4;174;0;8;32;57;45;18;14;104
13056047;Möllenhagen;491;360;57;72,7;1010;28;49;253;358;207;77;38;284
13056048;Mollenstorf;-;-;-;-;-;-;-;-;-;-;-;-;-
13056049;Moltzow;126;100;14;14,9;205;0;14;56;78;41;13;3;23
13056050;Neu Gaarz;40;31;5;4,4;66;1;1;27;25;11;1;0;0
13056051;Nossentiner Hütte;295;253;24;32,0;405;0;41;115;104;80;40;25;186
13056052;Penkow;96;82;7;11,7;138;2;11;25;36;41;12;11;84
13056053;Penzlin, Stadt;1073;747;167;153,0;2007;8;135;515;684;392;189;84;655
13056054;Priborn;106;75;14;17,5;237;11;13;62;75;49;19;8;61
13056055;Puchow;53;43;8;5,3;72;0;5;18;14;22;11;2;15
13056056;Rechlin;773;581;91;104,3;1460;21;102;330;537;333;105;32;226
13056057;Röbel/Müritz, Stadt;1314;821;224;213,7;3025;33;256;869;1007;533;207;120;895
13056060;Schloen;134;103;22;18,6;206;0;8;37;55;63;24;19;141
13056061;Schwarz;166;134;26;19,1;217;0;8;32;73;59;30;15;111
13056062;Schwinkendorf;208;174;16;25,7;313;0;21;64;89;91;31;17;125
13056063;Sietow;209;158;32;29,2;323;9;19;71;78;73;40;33;260
13056064;Silz;159;119;29;18,6;215;4;0;42;81;52;30;6;43
13056065;Stuer;142;122;8;14,7;220;19;9;62;76;34;12;8;60
13056066;Torgelow am See;142;119;16;18,1;202;2;16;28;50;55;35;16;122
13056067;Varchentin;111;95;9;13,4;161;0;8;35;62;28;16;12;89
13056068;Vielist;152;118;21;19,9;244;6;16;55;60;57;29;21;152
13056069;Vipperow;151;108;25;20,6;244;9;25;44;76;42;34;14;104
13056070;Vollrathsruhe;171;136;17;19,4;267;2;16;72;95;58;13;11;83
13056071;Walow;164;143;8;20,9;256;1;16;62;71;60;34;12;85
13056072;Waren (Müritz), Stadt;3769;2237;536;789,0;11737;212;1194;3202;4074;2033;682;340;2523
13056073;Wredenhagen;182;143;30;23,6;267;3;11;45;87;54;42;25;182
13056074;Zepkow;68;47;17;8,6;97;0;2;18;38;24;11;4;32
13056075;Zislow;103;89;6;10,8;139;1;21;30;45;30;4;8;65
13056076;Fünfseen;432;338;66;55,1;684;1;25;176;220;146;62;54;404
13056077;Lansen-Schönau;170;141;21;20,1;241;7;12;58;73;51;29;11;84
13057002;Ahrenshoop;414;337;55;49,3;606;14;91;104;142;105;96;54;416
13057005;Altenpleen;288;235;23;35,5;441;0;16;94;168;82;47;34;248
13057006;Bad Sülze, Stadt;546;380;68;76,5;1044;8;56;255;346;238;101;40;293
13057008;Bartelshagen II b. Barth;172;145;21;18,0;215;1;15;51;65;41;28;14;105
13057009;Barth, Stadt;2104;1473;238;320,5;4823;145;312;1163;1803;949;331;120;884
13057011;Behnkendorf;-;-;-;-;-;-;-;-;-;-;-;-;-
13057013;Born a. Darß;573;454;89;67,9;777;18;72;139;210;171;99;68;531
13057014;Brandshagen;-;-;-;-;-;-;-;-;-;-;-;-;-
13057020;Dettmannsdorf;345;264;43;46,1;572;0;30;97;220;134;69;22;163
13057021;Deyelsdorf;198;159;26;24,0;290;2;11;61;107;67;23;19;139
13057022;Dierhagen;747;614;93;84,9;1032;20;89;200;265;230;127;101;788
13057024;Drechow;99;78;10;12,6;163;0;9;47;36;39;19;13;102
13057026;Eixen;290;249;23;32,2;385;0;23;88;130;79;46;19;139
13057027;Elmenhorst;250;199;29;29,6;358;1;17;82;115;90;30;23;180
13057028;Franzburg, Stadt;470;339;55;67,3;947;8;61;228;335;224;61;30;222
13057029;Fuhlendorf;387;364;19;38,7;422;4;16;66;127;130;49;30;231
13057030;Glewitz;253;205;23;28,9;387;1;17;90;135;102;26;16;125
13057031;Grammendorf;223;190;16;28,0;351;0;18;65;102;89;53;24;178
13057032;Gransebieth;251;218;24;27,3;319;0;17;42;108;99;28;25;183
13057036;Grimmen, Stadt;2175;1461;218;404,0;6047;16;426;2711;1611;745;356;182;1375
13057037;Groß Kordshagen;132;113;12;15,6;184;2;4;45;45;34;34;20;150
13057038;Groß Mohrdorf;214;161;34;30,8;349;0;11;72;104;86;51;25;181
13057039;Horst;-;-;-;-;-;-;-;-;-;-;-;-;-
13057040;Hugoldsdorf;66;55;4;7,6;109;0;10;41;28;16;8;6;47
13057041;Jakobsdorf;188;155;21;20,6;250;0;14;68;85;53;17;13;96
13057043;Karnin;99;93;3;10,3;123;0;5;31;38;28;10;11;82
13057046;Kirchdorf;-;-;-;-;-;-;-;-;-;-;-;-;-
13057047;Klausdorf;147;115;14;22,4;267;1;10;69;73;64;26;24;190
13057049;Kramerhof;394;339;34;59,9;689;49;23;65;156;203;147;46;350
13057051;Kummerow;127;104;13;15,5;187;1;16;35;45;59;18;13;99
13057054;Löbnitz;239;199;21;27,0;350;0;12;67;115;98;39;19;138
13057055;Lüdershagen;193;165;19;22,4;259;1;10;51;80;64;29;24;179
13057056;Lüssow;231;195;21;29,2;316;0;7;55;82;89;56;27;195
13057057;Marlow, Stadt;1632;1311;203;192,9;2315;15;99;449;694;597;296;165;1228
13057059;Miltzow;-;-;-;-;-;-;-;-;-;-;-;-;-
13057060;Neu Bartelshagen;131;115;9;14,3;183;3;6;59;36;36;18;25;187
13057062;Niepars;566;432;88;72,6;879;6;27;165;304;231;94;52;379
13057064;Pantelitz;223;192;16;26,6;304;2;9;80;72;67;44;30;230
13057065;Papenhagen;222;192;20;24,9;277;2;5;38;110;72;36;14;106
13057067;Preetz;274;233;30;37,7;404;0;9;91;101;116;57;30;228
13057068;Prerow;751;543;111;100,2;1280;17;152;269;345;252;144;101;773
13057069;Prohn;396;298;37;64,5;852;2;111;267;169;169;91;43;324
13057070;Pruchten;278;250;22;31,0;317;1;12;52;87;75;60;30;220
13057073;Reinberg;-;-;-;-;-;-;-;-;-;-;-;-;-
13057074;Ribnitz-Damgarten, Stadt;3544;2479;501;578,8;8394;120;633;2070;3005;1685;620;261;1945
13057075;Richtenberg, Stadt;464;340;65;59,5;789;0;71;180;269;157;75;37;270
13057076;Saal;432;373;30;49,7;605;2;15;133;193;146;81;35;257
13057077;Schlemmin;96;78;10;11,1;141;1;13;30;47;28;12;10;75
13057079;Semlow;224;165;25;32,1;416;2;17;115;117;103;37;25;193
13057081;Splietsdorf;204;172;18;24,2;287;1;8;51;117;69;30;11;81
13057083;Steinhagen;815;696;83;101,5;1059;6;48;156;216;339;207;87;644
13057085;Tribsees, Stadt;866;624;111;117,7;1715;3;91;569;618;278;114;42;320
13057086;Trinwillershagen;402;331;41;48,7;588;5;19;122;182;144;78;38;284
13057087;Velgast;556;416;42;76,3;1063;10;47;270;392;219;80;45;337
13057088;Weitenhagen;92;67;12;11,5;153;5;15;41;32;37;16;7;52
13057089;Wendisch Baggendorf;205;184;15;21,9;251;0;10;48;72;67;44;10;75
13057090;Wendorf;235;204;28;27,6;289;0;8;31;63;91;69;27;200
13057091;Wieck a. Darß;359;312;32;41,9;460;11;26;74;115;106;72;56;414
13057092;Wilmshagen;-;-;-;-;-;-;-;-;-;-;-;-;-
13057093;Wittenhagen;383;310;27;47,3;616;1;25;116;201;157;83;33;243
13057094;Wustrow;466;312;114;61,2;744;29;73;160;169;140;94;79;595
13057095;Zarrendorf;372;319;41;42,9;444;3;9;63;120;131;76;42;306
13057096;Zingst;1394;1036;171;197,9;2708;91;409;753;643;439;213;160;1206
13057097;Süderholz;1358;1138;137;166,7;1934;7;52;410;527;522;283;133;983
13057098;Divitz-Spoldershagen;182;171;5;18,2;215;1;15;66;55;52;12;14;108
13057099;Gremersdorf-Buchholz;285;250;15;31,5;395;0;15;118;122;83;35;22;162
13057100;Millienhagen-Oebelitz;139;122;10;14,5;191;0;8;56;57;44;15;11;81
13057101;Kenz-Küstrow;193;150;24;23,2;277;1;31;51;93;64;21;16;125
13057102;Ahrenshagen-Daskow;625;499;97;75,9;848;4;22;124;235;265;130;68;506
13057103;Lindholz;258;217;26;28,3;345;0;19;83;106;90;32;15;109
13057104;Sundhagen;1702;1395;140;207,1;2594;13;137;634;936;495;252;127;964
13058001;Alt Meteln;373;297;52;50,3;542;0;13;98;144;150;81;56;415
13058003;Bad Kleinen;969;714;100;149,8;1951;4;118;372;678;518;173;88;651
13058004;Badow;-;-;-;-;-;-;-;-;-;-;-;-;-
13058005;Barnekow;243;222;10;29,4;306;0;7;44;61;109;61;24;179
13058007;Benz;190;152;18;23,5;287;16;6;71;83;77;23;11;84
13058008;Bernstorf;107;87;9;13,8;148;0;5;18;53;36;17;19;151
13058009;Bibow;104;80;13;13,1;156;0;6;35;41;46;21;7;51
13058010;Blowatz;349;283;42;44,6;570;3;25;117;205;139;51;30;224
13058012;Boiensdorf;211;155;40;27,1;316;0;28;64;95;78;34;17;128
13058014;Boltenhagen;723;472;124;141,2;1988;24;276;607;537;307;159;78;615
13058015;Börzow;204;172;22;23,5;264;3;2;35;67;99;40;18;138
13058016;Brüsewitz;681;587;52;92,8;1014;1;28;173;287;289;174;62;459
13058018;Carlow;345;263;53;46,8;543;1;25;106;157;141;78;35;258
13058019;Cramonshagen;194;169;18;24,8;243;1;5;30;49;87;45;26;196
13058020;Dalberg-Wendelstorf;228;190;32;29,6;304;0;4;64;76;85;47;28;209
13058021;Damshagen;-;-;-;-;-;-;-;-;-;-;-;-;-
13058022;Dassow, Stadt;1394;1086;215;166,1;2036;9;63;435;602;581;242;104;776
13058023;Dechow;64;56;4;7,8;89;0;3;15;31;19;17;4;30
13058025;Dorf Mecklenburg;743;592;77;102,8;1207;0;48;235;354;300;174;96;738
13058026;Dragun;263;215;30;34,0;377;1;30;76;91;89;57;33;249
13058028;Gadebusch, Stadt;1222;798;175;215,2;3010;13;133;805;1149;563;228;119;895
13058029;Gägelow;705;567;76;99,7;1119;14;42;174;280;344;186;79;597
13058030;Glasin;309;265;32;35,3;400;1;15;64;118;105;70;27;205
13058031;Gottesgabe;246;201;31;30,6;329;1;4;52;95;91;56;30;221
13058032;Grambow;259;225;26;32,4;338;1;15;79;47;87;75;34;264
13058034;Grevesmühlen, Stadt;2525;1834;287;375,7;5331;55;415;1173;1922;1143;436;187;1392
13058035;Grieben;43;24;12;6,1;80;0;3;9;36;13;14;5;36
13058038;Groß Molzahn;101;83;7;13,2;167;3;1;46;53;40;15;9;64
13058041;Groß Siemz;88;67;11;11,3;132;0;9;24;39;29;19;12;87
13058042;Groß Stieten;134;86;1;27,5;443;0;30;122;237;27;16;11;84
13058045;Hanshagen;118;93;14;16,4;181;1;5;32;50;50;21;22;163
13058047;Hohen Viecheln;220;162;43;28,2;317;1;7;66;94;73;40;36;267
13058048;Holdorf;137;121;13;15,8;175;0;6;45;40;61;15;8;60
13058049;Hornstorf;279;216;39;38,9;437;3;23;86;137;106;56;26;190
13058050;Insel Poel;1082;805;154;155,5;2068;36;279;505;613;330;189;116;865
13058051;Jesendorf;147;111;21;18,6;224;0;1;51;64;66;23;19;145
13058053;Klein Trebbow;269;212;38;33,1;373;0;20;113;67;89;46;38;280
13058054;Klütz, Stadt;864;641;115;113,9;1430;2;71;286;419;406;155;91;693
13058055;Kneese;108;84;16;13,1;148;0;3;23;38;49;25;10;72
13058056;Köchelstorf;126;108;9;15,2;180;0;5;36;53;50;25;11;77
13058058;Krembz;304;246;36;37,1;429;0;13;75;131;116;61;33;240
13058059;Krusenhagen;174;144;18;23,5;237;3;8;41;43;75;44;23;169
13058060;Lockwisch;107;81;18;14,2;160;8;6;21;46;39;23;17;130
13058062;Lübberstorf;79;58;10;10,6;129;1;2;16;64;21;13;12;90
13058063;Lübow;537;461;49;68,9;729;4;19;83;197;233;115;78;581
13058064;Lübstorf;552;455;58;71,1;759;3;27;106;199;219;122;83;616
13058065;Lüdersdorf;1213;998;131;173,9;1902;5;49;318;499;539;345;147;1085
13058066;Lützow;458;378;62;59,7;646;0;21;78;179;180;117;71;542
13058067;Mallentin;188;144;20;25,6;324;1;2;64;107;98;34;18;137
13058068;Menzendorf;80;58;12;9,3;123;0;5;24;49;23;15;7;55
13058069;Metelsdorf;160;139;11;19,0;207;1;8;22;67;54;39;16;123
13058071;Mühlen Eichsen;342;272;53;41,6;498;2;23;131;105;111;89;37;281
13058072;Nesow;75;67;6;7,8;92;0;3;12;27;22;23;5;35
13058073;Neuburg;653;513;76;86,6;1064;2;36;206;385;249;124;62;451
13058074;Neukloster, Stadt;838;514;121;145,9;2079;18;112;460;824;379;203;83;628
13058075;Niendorf;87;59;14;12,7;148;3;4;28;38;45;18;12;91
13058076;Papenhusen;108;87;15;12,8;141;1;3;21;32;44;28;12;97
13058078;Passee;87;77;3;9,4;112;0;5;19;36;26;19;7;53
13058079;Perlin;125;104;13;15,6;171;0;15;22;39;48;35;12;91
13058080;Pingelshagen;239;219;14;28,6;270;0;7;17;43;128;44;31;242
13058081;Plüschow;152;109;29;21,3;243;1;13;40;66;68;35;20;154
13058082;Pokrent;182;148;28;24,9;263;2;15;36;61;74;48;27;203
13058084;Rehna, Stadt;700;466;104;108,5;1504;14;69;387;516;335;132;51;384
13058085;Renzow;-;-;-;-;-;-;-;-;-;-;-;-;-
13058086;Rieps;106;75;22;14,9;159;0;2;24;46;49;27;11;78
13058087;Roduchelstorf;78;63;11;9,9;112;2;6;18;29;24;23;10;74
13058088;Roggendorf;315;238;45;43,3;538;0;30;110;190;106;80;22;162
13058089;Roggenstorf;176;147;22;18,6;220;0;4;28;70;65;36;17;125
13058090;Rögnitz;90;77;11;10,3;106;0;6;31;25;29;10;5;43
13058091;Rüting;153;125;20;20,1;223;0;0;32;61;63;46;21;164
13058092;Schimm;-;-;-;-;-;-;-;-;-;-;-;-;-
13058093;Schlagsdorf;287;225;35;42,3;481;2;12;101;120;138;68;40;301
13058094;Schönberg, Stadt;901;525;172;150,0;2080;17;148;492;740;443;159;81;595
13058095;Seehof;370;316;45;47,8;450;6;8;51;87;164;76;58;437
13058096;Selmsdorf;740;592;106;102,0;1152;4;55;221;307;344;168;53;391
13058098;Testorf-Steinfort;213;179;24;24,4;280;0;7;59;101;64;26;23;176
13058099;Thandorf;45;28;10;7,0;85;0;4;18;27;19;11;6;45
13058100;Upahl;214;174;22;28,6;329;2;11;58;99;90;46;23;177
13058101;Utecht;96;79;12;12,5;123;0;0;19;37;42;18;7;51
13058102;Veelböken;241;203;22;28,5;348;2;23;60;102;89;46;26;191
13058103;Ventschow;172;116;10;28,9;428;5;32;104;182;61;29;15;111
13058104;Vitense;103;85;13;12,5;134;0;3;20;32;45;17;17;132
13058105;Warin, Stadt;1017;706;166;145,1;1948;39;120;446;633;392;214;104;775
13058106;Warnow;215;174;28;26,9;295;5;11;50;64;74;52;39;303
13058107;Wedendorf;96;81;9;10,9;131;0;6;24;43;28;16;14;103
13058108;Zickhusen;211;191;16;25,5;245;0;4;34;64;76;41;26;194
13058109;Zierow;241;196;28;32,3;345;3;15;46;85;102;67;27;199
13058110;Zurow;488;431;28;55,5;670;1;36;144;197;172;83;37;277
13058111;Züsow;132;111;12;14,9;181;0;4;47;63;36;16;15;110
13058112;Moor-Rolofshagen;-;-;-;-;-;-;-;-;-;-;-;-;-
13058113;Kalkhorst;698;594;54;81,6;965;5;26;178;317;221;151;67;530
13058114;Bobitz;822;662;79;102,0;1278;1;50;264;437;288;151;87;635
13058115;Königsfeld;355;296;42;41,8;464;0;10;55;148;155;64;32;240
13058116;Hohenkirchen;487;386;56;60,9;762;8;49;171;237;178;72;47;352
13058117;Schildetal;265;230;26;29,0;340;1;7;42;118;103;42;27;195
13058118;Damshagen;383;307;47;47,2;588;1;24;139;177;136;69;42;314
13059002;Anklam, Stadt;2642;1433;373;518,4;8441;22;763;2777;3125;1173;410;171;1267
13059003;Bandelin;195;149;17;27,0;350;1;10;88;129;78;25;19;138
13059005;Bargischow;126;103;15;16,2;182;0;12;42;47;47;22;12;91
13059006;Behrenhoff;249;202;33;29,4;330;3;12;65;100;89;38;23;165
13059007;Benz;403;345;44;47,1;596;43;64;110;165;114;68;32;248
13059008;Blesewitz;95;80;4;11,1;146;3;6;39;40;46;6;6;43
13059009;Boldekow;195;167;16;21,8;285;3;12;86;89;62;22;11;83
13059011;Brünzow;235;192;31;28,4;324;8;17;52;103;94;33;17;122
13059012;Buddenhagen;151;134;15;14,8;175;0;7;33;46;45;27;17;121
13059013;Bugewitz;136;115;18;16,0;175;0;8;44;53;45;16;9;69
13059014;Buggenhagen;86;63;12;10,4;131;0;8;39;39;27;11;7;51
13059015;Butzow;155;126;26;19,0;200;0;8;20;47;66;36;23;170
13059016;Dargelin;133;110;11;15,3;185;0;13;36;67;44;16;9;71
13059017;Dargen;197;144;44;24,9;267;1;12;49;72;64;49;20;148
13059018;Dersekow;328;278;32;39,6;450;7;21;83;130;124;61;24;173
13059019;Diedrichshagen;152;139;11;19,1;189;0;6;22;42;66;32;21;160
13059020;Drewelow;-;-;-;-;-;-;-;-;-;-;-;-;-
13059021;Ducherow;770;583;89;99,5;1338;29;80;315;466;245;129;74;544
13059022;Garz;86;67;15;9,2;115;0;11;28;40;18;10;8;58
13059023;Gribow;58;44;7;8,4;117;0;7;33;49;17;9;2;14
13059025;Groß Kiesow;461;392;44;55,1;610;1;35;135;119;162;109;49;355
13059027;Groß Polzin;216;195;14;21,2;266;0;18;65;82;60;27;14;104
13059028;Gützkow, Stadt;777;586;92;109,7;1423;3;75;345;521;286;123;70;530
13059029;Hanshagen;295;249;32;37,0;386;1;10;51;97;130;62;35;257
13059031;Hinrichshagen;277;247;24;32,5;319;1;5;33;63;125;64;28;204
13059032;Hohendorf;309;254;39;37,4;410;0;9;77;108;100;64;52;401
13059033;Iven;83;76;3;9,6;110;0;5;24;21;36;14;10;72
13059034;Japenzin;-;-;-;-;-;-;-;-;-;-;-;-;-
13059036;Kamminke;142;120;18;12,8;176;0;11;48;52;36;19;10;71
13059037;Karlsburg;320;260;18;54,7;703;21;66;155;206;155;69;31;242
13059038;Karlshagen;721;453;50;144,9;2193;77;222;592;820;354;97;31;227
13059039;Katzow;202;173;20;23,6;260;3;10;58;58;72;38;21;162
13059040;Kemnitz;338;287;29;41,8;459;3;8;95;118;129;76;30;216
13059041;Klein Bünzow;255;200;32;30,6;380;5;14;57;139;95;37;33;239
13059042;Kölzin;118;97;12;13,6;158;0;9;27;61;35;19;7;56
13059043;Korswandt;185;145;35;20,7;247;3;16;46;81;51;30;20;149
13059044;Koserow;612;387;121;91,2;1275;17;156;453;283;163;120;83;634
13059045;Krien;283;230;32;35,0;446;2;22;111;155;97;33;26;195
13059046;Kröslin;676;565;92;77,3;847;2;47;143;250;221;115;69;503
