GENESIS-Tabelle: 31211-05-01-5-B
Wohngebäude nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01056008;Bokholt-Hanredder;417;373;32;12;-;-
01056009;Borstel-Hohenraden;689;568;85;29;4;3
01056010;Brande-Hörnerkirchen;475;390;60;25;-;-
01056011;Bullenkuhlen;97;84;6;7;-;-
01056013;Ellerbek;1403;1185;151;49;18;-
01056014;Ellerhoop;440;366;59;15;-;-
01056015;Elmshorn;10579;7603;1161;1039;656;120
01056016;Groß Nordende;204;161;22;21;-;-
01056017;Groß Offenseth-Aspern;92;73;10;9;-;-
01056018;Halstenbek;4606;3890;316;235;134;31
01056019;Haselau;359;293;45;18;3;-
01056020;Haseldorf;558;464;65;29;-;-
01056021;Hasloh;1019;839;97;76;7;-
01056022;Heede;219;173;34;12;-;-
01056023;Heidgraben;817;699;83;35;-;-
01056024;Heist;958;823;95;40;-;-
01056025;Helgoland;585;341;146;98;0;-
01056026;Hemdingen;462;364;72;26;-;-
01056027;Hetlingen;473;387;69;14;3;-
01056028;Holm;950;809;94;32;15;-
01056029;Klein Nordende;1052;906;119;27;-;-
01056030;Klein Offenseth-Sparrieshoop;883;757;89;33;4;-
01056031;Kölln-Reisiek;926;797;74;40;15;-
01056032;Kummerfeld;691;611;53;21;6;-
01056033;Seester;299;250;36;13;-;-
01056034;Langeln;163;123;37;3;-;-
01056035;Lutzhorn;229;167;44;18;-;-
01056036;Moorrege;1397;1221;114;53;9;-
01056037;Neuendeich;166;147;19;-;-;-
01056038;Osterhorn;121;96;19;3;3;-
01056039;Pinneberg;8910;6994;564;714;507;131
01056040;Prisdorf;722;608;86;28;-;-
01056041;Quickborn;5534;4563;483;287;161;40
01056042;Raa-Besenbek;193;165;22;6;-;-
01056043;Rellingen;4070;3322;376;253;113;6
01056044;Schenefeld, Stadt;4225;3209;367;360;209;80
01056045;Seestermühe;364;316;41;7;-;-
01056046;Seeth-Ekholt;253;205;39;9;-;-
01056047;Tangstedt;677;542;76;52;7;-
01056048;Tornesch;3595;2985;339;188;59;24
01056049;Uetersen;4363;3401;327;445;164;26
01056050;Wedel;6647;4871;536;654;484;102
01056051;Westerhorn;414;334;58;22;-;-
01057001;Ascheberg (Holstein);983;832;89;56;3;3
01057002;Barmissen;45;45;-;-;-;-
01057003;Barsbek;185;145;24;13;3;-
01057004;Behrensdorf (Ostsee);317;251;38;25;3;-
01057005;Belau;147;137;10;-;-;-
01057006;Bendfeld;89;72;13;4;-;-
01057007;Blekendorf;647;531;83;33;-;-
01057008;Bönebüttel;688;594;80;14;-;-
01057009;Bösdorf;471;393;59;19;-;-
01057010;Boksee;138;101;22;15;-;-
01057011;Bothkamp;83;61;19;3;-;-
01057012;Brodersdorf;135;101;28;6;-;-
01057013;Dannau;219;193;20;6;-;-
01057015;Dersau;286;197;66;23;-;-
01057016;Dobersdorf;393;356;27;7;3;-
01057017;Dörnick;98;76;16;6;-;-
01057018;Fahren;39;36;-;3;-;-
01057020;Fiefbergen;186;148;32;6;-;-
01057021;Giekau;404;340;40;24;-;-
01057022;Grebin;328;276;37;15;-;-
01057023;Großbarkau;60;43;14;3;-;-
01057024;Großharrie;167;137;20;10;-;-
01057025;Heikendorf;2490;1955;271;211;43;10
01057026;Helmstorf;113;76;27;10;-;-
01057027;Högsdorf;158;122;36;-;-;-
01057028;Höhndorf;139;113;16;10;-;-
01057029;Hohenfelde;650;555;83;12;-;-
01057030;Hohwacht (Ostsee);472;344;78;41;6;3
01057031;Honigsee;115;64;32;19;-;-
01057032;Kalübbe;192;153;30;9;-;-
01057033;Kirchbarkau;255;217;29;6;3;-
01057034;Kirchnüchel;72;65;4;3;-;-
01057035;Klamp;239;186;35;14;4;-
01057037;Klein Barkau;104;68;33;3;-;-
