GENESIS-Tabelle: 14331-01-02-5
Landtagswahlen: Schleswig-Holstein - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Schleswig-Holstein;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06.05.2012;01053113;Schretstaken;405;63,0;255;80;81;33;20;3;38
06.05.2012;01053114;Schürensöhlen;131;73,3;95;35;18;16;9;3;14
06.05.2012;01053115;Schulendorf;373;72,9;263;102;48;26;27;11;49
06.05.2012;01053116;Schwarzenbek;11369;54,1;6059;1696;1982;704;521;153;1003
06.05.2012;01053117;Seedorf;456;71,3;314;141;78;29;31;14;21
06.05.2012;01053118;Siebenbäumen;517;64,8;328;92;123;33;13;13;54
06.05.2012;01053119;Siebeneichen;215;60,9;129;45;31;18;13;1;21
06.05.2012;01053120;Sierksrade;259;60,2;151;44;36;22;11;2;36
06.05.2012;01053121;Sirksfelde;255;66,3;168;48;48;32;8;10;22
06.05.2012;01053122;Steinhorst;447;62,0;272;78;83;50;17;4;40
06.05.2012;01053123;Sterley;728;60,6;435;186;108;44;29;7;61
06.05.2012;01053124;Stubben;330;66,1;211;74;46;41;15;4;31
06.05.2012;01053125;Talkau;427;68,6;292;95;87;34;20;12;44
06.05.2012;01053126;Tramm;269;72,5;190;82;43;22;9;4;30
06.05.2012;01053127;Walksfelde;140;75,0;103;35;27;16;11;2;12
06.05.2012;01053128;Wangelau;178;69,7;123;43;31;26;8;2;13
06.05.2012;01053129;Wentorf bei Hamburg;9224;61,0;5572;1701;1603;884;707;96;581
06.05.2012;01053130;Wentorf (Amt Sandesneben);552;59,2;322;99;92;55;22;6;48
06.05.2012;01053131;Wiershop;143;81,8;114;46;19;16;12;3;18
06.05.2012;01053132;Witzeeze;723;62,8;446;154;135;59;33;9;56
06.05.2012;01053133;Wohltorf;1927;71,9;1373;476;293;239;217;23;125
06.05.2012;01053134;Woltersdorf;241;62,2;147;56;35;19;14;5;18
06.05.2012;01053135;Worth;132;69,7;89;60;18;1;3;1;6
06.05.2012;01053136;Ziethen;776;63,5;490;178;127;69;48;11;57
06.05.2012;01054001;Achtrup;1191;59,1;697;240;134;74;34;9;206
06.05.2012;01054002;Ahrenshöft;408;68,1;274;105;65;31;19;5;49
06.05.2012;01054003;Ahrenviöl;408;61,3;243;105;45;34;20;1;38
06.05.2012;01054004;Ahrenviölfeld;193;66,8;128;64;27;6;10;2;19
06.05.2012;01054005;Alkersum;322;66,5;211;112;38;19;17;1;24
06.05.2012;01054006;Almdorf;443;62,3;271;83;82;24;12;3;67
06.05.2012;01054007;Arlewatt;266;66,2;175;81;33;20;20;6;15
06.05.2012;01054009;Aventoft;361;69,5;243;64;61;25;10;1;82
06.05.2012;01054010;Bargum;474;69,0;322;146;57;29;19;3;68
06.05.2012;01054011;Behrendorf;436;68,6;293;141;51;27;28;2;44
06.05.2012;01054012;Bohmstedt;583;62,8;360;140;78;63;23;6;50
06.05.2012;01054013;Bondelum;152;61,8;94;55;13;4;6;0;16
06.05.2012;01054014;Bordelum;1620;64,3;1027;374;230;113;76;21;213
06.05.2012;01054015;Borgsum;260;76,2;195;103;22;19;13;5;33
06.05.2012;01054016;Bosbüll;168;64,9;109;42;22;17;5;1;22
06.05.2012;01054017;Braderup;524;64,9;340;122;65;36;28;3;86
06.05.2012;01054018;Bramstedtlund;156;74,4;113;35;16;10;5;9;38
06.05.2012;01054019;Bredstedt;4128;53,2;2173;685;619;206;155;32;476
06.05.2012;01054020;Breklum;1806;62,0;1099;329;318;146;78;11;217
06.05.2012;01054022;Dagebüll;761;67,1;503;184;125;70;38;10;76
06.05.2012;01054023;Drage;458;64,6;289;96;70;23;24;7;69
06.05.2012;01054024;Drelsdorf;986;62,0;605;224;135;99;36;8;103
06.05.2012;01054025;Dunsum;58;79,3;46;26;8;4;6;0;2
06.05.2012;01054026;Elisabeth-Sophien-Koog;34;85,3;28;22;0;0;3;2;1
