GENESIS-Tabelle: 12411-07-01-5-B
Durchschnittsalter der Bevölkerung;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
;;;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung;Durchschnittsalter der Bevölkerung
;;;;männlich;weiblich
;;;Jahre;Jahre;Jahre
31.12.2015;01053116;Schwarzenbek;42,2;41,1;43,3
31.12.2015;01053117;Seedorf;51,3;50,5;52,2
31.12.2015;01053118;Siebenbäumen;42,9;41,1;44,9
31.12.2015;01053119;Siebeneichen;46,5;45,6;47,3
31.12.2015;01053120;Sierksrade;39,2;39,0;39,4
31.12.2015;01053121;Sirksfelde;44,7;42,6;46,9
31.12.2015;01053122;Steinhorst;42,7;43,2;42,2
31.12.2015;01053123;Sterley;44,2;43,4;45,0
31.12.2015;01053124;Stubben;44,4;45,0;43,9
31.12.2015;01053125;Talkau;45,6;45,7;45,6
31.12.2015;01053126;Tramm;43,4;43,2;43,5
31.12.2015;01053127;Walksfelde;42,1;40,5;43,7
31.12.2015;01053128;Wangelau;44,7;43,7;45,7
31.12.2015;01053129;Wentorf bei Hamburg;45,7;43,9;47,4
31.12.2015;01053130;Wentorf (Amt Sandesneben);43,4;43,3;43,5
31.12.2015;01053131;Wiershop;43,6;40,4;47,4
31.12.2015;01053132;Witzeeze;47,8;46,2;49,2
31.12.2015;01053133;Wohltorf;47,8;46,0;49,5
31.12.2015;01053134;Woltersdorf;44,9;43,6;46,1
31.12.2015;01053135;Worth;46,6;43,3;49,8
31.12.2015;01053136;Ziethen;43,8;42,3;45,2
31.12.2015;01054001;Achtrup;44,2;43,3;45,1
31.12.2015;01054002;Ahrenshöft;43,5;43,6;43,3
31.12.2015;01054003;Ahrenviöl;41,4;40,6;42,3
31.12.2015;01054004;Ahrenviölfeld;44,1;47,7;40,8
31.12.2015;01054005;Alkersum;45,8;44,3;47,2
31.12.2015;01054006;Almdorf;42,5;42,2;42,9
31.12.2015;01054007;Arlewatt;44,9;44,9;44,8
31.12.2015;01054009;Aventoft;48,6;47,7;49,6
31.12.2015;01054010;Bargum;43,6;43,1;44,1
31.12.2015;01054011;Behrendorf;41,3;41,4;41,2
31.12.2015;01054012;Bohmstedt;43,3;43,3;43,4
31.12.2015;01054013;Bondelum;40,5;38,1;43,2
31.12.2015;01054014;Bordelum;44,2;43,8;44,5
31.12.2015;01054015;Borgsum;42,3;40,3;44,3
31.12.2015;01054016;Bosbüll;43,0;42,1;43,9
31.12.2015;01054017;Braderup;45,2;44,0;46,4
31.12.2015;01054018;Bramstedtlund;45,7;43,5;48,0
31.12.2015;01054019;Bredstedt;46,8;45,0;48,5
31.12.2015;01054020;Breklum;43,8;42,5;45,0
31.12.2015;01054022;Dagebüll;49,1;47,0;51,2
31.12.2015;01054023;Drage;46,6;42,7;49,7
31.12.2015;01054024;Drelsdorf;41,0;39,8;42,2
31.12.2015;01054025;Dunsum;49,9;48,8;50,7
31.12.2015;01054026;Elisabeth-Sophien-Koog;39,1;45,4;33,4
31.12.2015;01054027;Ellhöft;41,6;39,4;44,6
31.12.2015;01054032;Fresendelf;52,3;50,8;54,5
31.12.2015;01054033;Friedrichstadt;48,5;47,3;49,7
31.12.2015;01054034;Friedrich-Wilhelm-Lübke-Koog;42,8;41,6;44,0
31.12.2015;01054035;Garding, Kirchspiel;42,9;43,0;42,8
31.12.2015;01054036;Garding;47,6;45,5;49,4
31.12.2015;01054037;Goldebek;42,8;42,8;42,8
31.12.2015;01054038;Goldelund;41,8;42,2;41,4
31.12.2015;01054039;Gröde;53,6;50,3;56,3
