GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01051129;Wesselburenerkoog;126;17;16;58;3;-;-;6;19;7;-
01051130;Wesseln;542;28;10;276;31;38;43;31;36;46;3
01051131;Westerborstel;46;12;-;9;4;3;-;-;15;3;-
01051132;Westerdeichstrich;430;39;36;134;94;9;41;39;29;6;3
01051133;Wiemerstedt;58;16;3;21;9;-;3;6;-;-;-
01051134;Windbergen;317;78;38;96;12;9;16;26;33;3;6
01051135;Wolmersdorf;132;14;23;58;15;3;3;7;3;6;-
01051136;Wrohm;301;79;43;101;25;3;6;19;12;9;4
01051137;Nordermeldorf;253;76;26;75;16;16;15;17;6;6;-
01051138;Tensbüttel-Röst;232;56;18;65;24;6;27;30;6;-;-
01051139;Süderdorf;123;47;27;12;3;-;9;16;3;6;-
01051140;Oesterwurth;109;37;20;43;-;3;3;3;-;-;-
01051141;Süderheistedt;215;38;35;50;27;9;13;16;17;6;4
01053001;Albsfelde;32;3;3;13;3;3;3;-;-;4;-
01053002;Alt Mölln;281;27;17;117;39;12;22;11;13;10;13
01053003;Aumühle;975;186;103;422;131;18;25;28;31;15;16
01053004;Bäk;322;38;15;167;19;10;22;26;9;13;3
01053005;Bälau;72;7;6;38;4;-;13;4;-;-;-
01053006;Basedow;262;24;7;94;43;24;18;23;6;10;13
01053007;Basthorst;161;24;22;69;15;3;12;6;-;7;3
01053008;Behlendorf;139;38;17;23;22;11;0;7;18;3;-
01053009;Berkenthin;627;68;56;172;59;15;63;71;66;51;6
01053010;Besenthal;26;0;13;4;-;-;-;-;6;3;-
01053011;Bliestorf;217;38;6;72;25;10;32;25;6;3;-
01053012;Börnsen;1321;53;108;488;143;59;72;156;60;140;42
01053013;Borstorf;108;25;13;38;10;3;7;6;-;3;3
01053014;Breitenfelde;605;74;56;196;122;13;7;42;51;26;18
01053015;Bröthen;101;28;3;21;7;7;6;6;16;7;-
01053016;Brunsmark;84;6;7;55;7;-;3;3;-;3;-
01053017;Brunstorf;207;30;11;67;7;3;4;35;32;18;-
01053018;Buchholz;94;25;17;28;9;-;3;6;3;-;3
01053019;Buchhorst;57;13;7;17;6;-;3;4;-;4;3
01053020;Büchen;1715;121;134;725;220;79;162;121;44;74;35
01053021;Dahmker;60;-;6;15;4;14;3;15;3;-;-
01053022;Dalldorf;142;19;15;59;6;6;6;4;18;9;-
01053023;Dassendorf;1095;15;58;491;157;79;120;79;45;41;10
01053024;Düchelsdorf;56;26;-;20;-;-;3;3;-;4;-
01053025;Duvensee;159;31;33;36;19;3;3;15;13;-;6
01053026;Einhaus;135;3;3;53;29;3;9;10;22;3;-
01053027;Elmenhorst;261;21;33;85;32;12;22;40;13;3;-
01053028;Escheburg;1026;45;33;235;103;29;136;183;171;72;19
01053029;Fitzen;164;16;6;40;68;3;12;16;3;-;-
01053030;Fredeburg;10;4;-;3;3;-;-;-;-;-;-
01053031;Fuhlenhagen;81;18;3;38;6;-;9;3;4;-;-
01053032;Geesthacht;7110;625;960;2709;756;481;585;551;168;172;103
01053033;Giesensdorf;46;15;-;9;-;6;10;3;-;-;3
01053034;Göldenitz;79;20;11;21;4;-;8;-;12;-;3
01053035;Göttin;32;6;3;13;3;-;-;3;4;-;-
01053036;Grabau;111;30;9;30;17;6;7;9;-;3;-
01053037;Grambek;172;11;13;82;18;9;13;3;-;9;14
01053038;Grinau;80;19;10;16;9;3;6;4;10;3;-
01053039;Groß Boden;76;9;4;18;18;3;3;6;15;-;-
01053040;Groß Disnack;31;7;7;7;3;3;4;-;-;-;-
01053041;Groß Grönau;1354;39;41;906;132;49;36;48;35;59;9
01053042;Groß Pampau;52;4;12;10;9;-;7;7;3;-;-
01053043;Groß Sarau;327;46;19;138;16;14;12;27;23;23;9
01053044;Groß Schenkenberg;183;19;13;47;46;6;26;9;-;17;-
01053045;Grove;91;9;3;44;10;6;6;-;-;13;-
01053046;Gudow;640;98;25;282;78;16;49;62;18;9;3
01053047;Gülzow;393;54;28;142;41;12;13;61;24;15;3
01053048;Güster;623;18;19;354;58;16;36;64;26;16;16
01053049;Hamfelde;180;33;9;57;26;12;19;12;6;3;3
01053050;Hamwarde;251;66;23;87;32;9;12;6;3;13;-
01053051;Harmsdorf;97;21;10;47;3;-;-;-;-;13;3
01053052;Havekost;52;15;4;15;3;3;3;6;3;-;-
01053053;Hohenhorn;169;21;17;57;16;3;19;10;3;4;19
01053054;Hollenbek;165;23;17;64;16;9;16;20;-;-;-
