GENESIS-Tabelle: 31111-03-02-5-B
Baugenehmigungen: Wohnungen in Wohn- und Nichtwohngebäuden;;;;;;
(einschl. Umbau) - Jahressumme -;;;;;;
regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
2015;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01054079;Löwenstedt;6;1;1;1;3
01054080;Lütjenholm;0;0;0;0;0
01054083;Midlum;1;0;0;1;0
01054084;Mildstedt;21;0;5;8;8
01054085;Nebel;0;-5;1;0;4
01054086;Neukirchen;3;0;3;-1;1
01054087;Nieblum;17;0;0;8;9
01054088;Niebüll;119;27;12;42;38
01054089;Norddorf auf Amrum;2;0;0;1;1
01054090;Norderfriedrichskoog;1;0;0;0;1
01054091;Nordstrand;7;0;-1;3;5
01054092;Norstedt;4;0;1;0;3
01054093;Ockholm;3;1;0;0;2
01054094;Oevenum;0;0;0;-1;1
01054095;Oldenswort;7;0;0;4;3
01054096;Oldersbek;3;0;0;1;2
01054097;Olderup;2;0;0;0;2
01054098;Oldsum;2;0;0;0;2
01054099;Ostenfeld (Husum);6;0;0;1;5
01054100;Osterhever;0;0;0;-1;1
01054101;Oster-Ohrstedt;1;0;0;0;1
01054103;Pellworm;10;2;2;1;5
01054104;Poppenbüll;0;0;0;0;0
01054105;Ramstedt;1;0;0;0;1
01054106;Rantrum;12;2;0;8;2
01054107;Rantum (Sylt);-;-;-;-;-
01054108;Reußenköge;0;0;0;-1;1
01054109;Risum-Lindholm;25;0;2;7;16
01054110;Rodenäs;3;0;1;2;0
01054113;Sankt Peter-Ording;112;35;29;22;26
01054116;Schwabstedt;7;0;0;3;4
01054118;Schwesing;5;0;1;0;4
01054119;Seeth;0;0;1;-1;0
01054120;Simonsberg;2;0;0;1;1
01054121;Sönnebüll;1;0;0;0;1
01054123;Sollwitt;3;0;1;0;2
01054124;Sprakebüll;1;0;0;0;1
01054125;Stadum;7;0;3;0;4
01054126;Stedesand;11;0;1;2;8
01054128;Struckum;10;0;1;3;6
01054129;Süderende;0;0;0;0;0
01054130;Süderhöft;0;0;0;0;0
01054131;Süderlügum;39;4;11;5;19
01054132;Südermarsch;0;0;0;0;0
01054133;Sylt-Ost;-;-;-;-;-
01054134;Tating;23;5;9;1;8
01054135;Tetenbüll;1;0;1;-1;1
01054136;Tinningstedt;3;0;2;0;1
01054138;Tönning;36;8;1;12;15
01054140;Tümlauer Koog;1;0;1;0;0
01054141;Uelvesbüll;1;0;0;1;0
01054142;Uphusum;4;0;2;0;2
01054143;Utersum;1;0;0;1;0
01054144;Viöl;29;0;0;10;19
01054145;Vollerwiek;1;0;0;0;1
01054146;Vollstedt;2;1;0;1;0
01054148;Welt;0;0;0;0;0
01054149;Wenningstedt-Braderup (Sylt);22;2;12;6;2
01054150;Westerhever;0;0;0;0;0
01054151;Westerland;-;-;-;-;-
01054152;Wester-Ohrstedt;0;0;0;-1;1
01054154;Westre;1;0;0;0;1
01054156;Winnert;2;0;0;2;0
