GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
09673123;Fladungen, St;6240995;3794677;1540164;814400;2446318;201145;1173975;3031553
09673126;Großbardorf;2263676;1288963;291910;256176;974713;111474;399777;755029
09673127;Großeibstadt;2082564;1555545;383956;262946;527019;74788;95868;1068475
09673129;Hausen;1447588;1128676;346222;246815;318913;12000;82869;817071
09673130;Hendungen;2107500;1858027;471288;591875;249473;38953;56650;1351486
09673131;Herbstadt;1099941;964078;260601;208231;135863;20484;29156;443217
09673133;Heustreu;4235358;1855895;397299;378410;2379463;118233;1497871;2991135
09673134;Höchheim;2588849;1662442;351568;363845;926407;101371;435155;1038052
09673135;Hohenroth;6920821;5061957;1654864;685259;1858864;442212;1162984;4424971
09673136;Hollstadt;3807108;1947368;387678;388027;1859739;91401;1570406;2244132
09673141;Bad Königshofen i.Grabfeld, St;13507799;9498334;3628274;1815483;4009465;752945;3236560;9431121
09673142;Mellrichstadt, St;12878816;9887885;1961284;2217844;2990930;685460;1141515;8877764
09673146;Niederlauer;5695003;2416660;483125;362030;3278343;647902;2254783;4157464
09673147;Nordheim v.d.Rhön;2690530;1759334;431979;384187;931196;230370;327937;1356301
09673149;Oberelsbach, M;5528763;3672686;1417522;791940;1856077;527848;760084;3249123
09673151;Oberstreu;2179193;1985941;417621;414310;193251;45002;89986;989636
09673153;Ostheim v.d.Rhön, St;7840163;5610057;1465158;1280254;2230105;116256;310771;4328360
09673156;Rödelmaier;1768462;1364787;216888;256276;403675;85415;197602;993812
09673160;Saal a.d.Saale, M;2866155;2073095;487866;444846;793060;116826;618790;1518999
09673161;Salz;5110148;3536727;496225;555693;1573420;229294;598002;3733282
09673162;Sandberg;5661973;3175385;785333;751170;2486588;298875;882292;3797906
09673163;Schönau a.d.Brend;2548473;1960291;290463;333336;588182;84255;469106;1152936
09673167;Sondheim v.d.Rhön;2177420;1490733;367086;317883;686686;245313;387514;1246773
09673170;Stockheim;1781636;1610637;334130;230811;170999;28990;128836;766959
09673171;Strahlungen;1824363;1209845;319868;231192;614518;83360;282398;1071556
09673172;Sulzdorf a.d.Lederhecke;2762266;2110409;666916;645244;651856;22500;290842;1513408
09673173;Sulzfeld;3276687;2627001;641191;731907;649686;73487;291491;2145349
09673174;Trappstadt, M;1785806;1382036;361255;292954;403771;68966;255055;608494
09673175;Unsleben;2360294;1556144;513319;271712;804150;103560;303434;1608423
09673182;Willmars;1489891;1010448;188882;285896;479442;25565;237274;801372
09673183;Wollbach;4282354;1759043;363690;254903;2523311;60260;844004;3302658
09673184;Wülfershausen a.d.Saale;3201417;2002806;445136;446532;1198611;161119;846366;2124356
09673186;Burglauer;2870804;2060753;513397;397266;810051;35719;513795;1573251
09673444;Gem.fr. Geb. Rhön-Grabfeld;0;0;0;0;0;0;0;0
09674111;Aidhausen;3684310;2140547;490634;494035;1543763;27558;730041;2346845
09674118;Breitbrunn;2024891;1105271;246404;136617;919620;47563;350791;1201180
09674120;Bundorf;2910870;1458858;440752;470938;1452012;48463;862017;1929243
09674121;Burgpreppach, M;3925471;1754759;409969;486923;2170712;58495;969160;2887468
09674129;Ebelsbach;8055061;5336086;1100124;779957;2718976;584062;771532;5566057
09674130;Ebern, St;17585601;12128515;3623080;3381156;5457087;1434926;2917118;13653483
09674133;Eltmann, St;11541172;8699925;2986593;2433638;2841247;885073;1876081;8139323
09674139;Gädheim;2075974;1572955;326268;367389;503019;68974;133592;1031958
09674147;Haßfurt, St;29701818;19799035;5385308;4036080;9902783;499816;6985848;25596324
09674149;Hofheim i.UFr., St;13663933;7751312;1455232;2124252;5912621;577900;3674270;9948082
09674153;Riedbach;3505616;2175868;390246;347271;1329748;16293;622031;2165106
09674159;Oberaurach;7868025;4634762;1293984;1031238;3233263;165473;877643;4695230
09674160;Kirchlauter;3022559;1502195;348874;193754;1520363;4939;1017004;1939639
09674163;Knetzgau;12084221;8168637;2907382;2555559;3915584;18895;2234610;9043326
09674164;Königsberg i.Bay., St;6296945;5268083;1379899;1849505;1028862;386390;626376;5063657
09674171;Maroldsweisach, M;5970162;4156080;1287655;855105;1814082;190119;883057;4025038
09674180;Theres;4874223;3451532;687403;751392;1422691;98001;861575;2814874
09674184;Pfarrweisach;3016128;2041661;740921;375664;974467;96481;800035;1551686
09674187;Rauhenebrach;5540882;3183723;813857;860555;2357159;6000;1992960;3506184
09674190;Rentweinsdorf, M;2312587;1940374;409900;575225;372213;151209;149285;1076953
09674195;Sand a.Main;6411021;3651765;1100642;736672;2759256;138878;651325;4926445
09674201;Stettfeld;2701003;1463102;312226;300952;1237901;55185;637472;1881117
09674210;Untermerzbach;3985485;2598961;726083;575544;1386524;75561;554235;3324480
09674219;Wonfurt;4645113;2594529;534048;677110;2050585;233677;932772;3219509
09674221;Zeil a.Main, St;10406547;7527683;2129656;2187912;2878864;551265;1463901;6816843
09674223;Ermershausen;1954998;822889;112385;206662;1132109;1917;212007;1341639
09675111;Abtswind, M;2126792;1389656;441385;373340;737136;0;706834;1799127
09675112;Albertshofen;4977092;2905760;762993;516367;2071332;612766;187361;3345800
09675113;Biebelried;4127266;2484095;806394;660929;1643171;66330;597429;3086401
09675114;Buchbrunn;4023409;1954395;458766;388414;2069014;57721;717424;3043133
09675116;Castell;1595657;1006739;208775;256306;588918;39775;320835;864952
09675117;Dettelbach, St;21293744;14356214;3086886;7284687;6937530;278360;4710756;17923063
09675127;Geiselwind, M;5811939;3625223;1146360;1199623;2186716;20000;1020843;4529287
09675131;Großlangheim, M;2955742;1890421;655842;440651;1065321;0;496102;1816859
09675139;Iphofen, St;28865832;14548387;3619169;4683064;14317446;365703;10754499;25975677
09675141;Kitzingen, GKSt;38338531;31204827;11766914;6718405;7133704;1403929;5054926;26831140
09675142;Kleinlangheim, M;3110211;1966500;421124;408501;1143710;46735;361655;1873865
09675144;Mainbernheim, St;4452948;2577689;579537;553098;1875259;128220;1044434;2797404
09675146;Mainstockheim;4194401;2770380;785842;615515;1424021;400632;182983;2732039
09675147;Marktbreit, St;9922358;5894099;1271542;1074644;4028259;0;3768506;8371151
09675148;Markt Einersheim, M;2068649;1651115;386169;317650;417534;6375;298170;1252004
09675149;Marktsteft, St;3460677;2768724;469438;485422;691953;144000;532750;2723430
09675150;Martinsheim;1818272;1592738;538842;556960;225534;57665;167869;1032444
09675155;Nordheim a.Main;1662634;1432798;434807;345108;229836;45588;168057;617100
09675156;Obernbreit, M;2402174;2001390;462885;332408;400784;68965;323436;1262170
09675158;Prichsenstadt, St;10468097;4151804;1401419;1261777;6316293;35367;3365912;7738338
09675161;Rödelsee;3621902;2722462;502540;893750;899440;239732;551335;2563304
09675162;Rüdenhausen, M;1669919;945866;191396;167509;724053;32326;286646;1003796
09675165;Schwarzach a.Main, M;5483174;4088670;1030490;942179;1394504;167364;1104989;3744920
09675166;Segnitz;1042046;934058;166458;126461;107988;20000;82988;458046
09675167;Seinsheim, M;1870513;1362690;527577;270447;507823;53335;454488;899162
09675169;Sommerach;2424267;2029980;385911;425535;394288;43479;266038;1522957
09675170;Sulzfeld a.Main;5218972;2417511;450050;457400;2801461;1307885;715784;3249850
09675174;Volkach, St;18210170;12266716;3825396;2648642;5943454;2798084;3077084;12197951
09675177;Wiesenbronn;2646783;1217229;261627;307117;1429554;27547;870233;1947168
09675178;Wiesentheid, M;12713697;5817674;1326205;1374578;6896023;72715;4682148;10694824
09675179;Willanzheim, M;3148995;2088789;435692;526751;1060206;107800;753689;1942590
09676111;Altenbuch;2601513;1801067;422482;236734;800446;329822;74514;1325195
09676112;Amorbach, St;10234873;7293347;2560779;2319545;2941526;659586;1158198;6691315
09676116;Bürgstadt, M;9169874;6961140;2735919;1579991;2208734;321922;888709;7413005
09676117;Collenberg;4872612;3180636;832040;822566;1691976;369916;1321058;3700989
09676118;Dorfprozelten;3215383;2554574;709440;533180;660809;177375;192798;2603292
09676119;Eichenbühl;4361729;3762966;1490082;1141402;598763;302784;239776;2606836
09676121;Elsenfeld, M;18089458;13042804;4624615;4398761;5046654;220165;4702534;13748604
09676122;Erlenbach a.Main, St;16189430;14022242;5971163;3462203;2167188;366638;1409663;13155757
09676123;Eschau, M;6067263;4485474;1197801;1195266;1581789;329321;1225468;3920148
09676124;Faulbach;5338966;3365011;671008;511193;1973955;273898;1052976;4141465
09676125;Großheubach, M;8242618;6547075;1642951;1664239;1695543;563344;511604;6066263
09676126;Großwallstadt;12012854;7166132;1369816;1477907;4846722;0;3937261;10882508
09676128;Hausen;3075935;2572654;534873;553235;503281;37894;279868;1576529
09676131;Kirchzell, M;5021430;2975149;1190063;767322;2046281;203220;1073832;3355938
09676132;Kleinheubach, M;10774118;6596234;2137612;1116543;4177884;17000;3956568;8482840
09676133;Kleinwallstadt, M;11439557;8877436;2190971;2173152;2562121;258887;2052454;7286243
09676134;Klingenberg a.Main, St;12124334;9986814;2751029;2395537;2137520;319223;1698430;10252678
09676135;Laudenbach;2511793;2034023;462678;327989;477770;18619;226534;1523409
09676136;Leidersbach;6681108;5067756;1139828;1138754;1613352;294400;879514;4640148
09676139;Miltenberg, St;18954760;15287588;6020684;3807484;3667172;148461;1683655;17132032
09676140;Mömlingen;9289256;6073737;2675619;1152875;3215519;182502;2356737;6877035
09676141;Mönchberg, M;10407557;4515157;1677234;1439198;5892400;83052;5290358;8574876
09676143;Neunkirchen;2883207;2115838;773220;287552;767369;121167;506871;1555086
09676144;Niedernberg;13578981;8362120;2361270;2098257;5216861;173700;5043161;12171757
09676145;Obernburg a.Main, St;16454027;12111613;4526832;3215723;4342414;716727;2981662;12983439
09676151;Röllbach;4258963;2260603;898175;558723;1998360;0;218620;3091942
09676153;Rüdenau;1324714;1078058;270854;243236;246655;103004;122724;639288
09676156;Schneeberg, M;3799411;2617212;891228;722675;1182199;80335;689892;2912455
09676158;Stadtprozelten, St;3548647;2604069;835450;544021;944578;231914;688621;1977889
09676160;Sulzbach a.Main, M;11623331;8473553;2171612;2053527;3149778;324246;1760660;8563896
09676165;Weilbach, M;4041030;3215470;1288770;898031;825560;155785;664075;3416744
09676169;Wörth a.Main, St;11799726;7201565;3072197;1844521;4598161;498103;2279701;9654209
09676444;Gem.fr. Geb. Miltenberg;0;0;0;0;0;0;0;0
09677114;Arnstein, St;13125569;9455958;3008007;2511484;3669611;511252;1983156;8935791
09677116;Aura i.Sinngrund;2584640;1471661;271569;283851;1112979;40187;439289;2129159
09677119;Birkenfeld;6674186;2515387;525219;414852;4158799;0;1497713;5543850
09677120;Bischbrunn;4149073;2358608;452212;303816;1790465;72476;864624;2775102
09677122;Burgsinn, M;7461253;4691065;1433475;1382376;2770188;139408;1663809;5580732
09677125;Erlenbach b.Marktheidenfeld;4351125;3214330;651359;665411;1136795;128293;503974;3169508
09677126;Esselbach;3917563;2976994;630948;447931;940568;49016;815083;2726687
09677127;Eußenheim;6262758;4129620;1127286;1137385;2133138;186423;1059940;3885819
09677128;Fellen;1646864;1238629;260121;271061;408235;0;275826;1018175
09677129;Frammersbach, M;15455430;11559479;1966027;6077530;3895951;334237;3346858;12924750
09677131;Gemünden a.Main, St;17059916;13729924;4756588;4022437;3329992;766849;1638227;10939165
09677132;Gössenheim;3756661;1621323;334569;344953;2135338;42066;836980;3260374
09677133;Gräfendorf;3069092;1814219;624765;367050;1254873;111030;179086;2073724
09677135;Hafenlohr;6294379;3213445;956102;407618;3080934;84478;2352633;5341593
09677137;Hasloch;2711832;1823728;481450;407939;888103;262674;46297;1912391
09677142;Himmelstadt;5601929;2206915;472423;559399;3395015;91729;2627449;4446378
09677146;Karbach, M;3289706;2022108;774541;294236;1267598;39503;853230;2535392
09677148;Karlstadt, St;30136982;22153731;8030537;5563511;7983251;812196;5941955;23540377
09677149;Karsbach;3788549;2313751;464404;589489;1474798;121822;618439;2605940
09677151;Kreuzwertheim, M;7731750;5945140;986950;1711661;1786610;80391;1024981;6220576
09677154;Triefenstein, M;8834528;5637447;1226060;1723758;3197081;174369;2857476;6493029
09677155;Lohr a.Main, St;37532849;27130330;10359967;6988313;10402519;0;9395487;31805074
09677157;Marktheidenfeld, St;41889595;21013574;7168482;5186426;20876021;1936408;3781588;38383396
09677159;Mittelsinn;1324929;1123573;358893;251012;201356;74324;112531;620229
09677164;Neuendorf;1745695;1217474;300157;310508;528221;13000;116007;1118557
09677165;Neuhütten;2635396;1562279;326393;336825;1073117;106252;235815;1841309
09677166;Neustadt a.Main;2502446;1838311;595789;447267;664136;112000;212837;1749159
09677169;Obersinn, M;1739270;1269384;251386;227166;469886;16855;177893;854470
09677170;Partenstein;7759680;6609071;1039963;3597389;1150609;40000;1041371;6029600
09677172;Rechtenbach;1914930;1282269;344601;277897;632661;15120;166288;1197451
09677175;Retzstadt;3042165;1639072;303009;288740;1403093;217858;550795;1890456
09677177;Rieneck, St;3285220;2807768;878839;605370;477452;125445;327016;2235017
09677178;Roden;2022563;1504073;395471;327613;518490;23253;173655;1374737
09677181;Rothenfels, St;2055214;1608363;507154;293572;446851;38062;300841;1358296
09677182;Schollbrunn;1788226;1246766;321229;342303;541460;28272;486821;1181545
09677186;Steinfeld;6065511;3493597;809245;612570;2571913;140000;2052405;5230153
09677189;Thüngen, M;6273275;3918727;774978;2266003;2354549;31910;700336;5175826
09677193;Urspringen;3408099;1608760;622181;257534;1799339;35586;245504;2614015
09677200;Wiesthal;3471205;2237668;399872;358409;1233538;69960;403157;2982258
09677203;Zellingen, M;18391884;7967562;1264097;1657340;10424323;1170194;4511163;13849825
09677444;Gem.fr. Geb. Main-Spessart;0;0;0;0;0;0;0;0
09678115;Bergrheinfeld;11178864;6311417;1616548;1604245;4867447;169924;3392152;8319366
09678122;Dingolshausen;2913767;1464286;270871;322296;1449481;73380;1094513;2142588
09678123;Dittelbrunn;15874351;9498113;3264377;2322752;6376238;328276;2900236;11452203
09678124;Donnersdorf;4226925;3190155;476444;667802;1036770;105675;834844;3507080
09678128;Euerbach;5092986;3224991;896500;670718;1867995;418167;1068258;3273850
09678130;Frankenwinheim;2714645;1283315;180516;386914;1431330;12639;1327084;1810494
09678132;Geldersheim;4038941;2823700;775636;522468;1215241;59512;191678;2638666
09678134;Gerolzhofen, St;20726970;10993034;2494705;2804060;9733937;259786;1403678;15122662
09678135;Gochsheim;20780959;16234965;2561195;9685705;4545994;204452;1974942;18034920
09678136;Grafenrheinfeld;14978151;4905958;2481363;1624880;10072193;0;767304;8782778
09678138;Grettstadt;6353760;4622219;1931464;820006;1731541;241306;1355639;4543811
09678150;Kolitzheim;16384688;6836962;1869662;1722865;9547726;45737;1813000;14488619
09678153;Lülsfeld;1893121;914466;200379;191596;978655;221356;726499;1046097
09678157;Michelau i.Steigerwald;1944210;1245340;153695;412952;698870;19027;559442;1053980
09678160;Niederwerrn;9401098;8224394;2063953;1656730;1176704;0;1135544;5317776
09678164;Oberschwarzach, M;2364355;1688977;353846;418964;675378;30765;471858;1458312
09678168;Poppenhausen;10641358;4045561;918807;857205;6595797;0;2217721;8017952
09678170;Röthlein;8274661;5024853;1336402;734783;3249808;51661;1927769;5975448
09678174;Schonungen;21630709;9444999;2431849;2128362;12185710;412208;11376392;9903636
09678175;Schwanfeld;5442499;2376790;585194;542437;3065709;36425;78434;4193169
09678176;Schwebheim;8124021;5224429;1409785;1008680;2899592;28300;668289;7012685
09678178;Sennfeld;10510841;6465863;1599504;2361071;4044978;183977;2022481;9166538
09678181;Stadtlauringen, M;7040996;4811301;1766932;1074932;2229695;31534;1087214;4733546
09678183;Sulzheim;4591044;2105081;426076;479169;2485963;0;1489874;3030200
09678186;Üchtelhausen;5906551;4483699;1252818;1071830;1422852;643995;263586;3724455
09678190;Waigolshausen;5269652;3036867;695454;579809;2232785;376420;1483932;3836052
09678192;Wasserlosen;6103176;3481386;866977;671845;2621790;28693;1137519;4052112
09678193;Werneck, M;18886302;11533419;2504663;2148275;7352883;445975;3285686;14156476
09678196;Wipfeld;3583840;1779052;584212;490682;1804788;34746;953663;2630211
09678444;Gem.fr. Geb. Schweinfurt;0;0;0;0;0;0;0;0
09679114;Aub, St;3760990;2270028;616854;646376;1490962;51424;1237835;2220687
09679117;Bergtheim;6194457;4322329;843320;805327;1872127;324769;975471;3982817
09679118;Bieberehren;2882460;1294386;303261;266026;1588075;1247;1560782;1006419
09679122;Bütthard, M;2414625;1770412;415739;442533;644213;70917;273119;1418506
09679124;Eibelstadt, St;6942476;4339426;1056751;784934;2603049;209973;776973;5884527
09679126;Eisingen;5460169;4037423;1065820;726979;1422746;103566;561173;3738388
09679128;Erlabrunn;2512093;2241088;437370;416428;271005;10750;249112;1314735
09679130;Estenfeld;19231190;7227595;1355301;1882963;12003595;5829764;6043504;16971837
09679131;Frickenhausen a.Main, M;2358535;1918131;455614;406511;440403;51263;229384;1488994
09679134;Gaukönigshofen;5617232;3296976;626182;597180;2320256;202459;1583669;3973671
09679135;Gelchsheim, M;1939920;1138023;216129;290528;801897;15262;732507;1289972
09679136;Gerbrunn;10798544;8558119;2360206;2385315;2240425;359238;1775750;7269226
09679137;Geroldshausen;2648369;1909044;678041;448706;739325;14404;688438;1533568
09679138;Giebelstadt, M;10367242;8240654;1749494;1919656;2126588;0;1845889;7361523
09679141;Greußenheim;2777669;2505992;682938;441829;271677;53199;88650;2231780
09679142;Güntersleben;8980871;5345896;2528817;1315475;3634975;159613;3229485;6159700
09679143;Hausen b.Würzburg;7110744;3249068;1291567;769580;3861676;233333;2079123;5948334
09679144;Helmstadt, M;5061530;3480357;660311;875525;1581173;0;1418262;3239553
09679146;Hettstadt;5817101;4737607;1429698;805059;1079494;72330;882638;3303733
09679147;Höchberg, M;18209224;13504464;3717200;4318144;4704760;69862;4251430;13930824
09679149;Holzkirchen;1891765;1384814;514678;277622;506950;0;426473;1073200
09679153;Kirchheim;3828940;3064150;733454;626982;764790;98994;179933;2288679
09679154;Kist;4018995;3004886;790771;682198;1014109;3311;734293;2670372
09679155;Kleinrinderfeld;3162487;2378546;696531;521717;783941;206022;146388;2234114
09679156;Kürnach;8530298;5466060;1103624;1241430;3064238;198211;2488585;6200651
09679161;Margetshöchheim;4484248;3979812;851449;725531;504436;82643;372664;2815577
09679164;Neubrunn, M;5847304;2440210;699105;590288;3407094;23982;2672476;4205670
09679165;Altertheim;3837892;2182364;636137;378683;1655528;802990;532594;2263155
09679167;Eisenheim, M;2459709;1904410;786900;411862;555299;61536;281674;1366369
09679169;Oberpleichfeld;1791120;1304303;206832;203518;486818;48368;269661;938119
09679170;Ochsenfurt, St;20719578;15334408;5487571;3301737;5385170;434187;4478037;15270483
09679174;Prosselsheim;2161519;1859484;559211;712270;302036;0;268716;1325568
09679175;Randersacker, M;5953677;4492747;1921566;1119406;1460930;479003;808252;4214680
09679176;Reichenberg, M;7076838;5057335;1698151;1198896;2019503;202769;1427875;5194302
09679177;Remlingen, M;3272388;1937664;455917;488913;1334723;0;1031747;2038386
09679179;Riedenheim;1615946;1056023;222338;295774;559923;29920;160205;827442
09679180;Rimpar, M;17204060;9625505;3990652;2321194;7578555;238421;3559331;13458861
09679182;Röttingen, St;6455784;4376649;1730046;1066761;2079135;271993;1565734;4988838
09679185;Rottendorf;14323313;8545977;1937613;1920900;5777336;248202;2586088;13188995
09679187;Sommerhausen, M;4318456;3207858;977285;546009;1110599;66738;799161;2613049
09679188;Sonderhofen;1682204;1138557;197807;283149;543647;4497;351319;990899
09679192;Tauberrettersheim;2221333;1277060;293235;384014;944273;63118;815299;1176029
09679193;Theilheim;3209229;2586823;562965;582050;622406;183245;177247;2057035
09679194;Thüngersheim;4790589;3460502;1557572;789963;1330087;93472;1144751;2718033
09679196;Uettingen;6442961;2625603;587857;602647;3817358;0;2459149;4993693
09679200;Leinach;4483332;3563029;966116;738765;920303;203791;312895;2696348
09679201;Unterpleichfeld;5570334;3925020;1173909;877100;1645314;72166;832424;4203848
09679202;Veitshöchheim;22250220;15102043;3966369;4237827;7148177;101997;6217706;15929917
09679204;Waldbrunn;6183818;2898625;701954;481037;3285193;0;2651255;5037419
09679205;Waldbüttelbrunn;12748894;7457018;1673053;1508025;5291876;51130;4178553;11385442
09679206;Winterhausen, M;3096434;2323358;846052;407661;773076;15000;117836;1835055
09679209;Zell a.Main, M;6576594;4803268;1460622;1064318;1773326;0;614204;4606496
09679444;Gem.fr. Geb. Würzburg;0;0;0;0;0;0;0;0
09761000;Augsburg;778768211;644676062;220636718;104139299;134092149;31490143;60773386;479505314
09762000;Kaufbeuren;133307765;95257081;29919002;19678900;38050684;3296026;14725864;83453322
09763000;Kempten (Allgäu);166167770;135023762;45071449;25542268;31144008;1689102;24414637;110119094
09764000;Memmingen;120098557;92755888;39191634;27725351;27342669;1668024;13946267;97428524
09771111;Adelzhausen;3070417;2178991;775780;341083;891426;8541;447464;2272145
09771112;Affing;15141505;7538975;2751138;1685896;7602530;263820;5580456;13073784
09771113;Aichach, St;46626299;27807249;9262010;6464092;18819050;743897;12539218;38031726
09771114;Aindling, M;9520326;5221217;1088820;828087;4299109;351548;1707296;7330875
09771122;Dasing;14399796;7883594;2909675;1757096;6516202;677468;4459698;11929564
09771129;Eurasburg;7675720;2048145;348124;326501;5627574;125116;1292151;7088774
09771130;Friedberg, St;58561500;38025420;10432815;6629412;20536080;6256899;12168382;50203103
09771140;Hollenbach;4543542;2532892;546360;549637;2010650;91703;977037;3657116
09771141;Inchenhofen, M;5214743;2649105;594902;605109;2565638;152260;752815;4035827
09771142;Kissing;23440392;15160931;3371065;2885283;8279461;3329601;4742616;20089899
09771144;Kühbach, M;13575261;4846987;804153;824232;8728274;124065;3315818;11741423
09771145;Merching;10468399;3980055;894343;605827;6488344;279102;3494026;9150261
09771146;Mering, M;22358987;17385828;4858723;3234259;4973159;727814;3752120;15210840
09771149;Obergriesbach;5892833;2320326;637090;481020;3572506;21414;494822;4949522
09771155;Petersdorf;4273234;2005017;381162;344778;2268217;26519;1115214;3068518
09771156;Pöttmes, M;16703375;8008240;2588399;1695329;8695135;90435;4843310;12488819
09771158;Rehling;5499692;2774998;1243458;468834;2724694;242401;433412;4663285
09771160;Ried;5731654;3163104;788134;854956;2568550;56000;2505176;4838650
09771162;Schiltberg;3015681;2080314;417873;537058;935367;45877;274257;1766926
09771163;Schmiechen;3167562;1882940;428432;410412;1284622;78726;1184343;2728907
09771165;Sielenbach;2931844;2140392;446063;320195;791452;3065;722715;2328091
09771168;Steindorf;2192363;1561442;301486;351624;630921;0;613618;1828203
09771169;Todtenweis;4031817;2015170;383159;361283;2016647;718;712598;3508124
09771176;Baar (Schwaben);1678372;1373028;313118;292979;305344;117911;147037;1032816
09772111;Adelsried;7441709;3470689;1229928;907891;3971020;73700;1820578;6727905
09772114;Allmannshofen;2669070;980720;191648;130759;1688349;24844;1170763;2013020
09772115;Altenmünster;7317904;4893425;1807595;1403473;2424479;312136;1893961;5275644
09772117;Aystetten;4646847;3777995;1428566;727516;868852;39094;507524;3621484
09772121;Biberbach, M;7142760;4049613;1518293;988533;3093147;196559;1230917;5688928
09772125;Bobingen, St;30220428;21672964;5381697;4415194;8547464;2009213;4994083;22990804
09772126;Bonstetten;5337842;1777545;295978;431309;3560297;31869;1026183;4608116
09772130;Diedorf, M;17412309;11351138;3444814;2340000;6061171;94162;2075704;13969904
09772131;Dinkelscherben, M;15726515;9093392;1826273;2044643;6633123;3484467;2097566;13383409
09772134;Ehingen;1398029;1068752;200200;144202;329278;15500;47144;762137
09772136;Ellgau;3600118;1411869;455876;340175;2188249;308532;1541290;2997890
09772137;Emersacker;3391843;2072680;699328;351615;1319163;128463;786207;2668242
09772141;Fischach, M;10933938;8192782;2176924;1616795;2741156;226345;2328703;9304519
09772145;Gablingen;10151614;5577394;1318760;1164397;4574220;185828;4383486;7917312
09772147;Gersthofen, St;53632815;38442870;11412177;13191360;15189945;0;11784377;48431804
09772148;Gessertshausen;19547286;8247397;2320438;1961292;11299889;288252;1802235;16855069
09772149;Graben;7921634;4590228;1746886;1067390;3331406;794902;1266608;6187636
09772151;Großaitingen;14506113;5971825;1696745;1104589;8534289;25000;2491777;12115505
09772156;Heretsried;2682293;1313787;247607;310620;1368505;18773;333079;1956673
09772157;Hiltenfingen;2382845;1602413;493648;263413;780432;113193;396640;1570136
09772159;Horgau;10343433;3655733;1052814;665783;6687700;0;2530910;9582531
09772160;Kleinaitingen;4185928;1550384;469814;249872;2635544;0;790439;3528685
09772162;Klosterlechfeld;5118957;3164877;620972;475670;1954080;74701;830203;3573949
09772163;Königsbrunn, St;45167362;32230570;7531598;5168654;12936792;3193258;9206304;33583083
09772166;Kühlenthal;1674286;928498;265764;170057;745787;48232;234474;1173477
09772167;Kutzenhausen;6168207;3131246;731352;815064;3036961;134592;563049;5497736
09772168;Langenneufnach;4280823;2680054;367716;367798;1600769;136631;743001;3525330
09772170;Langerringen;6450690;4241211;1395548;764575;2209479;244897;1075290;4747472
09772171;Langweid a.Lech;12796658;9267179;2189495;2080321;3529479;245365;3284114;9706300
09772177;Meitingen, M;23469939;13901864;4986644;3869463;9568075;266206;9088732;19602888
09772178;Mickhausen;2457326;1887927;286710;302867;569399;112266;298759;1233753
09772179;Mittelneufnach;1999894;1427730;429424;308114;572164;263435;86236;1213540
09772184;Neusäß, St;36542830;28888935;7047652;6754248;7653895;17802;6444293;29872433
09772185;Nordendorf;6444191;2844767;969025;421076;3599424;189959;2271046;5159057
09772186;Oberottmarshausen;4052616;1917519;398772;268257;2135097;0;1174044;3206012
09772197;Scherstetten;1620783;1167458;327749;259052;453325;155983;57852;868179
09772200;Schwabmünchen, St;26629532;18544056;5029294;4621413;8085476;1292091;6003690;22441473
09772202;Stadtbergen, St;27904441;19084721;5551600;3892103;8819720;2279449;6532943;20354534
09772207;Thierhaupten, M;9657378;4953316;1234654;1380341;4704062;97497;3725238;6858998
09772209;Untermeitingen;14489452;8918718;2779882;1526474;5570734;143981;3641595;11018811
09772211;Ustersbach;2867929;2186564;392258;610079;681365;92815;185145;2172255
09772214;Walkertshofen;2847428;1630332;270130;174269;1217096;445732;352594;2187609
09772215;Wehringen;5006010;2882715;566719;732965;2123295;0;2123295;3984749
09772216;Welden, M;8916807;5460133;845287;1308338;3456675;217464;2162528;6097855
09772217;Westendorf;3387100;1829892;319996;193175;1557208;74500;302642;2605019
09772223;Zusmarshausen, M;15069402;9206818;2804580;1989010;5862584;962195;4581574;12223221
09772444;Gem.fr. Geb. Augsburg;0;0;0;0;0;0;0;0
09773111;Aislingen, M;2006851;1543860;406282;386523;462990;125637;218968;1160716
09773112;Bachhagel;4337707;3734507;1174579;880097;603200;0;535020;2696749
09773113;Bächingen a.d.Brenz;2425857;1899080;626954;410177;526778;59059;305136;1683094
