GENESIS-Tabelle: 71517-02-03-5-B
Bruttoausgaben der Gemeinden - Jahressumme -;;;;;;;;;
regionale Ebenen;;;;;;;;;
Vierteljährliche Kassenergebnisse, Sektor Kommunen;;;;;;;;;
2014;;;;;;;;;
;;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Bruttoausgaben der Gemeinden;Nettoausgaben der Gemeinden
;;;Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Verwaltungshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);Bruttoausgaben d. Vermögenshaushalts (Gemeinden);
;;;Ausgaben des Verwaltungshaushalts, insgesamt;Personalausgaben;laufender Sachaufwand;Ausgaben des Vermögenshaushalts, insgesamt;Tilgung v.Krediten,Rückzahlungen v.inneren Darleh.;Ausgaben für Sachinvestitionen;
;;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
01053005;Bälau;250645;249789;15288;55900;856;0;856;195454
01053006;Basedow;700182;693890;27215;204384;6292;0;6292;422731
01053007;Basthorst;629071;497708;28400;116251;131363;4733;2646;518008
01053008;Behlendorf;550345;397217;14091;30917;153128;0;66606;448037
01053009;Berkenthin;3707009;2705810;168193;416949;1001199;32421;521879;2460721
01053010;Besenthal;160490;103666;5940;27395;56824;5000;0;128618
01053011;Bliestorf;716320;669410;25454;90593;46910;5663;4716;459044
01053012;Börnsen;6659212;5568542;1236216;820714;1090670;92948;997722;5106477
01053013;Borstorf;316451;266621;14481;54178;49830;46118;3712;209383
01053014;Breitenfelde;3225955;1789930;116677;247480;1436025;890293;545732;2394628
01053015;Bröthen;530833;316843;13932;45654;213990;20106;149684;458413
01053016;Brunsmark;158003;135556;7425;23420;22447;5000;8114;101752
01053017;Brunstorf;885890;760597;15821;178838;125293;9246;35597;753162
01053018;Buchholz;311664;289724;10503;83902;21940;7288;3159;238483
01053019;Buchhorst;175296;175296;9376;51000;0;0;0;140159
01053020;Büchen;16554679;11345959;3191571;2114706;5208720;1296919;1843798;12692869
01053021;Dahmker;424597;319104;3496;44707;105493;0;1852;413941
01053022;Dalldorf;493226;433615;11476;162466;59611;21343;38268;360514
01053023;Dassendorf;3941462;3402866;493954;563413;538596;21022;149164;3313462
01053024;Düchelsdorf;213982;166449;4047;30045;47533;0;3387;153610
01053025;Duvensee;668558;576884;20532;121324;91674;0;20958;495450
01053026;Einhaus;519634;364129;13702;74984;155505;714;131001;405034
01053027;Elmenhorst;2087080;1124416;44663;137682;962664;11402;633597;2012541
01053028;Escheburg;4424099;3893612;363039;813188;530487;23628;164060;3617562
01053029;Fitzen;492450;373951;10368;46875;118499;2556;14593;351854
01053030;Fredeburg;57467;43930;2460;7193;13537;0;0;54047
01053031;Fuhlenhagen;434990;341353;18600;60108;93637;0;1807;300705
01053032;Geesthacht;48840402;45937810;15936138;12747237;2902592;7043;2889910;40604965
01053033;Giesensdorf;134415;101404;4314;12424;33011;1375;17547;75839
01053034;Göldenitz;336745;272396;11273;45398;64349;0;21529;258565
01053035;Göttin;140533;93430;7564;45471;47103;0;0;108810
01053036;Grabau;640413;370369;18647;116559;270044;0;12239;517389
01053037;Grambek;835236;536233;23511;71471;299003;7567;290762;718447
01053038;Grinau;395624;240457;6821;29230;155167;41158;13533;247683
01053039;Groß Boden;226928;201181;5142;24457;25747;0;8371;192407
01053040;Groß Disnack;109848;87833;4794;13867;22015;465;10720;89376
01053041;Groß Grönau;5819538;4066748;336963;551663;1752790;25000;1359144;4515622
01053042;Groß Pampau;236787;193960;8494;57996;42827;0;1299;229466
01053043;Groß Sarau;1135675;952238;54812;141072;183437;20010;163420;853158
01053044;Groß Schenkenberg;724363;576447;45389;144122;147916;0;34665;565747
01053045;Grove;402458;314298;13066;65025;88160;0;3461;364598
01053046;Gudow;2963427;2253159;600768;302786;710268;130104;147202;2172388
01053047;Gülzow;1788319;1429781;78400;244620;358538;216429;9915;1330726
01053048;Güster;2713205;1753902;117742;458473;959303;95642;382063;2496545
01053049;Hamfelde;668739;500730;15979;97756;168009;0;88701;595035
01053050;Hamwarde;2543105;1096281;227171;312544;1446824;9101;38204;2158679
01053051;Harmsdorf;401496;283068;7383;27364;118428;576;59884;300240
01053052;Havekost;311532;215381;6280;53738;96151;0;5482;279019
01053053;Hohenhorn;692892;514439;18668;84433;178453;0;34434;593111
01053054;Hollenbek;600410;443741;12275;59010;156669;11870;119010;402397
01053056;Hornbek;495805;205652;11957;54433;290153;0;290153;450211
01053057;Horst;309678;198944;7917;23328;110734;0;50042;197888
01053058;Juliusburg;172810;162738;8036;19696;10072;10072;0;97312
01053059;Kankelau;264544;204889;15373;21925;59655;6563;14158;149517
01053060;Kasseburg;808717;640209;21687;135129;168508;8720;18107;675318
01053061;Kastorf;2167848;1572485;319533;143193;595363;37941;333495;1952348
01053062;Kittlitz;373687;265499;9288;43511;108188;11564;49029;272899
01053064;Klein Pampau;883870;635225;57527;67205;248645;4936;86798;717262
01053066;Klein Zecher;322824;306525;24830;42797;16299;0;3925;226105
01053067;Klempau;830093;711172;20987;122598;118921;0;45530;628601
01053068;Klinkrade;690609;550306;13035;53994;140303;70455;47569;435376
01053069;Koberg;787728;674540;16131;82276;113188;38071;17870;552366
01053070;Köthel;517338;322509;14380;51902;194829;0;99434;443358
01053071;Kollow;857257;641296;27947;114230;215961;8681;92145;719617
01053072;Kröppelshagen-Fahrendorf;2507899;1824890;372316;435514;683009;9101;98658;2090213
01053073;Krüzen;418627;381856;17954;88551;36771;21153;15618;290918
01053074;Krukow;151283;151283;6661;41972;0;0;0;117772
01053075;Krummesse;4968237;3012572;140884;1367104;1955665;35029;1227438;4403472
01053076;Kuddewörde;3280858;2786622;976157;391271;494236;408;132035;2369449
01053077;Kühsen;438384;361024;13855;76086;77360;11683;6923;329903
01053078;Kulpin;225298;197340;5539;26097;27958;6634;5947;145150
01053079;Labenz;2372569;837068;12286;105082;1535501;16751;1357882;1167005
01053080;Langenlehsten;198707;165441;6399;10628;33266;0;0;132264
01053081;Lankau;610481;511326;15920;111266;99155;27839;59383;414816
01053082;Lanze;346973;324875;11300;70312;22098;0;22098;178635
01053083;Lauenburg/Elbe;21939366;16825120;4114618;7523889;5114246;955957;4158289;13048838
01053084;Lehmrade;485114;469583;22299;46218;15531;15225;0;307122
01053085;Linau;1939439;1109702;18498;158296;829737;0;732761;1385054
01053086;Lüchow;366029;235480;6406;17698;130549;0;90832;238802
01053087;Lütau;744543;716453;22006;156874;28090;0;28090;522091
