GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2015;01057060;Prasdorf;5;2;3
2015;01057062;Preetz;214;95;119
2015;01057063;Probsteierhagen;11;7;4
2015;01057065;Rantzau;-;-;-
2015;01057066;Rastorf;7;5;2
2015;01057067;Rathjensdorf;8;6;2
2015;01057068;Rendswühren;4;2;2
2015;01057069;Ruhwinkel;5;2;3
2015;01057070;Schellhorn;17;7;10
2015;01057071;Schillsdorf;3;3;-
2015;01057072;Schlesen;9;2;7
2015;01057073;Schönberg (Holstein);76;29;47
2015;01057074;Schönkirchen;73;37;36
2015;01057076;Schwartbuck;5;4;1
2015;01057077;Selent;8;2;6
2015;01057078;Stakendorf;4;3;1
2015;01057079;Stein;6;5;1
2015;01057080;Stolpe;7;3;4
2015;01057081;Stoltenberg;4;1;3
2015;01057082;Tröndel;6;4;2
2015;01057083;Tasdorf;5;4;1
2015;01057084;Wahlstorf;2;2;-
2015;01057085;Wankendorf;51;22;29
2015;01057086;Warnau;1;-;1
2015;01057087;Wendtorf;8;5;3
2015;01057088;Wisch;8;6;2
2015;01057089;Wittmoldt;1;-;1
2015;01057090;Fargau-Pratjau;5;3;2
2015;01057091;Schwentinental;187;89;98
2015;01058001;Achterwehr;4;1;3
2015;01058003;Alt Duvenstedt;14;9;5
2015;01058004;Altenhof;5;4;1
2015;01058005;Altenholz;104;58;46
2015;01058007;Arpsdorf;1;-;1
2015;01058008;Ascheffel;21;6;15
2015;01058009;Aukrug;38;20;18
2015;01058010;Bargstall;2;2;-
2015;01058011;Bargstedt;6;4;2
2015;01058012;Barkelsby;16;9;7
2015;01058013;Beldorf;3;3;-
2015;01058014;Bendorf;5;4;1
2015;01058015;Beringstedt;5;5;-
2015;01058016;Bissee;-;-;-
2015;01058018;Blumenthal;2;1;1
2015;01058019;Böhnhusen;4;2;2
2015;01058021;Bokel;14;9;5
2015;01058022;Bordesholm;92;40;52
2015;01058023;Borgdorf-Seedorf;-;-;-
2015;01058024;Borgstedt;21;5;16
2015;01058025;Bornholt;2;-;2
2015;01058026;Bovenau;19;9;10
2015;01058027;Brammer;2;1;1
2015;01058028;Bredenbek;9;6;3
2015;01058029;Breiholz;22;7;15
2015;01058030;Brekendorf;6;5;1
2015;01058031;Brinjahe;1;1;-
2015;01058032;Brodersby;5;2;3
2015;01058033;Brügge;4;-;4
2015;01058034;Büdelsdorf;135;61;74
2015;01058035;Bünsdorf;1;1;-
2015;01058036;Christiansholm;-;-;-
2015;01058037;Dänischenhagen;32;20;12
2015;01058038;Dätgen;4;2;2
2015;01058039;Damendorf;3;2;1
2015;01058040;Damp;32;20;12
2015;01058042;Dörphof;7;5;2
2015;01058043;Eckernförde;305;150;155
2015;01058044;Ehndorf;3;2;1
2015;01058045;Eisendorf;-;-;-
2015;01058046;Ellerdorf;3;1;2
2015;01058047;Elsdorf-Westermühlen;25;16;9
2015;01058048;Embühren;1;-;1
2015;01058049;Emkendorf;9;3;6
2015;01058050;Felde;16;7;9
2015;01058051;Felm;7;5;2
2015;01058052;Fleckeby;17;10;7
2015;01058053;Flintbek;77;41;36
2015;01058054;Fockbek;103;40;63
2015;01058055;Friedrichsgraben;-;-;-
2015;01058056;Friedrichsholm;7;4;3
2015;01058057;Gammelby;10;4;6
2015;01058058;Gettorf;71;37;34
2015;01058059;Gnutz;5;3;2
2015;01058061;Gokels;10;3;7
2015;01058062;Grauel;6;2;4
2015;01058063;Grevenkrug;2;2;-
2015;01058064;Groß Buchwald;1;1;-
2015;01058065;Groß Vollstedt;6;3;3
2015;01058066;Groß Wittensee;12;5;7
2015;01058067;Güby;7;2;5
2015;01058068;Haale;6;5;1
2015;01058069;Haby;1;1;-
2015;01058070;Hamdorf;10;8;2
2015;01058071;Hamweddel;2;1;1
2015;01058072;Hanerau-Hademarschen;43;21;22
2015;01058073;Haßmoor;2;1;1
2015;01058074;Heinkenborstel;-;-;-
2015;01058075;Hörsten;-;-;-
2015;01058076;Hoffeld;-;-;-
2015;01058077;Hohenwestedt;84;43;41
2015;01058078;Hohn;31;14;17
2015;01058080;Holtsee;9;4;5
2015;01058081;Holzbunge;2;1;1
2015;01058082;Holzdorf;5;4;1
2015;01058083;Hütten;-;-;-
2015;01058084;Hummelfeld;1;-;1
2015;01058085;Jahrsdorf;2;1;1
2015;01058086;Jevenstedt;35;21;14
2015;01058087;Karby;6;5;1
2015;01058088;Klein Wittensee;6;1;5
2015;01058089;Königshügel;3;3;-
2015;01058090;Kosel;7;3;4
2015;01058091;Krogaspe;5;3;2
2015;01058092;Kronshagen;135;61;74
2015;01058093;Krummwisch;4;3;1
2015;01058094;Langwedel;14;8;6
2015;01058096;Lindau;12;3;9
2015;01058097;Lohe-Föhrden;4;3;1
2015;01058098;Loop;3;1;2
2015;01058099;Loose;3;3;-
2015;01058100;Lütjenwestedt;12;4;8
2015;01058101;Luhnstedt;4;1;3
2015;01058102;Goosefeld;7;4;3
2015;01058103;Meezen;1;1;-
2015;01058104;Melsdorf;8;4;4
2015;01058105;Mielkendorf;3;1;2
2015;01058106;Mörel;1;-;1
2015;01058107;Molfsee;36;17;19
