GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054001;Achtrup;116;76;521;481;-405
01054002;Ahrenshöft;177;168;177;168;0
01054003;Ahrenviöl;138;114;187;163;-49
01054004;Ahrenviölfeld;9;5;68;64;-59
01054005;Alkersum;152;122;167;137;-15
01054006;Almdorf;.;.;209;.;.
01054007;Arlewatt;77;74;105;102;-28
01054009;Aventoft;119;97;133;111;-14
01054010;Bargum;63;52;194;183;-131
01054011;Behrendorf;126;91;202;167;-76
01054012;Bohmstedt;105;84;280;259;-175
01054013;Bondelum;.;.;64;.;.
01054014;Bordelum;364;266;642;544;-278
01054015;Borgsum;39;25;148;134;-109
01054016;Bosbüll;.;.;81;81;.
01054017;Braderup;90;72;217;199;-127
01054018;Bramstedtlund;51;46;73;68;-22
01054019;Bredstedt;1575;1138;1606;1169;-31
01054020;Breklum;1208;1084;797;673;411
01054022;Dagebüll;177;134;276;233;-99
01054023;Drage;64;49;185;170;-121
01054024;Drelsdorf;198;145;492;439;-294
01054025;Dunsum;.;.;25;.;.
01054026;Elisabeth-Sophien-Koog;.;.;10;7;.
01054027;Ellhöft;10;7;36;33;-26
01054032;Fresendelf;-;-;28;28;-28
01054033;Friedrichstadt;669;470;694;495;-25
01054034;Friedrich-Wilhelm-Lübke-Koog;32;20;55;43;-23
01054035;Garding, Kirchspiel;45;.;51;.;-6
01054036;Garding;707;479;981;753;-274
01054037;Goldebek;.;.;110;107;.
01054038;Goldelund;28;18;128;118;-100
01054039;Gröde;-;-;4;4;-4
01054040;Grothusenkoog;.;.;5;.;.
01054041;Haselund;271;215;363;307;-92
01054042;Hattstedt;249;172;857;780;-608
01054043;Hattstedtermarsch;43;38;90;85;-47
01054045;Högel;24;13;126;115;-102
01054046;Hörnum (Sylt);337;142;446;251;-109
01054048;Holm;.;.;35;35;.
01054050;Hallig Hooge;41;17;39;15;2
01054052;Horstedt;72;55;286;269;-214
01054054;Hude;.;.;54;54;.
01054055;Humptrup;31;23;215;207;-184
01054056;Husum;15395;10942;7174;2730;8212
01054057;Immenstedt;29;17;262;250;-233
01054059;Joldelund;60;43;235;218;-175
01054061;Kampen (Sylt);543;458;166;81;377
01054062;Karlum;.;.;66;.;.
01054063;Katharinenheerd;.;.;61;.;-56
01054065;Klanxbüll;99;77;415;393;-316
01054068;Klixbüll;78;51;344;317;-266
01054070;Koldenbüttel;31;15;324;308;-293
01054071;Kolkerheide;.;.;22;.;.
01054072;Kotzenbüll;19;15;71;67;-52
01054073;Ladelund;175;121;453;399;-278
01054074;Langeneß;12;.;42;.;.
01054075;Langenhorn;728;520;1080;872;-352
01054076;Leck;2039;1249;2631;1841;-592
01054077;Lexgaard;.;.;23;23;.
01054078;List;761;328;801;369;-41
01054079;Löwenstedt;76;56;250;230;-174
01054080;Lütjenholm;11;7;110;106;-99
01054083;Midlum;73;51;186;164;-113
01054084;Mildstedt;638;507;1346;1213;-706
01054085;Nebel;405;185;417;197;-12
