GENESIS-Tabelle: 13111-08-02-5-B
Sozialversicherungspflichtig Beschäftigte am Arbeits- und;;;;;;
Wohnort sowie Ein- und Auspendler über Gemeindegrenzen;;;;;;
- Stichtag 30.06. - regionale Ebenen;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;
30.06.2015;;;;;;
;;Sozialversicherungspfl. Beschäftigte (Arbeitsort);Einpendler(innen) über Gemeindegrenze (Arbeitsort);Sozialversicherungspfl. Beschäftigte (Wohnort);Auspendler(innen) über Gemeindegrenzen (Wohnort);Pendlersaldo (über Gemeindegrenze)
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01057062;Preetz;4196;2704;5350;3857;-1153
01057063;Probsteierhagen;186;143;750;707;-564
01057065;Rantzau;21;17;140;136;-119
01057066;Rastorf;93;73;289;269;-196
01057067;Rathjensdorf;46;37;139;130;-93
01057068;Rendswühren;145;124;301;280;-156
01057069;Ruhwinkel;120;87;370;337;-250
01057070;Schellhorn;332;300;498;466;-166
01057071;Schillsdorf;83;51;330;298;-247
01057072;Schlesen;26;20;216;210;-190
01057073;Schönberg (Holstein);1606;990;1986;1370;-380
01057074;Schönkirchen;1700;1457;2507;2265;-808
01057076;Schwartbuck;41;26;308;293;-267
01057077;Selent;157;111;477;431;-320
01057078;Stakendorf;104;69;180;145;-76
01057079;Stein;55;42;265;252;-210
01057080;Stolpe;85;73;493;481;-408
01057081;Stoltenberg;11;.;96;.;-85
01057082;Tröndel;40;33;124;117;-84
01057083;Tasdorf;54;44;98;88;-44
01057084;Wahlstorf;21;15;170;164;-149
01057085;Wankendorf;647;432;1120;906;-474
01057086;Warnau;11;8;130;127;-119
01057087;Wendtorf;59;43;290;274;-231
01057088;Wisch;41;30;229;219;-189
01057089;Wittmoldt;9;5;48;44;-39
01057090;Fargau-Pratjau;37;31;262;256;-225
01057091;Schwentinental;4814;4098;4731;4017;81
01058001;Achterwehr;100;92;285;277;-185
01058003;Alt Duvenstedt;530;475;709;654;-179
01058004;Altenhof;80;68;104;92;-24
01058005;Altenholz;2278;1870;3070;2663;-793
01058007;Arpsdorf;19;16;100;97;-81
01058008;Ascheffel;163;123;347;307;-184
01058009;Aukrug;1010;686;1420;1096;-410
01058010;Bargstall;.;.;57;.;.
01058011;Bargstedt;52;34;297;279;-245
01058012;Barkelsby;129;88;523;482;-394
01058013;Beldorf;34;26;100;92;-66
01058014;Bendorf;62;46;144;128;-82
01058015;Beringstedt;101;78;276;253;-175
01058016;Bissee;46;43;50;47;-4
01058018;Blumenthal;39;35;245;241;-206
01058019;Böhnhusen;.;.;97;.;.
01058021;Bokel;.;.;246;238;.
01058022;Bordesholm;2187;1671;2170;1655;16
01058023;Borgdorf-Seedorf;39;36;144;141;-105
01058024;Borgstedt;372;332;528;488;-156
01058025;Bornholt;.;.;44;41;.
01058026;Bovenau;167;136;411;380;-244
01058027;Brammer;60;42;134;116;-74
01058028;Bredenbek;217;177;564;524;-347
01058029;Breiholz;210;150;526;466;-316
01058030;Brekendorf;38;29;370;361;-332
01058031;Brinjahe;23;19;41;37;-18
01058032;Brodersby;143;131;212;200;-69
01058033;Brügge;156;134;321;299;-165
01058034;Büdelsdorf;4928;4136;3576;2785;1351
01058035;Bünsdorf;62;49;212;199;-150
01058036;Christiansholm;.;.;82;76;.
01058037;Dänischenhagen;559;473;1247;1161;-688
01058038;Dätgen;123;103;245;225;-122
01058039;Damendorf;.;.;167;156;.
01058040;Damp;1725;1489;505;269;1220
01058042;Dörphof;43;31;265;253;-222
01058043;Eckernförde;7365;4472;6981;4090;382
01058044;Ehndorf;58;50;242;234;-184
01058045;Eisendorf;.;.;121;.;.
01058046;Ellerdorf;16;11;200;195;-184
01058047;Elsdorf-Westermühlen;180;127;623;570;-443
01058048;Embühren;.;.;82;77;.
01058049;Emkendorf;127;99;527;499;-400
01058050;Felde;251;216;740;705;-489
01058051;Felm;67;61;424;418;-357
01058052;Fleckeby;236;166;690;620;-454
01058053;Flintbek;2083;1641;2557;2115;-474
01058054;Fockbek;2104;1717;2181;1795;-78
01058055;Friedrichsgraben;.;.;15;.;.
01058056;Friedrichsholm;67;54;149;136;-82
01058057;Gammelby;50;42;159;151;-109
01058058;Gettorf;1524;1063;2502;2043;-980
01058059;Gnutz;103;77;468;442;-365
01058061;Gokels;34;24;186;176;-152
01058062;Grauel;.;3;105;.;-101
01058063;Grevenkrug;118;114;60;56;58
01058064;Groß Buchwald;.;.;107;101;.
01058065;Groß Vollstedt;184;159;392;367;-208
01058066;Groß Wittensee;253;209;399;355;-146
01058067;Güby;180;128;211;160;-32
01058068;Haale;32;21;184;173;-152
01058069;Haby;54;44;219;209;-165
01058070;Hamdorf;143;90;443;390;-300
01058071;Hamweddel;72;63;167;158;-95
01058072;Hanerau-Hademarschen;478;286;932;740;-454
01058073;Haßmoor;16;9;97;90;-81
01058074;Heinkenborstel;5;.;61;.;.
01058075;Hörsten;.;.;17;.;.
01058076;Hoffeld;17;12;45;40;-28
01058077;Hohenwestedt;3223;2421;1868;1066;1355
01058078;Hohn;454;323;860;729;-406
01058080;Holtsee;355;270;435;350;-80
01058081;Holzbunge;34;25;123;114;-89
01058082;Holzdorf;96;66;328;298;-232
01058083;Hütten;26;21;86;81;-60
01058084;Hummelfeld;.;-;104;100;-100
01058085;Jahrsdorf;.;.;87;84;.
01058086;Jevenstedt;792;578;1170;956;-378
01058087;Karby;37;28;199;190;-162
01058088;Klein Wittensee;.;.;55;52;.
01058089;Königshügel;.;.;64;58;.
01058090;Kosel;72;55;419;402;-347
01058091;Krogaspe;74;63;173;162;-99
01058092;Kronshagen;2409;2112;3718;3421;-1309
01058093;Krummwisch;53;41;265;253;-212
01058094;Langwedel;100;81;567;548;-467
01058096;Lindau;92;66;470;444;-378
01058097;Lohe-Föhrden;80;71;182;173;-102
01058098;Loop;.;.;43;.;.
01058099;Loose;81;70;325;314;-244
01058100;Lütjenwestedt;75;46;211;182;-136
01058101;Luhnstedt;23;16;156;149;-133
01058102;Goosefeld;15;10;243;238;-228
01058103;Meezen;.;.;130;.;.
01058104;Melsdorf;978;937;615;574;363
01058105;Mielkendorf;311;285;535;509;-224
01058106;Mörel;.;.;88;.;.
01058107;Molfsee;732;644;1359;1271;-627
01058108;Mühbrook;171;163;151;143;20
01058109;Negenharrie;26;16;126;116;-100
01058110;Neudorf-Bornstein;61;41;418;398;-357
01058111;Neu Duvenstedt;.;.;40;.;.
01058112;Neuwittenbek;101;54;395;349;-295
01058113;Nienborstel;98;85;251;238;-153
01058115;Nindorf;46;23;253;230;-207
01058116;Noer;69;55;284;270;-215
01058117;Nortorf;2625;1904;2405;1684;220
01058118;Nübbel;58;37;554;533;-496
01058119;Oldenbüttel;22;14;93;85;-71
01058120;Oldenhütten;.;.;62;58;.
01058121;Osdorf;322;243;896;817;-574
01058122;Ostenfeld (Rendsburg);69;57;256;244;-187
01058123;Osterby;40;30;325;315;-285
01058124;Osterrönfeld;2241;2017;1945;1721;296
01058125;Osterstedt;76;56;262;242;-186
01058126;Ottendorf;287;275;286;274;1
01058127;Owschlag;582;415;1225;1058;-643
01058128;Padenstedt;72;50;658;636;-586
01058129;Prinzenmoor;.;.;72;.;.
01058130;Quarnbek;59;43;619;603;-560
01058131;Rade b. Hohenwestedt;9;6;13;10;-4
01058132;Rade b. Rendsburg;.;.;64;61;.
01058133;Reesdorf;.;.;45;.;.
01058134;Remmels;78;62;158;142;-80
01058135;Rendsburg;17364;13255;9168;5064;8191
01058136;Rickert;117;112;362;357;-245
01058137;Rieseby;228;134;885;791;-657
01058138;Rodenbek;.;.;167;162;.
01058139;Rumohr;140;116;330;306;-190
01058140;Schacht-Audorf;961;758;1670;1467;-709
01058141;Schierensee;54;40;113;99;-59
01058142;Schinkel;107;79;354;326;-247
01058143;Schmalstede;.;.;104;.;.
01058144;Schönbek;10;.;59;.;-49
01058145;Schönhorst;.;.;110;99;.
01058146;Schülldorf;22;13;269;260;-247
01058147;Schülp b. Nortorf;76;54;331;309;-255
01058148;Schülp b. Rendsburg;188;168;346;326;-158
01058150;Schwedeneck;324;217;930;824;-607
01058151;Seefeld;13;7;134;128;-121
01058152;Sehestedt;98;74;332;308;-234
01058153;Sören;.;.;59;59;.
01058154;Sophienhamm;.;.;139;139;.
01058155;Stafstedt;35;23;129;117;-94
01058156;Steenfeld;25;18;116;109;-91
01058157;Strande;153;128;324;299;-171
01058158;Tackesdorf;-;-;21;21;-21
01058159;Tappendorf;.;.;119;110;.
01058160;Techelsdorf;.;.;58;52;.
01058161;Thaden;21;13;87;79;-66
01058162;Thumby;76;58;175;156;-98
01058163;Timmaspe;95;56;438;399;-343
01058164;Todenbüttel;130;96;387;353;-257
01058165;Tüttendorf;106;75;463;432;-357
01058166;Waabs;212;120;454;364;-244
01058167;Wapelfeld;-;-;123;123;-123
01058168;Warder;67;62;222;217;-155
01058169;Wasbek;868;769;885;786;-17
01058170;Wattenbek;499;439;989;929;-490
01058171;Westensee;120;88;512;480;-392
01058172;Westerrönfeld;876;717;1719;1560;-843
01058173;Windeby;96;76;367;347;-271
01058174;Winnemark;41;31;144;134;-103
01058175;Ahlefeld-Bistensee;12;6;143;137;-131
01059001;Alt Bennebek;31;27;123;119;-92
01059002;Arnis;47;33;98;84;-51
01059005;Bergenhusen;113;79;222;188;-109
01059006;Böel;83;68;244;229;-161
01059008;Böklund;1100;915;554;369;546
01059009;Börm;90;68;255;233;-165
01059010;Bollingstedt;254;223;562;531;-308
01059011;Boren;-;-;-;-;-
01059012;Borgwedel;.;.;195;179;.
01059014;Brebel;24;19;154;149;-130
01059016;Brodersby;94;77;130;113;-36
01059018;Busdorf;463;395;710;642;-247
01059019;Dannewerk;147;128;415;396;-268
01059020;Dörpstedt;85;66;204;185;-119
01059021;Dollrottfeld;20;15;99;94;-79
01059022;Ekenis;-;-;-;-;-
01059023;Ellingstedt;124;97;286;259;-162
01059024;Erfde;265;138;713;586;-448
01059026;Fahrdorf;408;328;695;615;-287
01059032;Geltorf;23;16;158;151;-135
01059033;Goltoft;.;.;69;63;.
01059034;Grödersby;22;.;68;.;-46
01059035;Groß Rheide;93;78;310;295;-217
01059037;Havetoft;123;92;341;310;-218
01059038;Havetoftloit;-;-;-;-;-
01059039;Hollingstedt;90;63;326;299;-236
01059041;Hüsby;136;122;308;294;-172
01059042;Idstedt;140;126;293;279;-153
01059043;Jagel;86;63;369;346;-283
01059044;Jübek;354;258;892;796;-538
01059045;Kappeln;3568;2178;2677;1290;888
01059047;Kiesby;-;-;-;-;-
01059049;Klappholz;48;32;167;151;-119
01059050;Klein Bennebek;.;.;204;196;.
01059051;Klein Rheide;.;.;122;.;.
01059053;Kropp;2408;1769;1988;1350;419
01059055;Loit;55;48;87;80;-32
01059056;Lottorf;.;.;78;.;.
01059057;Lürschau;130;107;402;378;-271
01059058;Meggerdorf;53;41;259;247;-206
01059060;Mohrkirch;138;99;353;314;-215
01059062;Neuberend;41;31;344;334;-303
01059063;Norderbrarup;43;38;232;227;-189
01059064;Norderstapel;171;138;218;185;-47
01059065;Nottfeld;.;.;44;39;.
01059067;Oersberg;16;.;92;.;-76
01059068;Rabenkirchen-Faulück;83;61;193;171;-110
01059069;Rüde;-;-;-;-;-
01059070;Rügge;11;7;97;93;-86
01059071;Satrup;-;-;-;-;-
01059072;Saustrup;9;6;69;66;-60
01059073;Schaalby;73;54;536;517;-463
01059074;Scheggerott;20;10;147;137;-127
01059075;Schleswig;14088;9784;7550;3249;6535
01059076;Schnarup-Thumby;79;61;187;170;-109
01059077;Schuby;684;593;942;851;-258
01059078;Selk;98;84;276;262;-178
01059079;Silberstedt;647;485;750;588;-103
01059080;Steinfeld;100;79;223;202;-123
01059081;Stolk;23;9;287;273;-264
01059082;Struxdorf;67;52;245;230;-178
01059083;Süderbrarup;1502;1156;1248;902;254
01059084;Süderfahrenstedt;19;11;172;164;-153
01059085;Süderstapel;177;130;266;219;-89
01059086;Taarstedt;168;150;362;344;-194
01059087;Tetenhusen;83;45;306;268;-223
01059088;Tielen;11;6;104;99;-93
01059090;Tolk;163;123;383;344;-221
01059092;Treia;303;235;492;424;-189
01059093;Ülsby;.;.;119;106;.
01059094;Ulsnis;74;57;172;155;-98
01059095;Wagersrott;.;.;72;68;.
01059096;Wohlde;54;33;165;144;-111
01059097;Twedt;142;132;160;150;-18
01059098;Nübel;144;116;468;440;-324
01059101;Tastrup;21;21;131;131;-110
01059102;Ahneby;.;.;73;66;.
01059103;Ausacker;21;18;168;165;-147
01059105;Böxlund;.;.;32;.;.
01059106;Dollerup;62;43;352;333;-290
01059107;Eggebek;514;406;801;693;-287
01059109;Esgrus;129;101;228;200;-99
01059112;Gelting;378;254;559;435;-181
01059113;Glücksburg (Ostsee);1252;970;1452;1170;-200
01059115;Großenwiehe;451;334;1065;948;-614
01059116;Großsolt;104;65;647;608;-543
01059118;Grundhof;249;219;281;251;-32
01059120;Harrislee;4016;3306;3175;2468;838
01059121;Hasselberg;77;55;246;224;-169
01059123;Hörup;65;45;203;183;-138
01059124;Holt;.;.;67;60;.
01059126;Hürup;329;278;406;355;-77
01059127;Husby;321;236;806;721;-485
01059128;Janneby;28;15;143;130;-115
01059129;Jardelund;13;7;93;87;-80
01059131;Jerrishoe;33;22;340;329;-307
01059132;Jörl;183;148;309;275;-127
01059136;Kronsgaard;37;30;78;71;-41
01059137;Langballig;338;281;443;386;-105
01059138;Langstedt;163;142;319;298;-156
01059141;Maasbüll;157;143;216;202;-59
01059142;Maasholm;74;49;160;135;-86
01059143;Medelby;237;175;272;210;-35
01059144;Meyn;46;42;233;229;-187
01059145;Munkbrarup;34;24;334;324;-300
01059147;Nieby;.;.;28;.;.
01059148;Niesgrau;74;54;191;171;-117
01059149;Nordhackstedt;367;334;178;145;189
01059151;Osterby;20;16;89;85;-69
01059152;Pommerby;17;12;38;33;-21
01059153;Quern;-;-;-;-;-
01059154;Rabel;50;38;243;231;-193
01059155;Rabenholz;16;10;97;91;-81
01059157;Ringsberg;68;55;218;205;-150
01059158;Schafflund;507;376;803;672;-296
01059159;Sieverstedt;101;83;574;556;-473
01059161;Sörup;1346;1030;1425;1109;-79
01059162;Sollerup;127;104;164;141;-37
01059163;Stangheck;8;3;79;74;-71
01059164;Steinberg;112;86;243;217;-131
01059165;Steinbergkirche;-;-;-;-;-
01059167;Sterup;169;116;465;412;-296
01059168;Stoltebüll;101;81;212;192;-111
01059169;Süderhackstedt;.;.;97;.;.
01059171;Tarp;1361;1013;1617;1269;-256
01059173;Wallsbüll;34;25;304;295;-270
01059174;Wanderup;392;282;887;777;-495
01059176;Wees;622;564;782;724;-160
01059177;Weesby;60;36;128;104;-68
01059178;Westerholz;30;24;215;209;-185
01059179;Lindewitt;191;121;701;631;-510
01059182;Freienwill;143;113;522;492;-379
01059183;Handewitt;4175;3521;3934;3280;241
01059184;Oeversee;402;312;1218;1128;-816
01059185;Mittelangeln;1122;726;1770;1374;-648
01059186;Steinbergkirche;434;290;860;716;-426
01059187;Boren;257;211;341;295;-84
01060002;Alveslohe;426;337;1067;978;-641
01060003;Armstedt;12;7;154;149;-142
01060004;Bad Bramstedt;4363;2932;5376;3947;-1015
01060005;Bad Segeberg;10263;7495;6411;3647;3848
01060006;Bahrenhof;.;.;63;59;.
01060007;Bark;74;55;417;398;-343
01060008;Bebensee;66;58;227;219;-161
01060009;Bimöhlen;196;157;330;291;-134
01060010;Blunk;32;20;216;204;-184
01060011;Boostedt;939;749;1661;1471;-722
01060012;Bornhöved;727;585;1288;1147;-562
01060013;Borstel;.;.;41;35;.
01060014;Buchholz b. Wahlstedt;-;-;-;-;-
01060015;Bühnsdorf;.;.;120;116;.
01060016;Daldorf;196;163;303;270;-107
01060017;Damsdorf;58;55;103;100;-45
01060018;Dreggers;.;.;13;.;.
01060019;Ellerau;1261;1079;2271;2088;-1009
01060020;Fahrenkrug;274;240;571;536;-296
01060021;Föhrden-Barl;9;4;116;111;-107
01060022;Fredesdorf;23;18;176;171;-153
01060023;Fuhlendorf;92;61;185;154;-93
01060024;Geschendorf;37;32;179;174;-142
01060025;Glasau;113;76;292;255;-179
01060026;Gönnebek;190;155;203;168;-13
01060027;Großenaspe;461;318;1059;916;-598
01060028;Groß Kummerfeld;101;76;714;689;-613
01060029;Groß Niendorf;29;23;262;256;-233
01060030;Groß Rönnau;27;23;167;163;-140
01060031;Hagen;32;21;174;163;-142
01060033;Hardebek;.;.;172;152;.
01060034;Hartenholm;371;296;651;576;-280
01060035;Hasenkrug;10;7;142;139;-132
01060036;Hasenmoor;84;59;299;274;-215
01060037;Heidmoor;.;.;141;.;.
01060038;Heidmühlen;84;61;270;249;-188
01060039;Henstedt-Ulzburg;7459;5753;11068;9366;-3613
01060040;Hitzhusen;148;121;492;465;-344
01060041;Högersdorf;57;48;165;156;-108
01060042;Hüttblek;.;.;147;.;.
01060043;Itzstedt;323;260;1030;967;-707
01060044;Kaltenkirchen;9293;7107;8114;5933;1174
01060045;Kattendorf;112;92;323;303;-211
01060046;Kayhude;264;229;454;419;-190
01060047;Kisdorf;523;404;1408;1289;-885
01060048;Klein Gladebrügge;.;.;195;191;.
01060049;Klein Rönnau;202;180;456;434;-254
01060050;Krems II;31;24;140;133;-109
01060051;Kükels;97;87;184;174;-87
01060052;Latendorf;6;.;205;.;-199
01060053;Leezen;516;407;721;612;-205
01060054;Lentföhrden;378;318;1038;979;-661
01060056;Mönkloh;10;4;86;80;-76
01060057;Mözen;29;21;187;179;-158
01060058;Nahe;394;313;890;809;-496
01060059;Negernbötel;50;32;340;322;-290
01060060;Nehms;84;73;194;183;-110
01060061;Neuengörs;54;41;275;262;-221
01060062;Neversdorf;64;43;292;271;-228
01060063;Norderstedt;32360;23442;30665;21756;1686
01060064;Nützen;239;212;524;497;-285
01060065;Oering;78;64;529;515;-451
01060066;Oersdorf;63;51;321;309;-258
01060067;Pronstorf;165;113;506;454;-341
01060068;Rickling;.;.;1099;802;.
01060069;Rohlstorf;136;100;372;336;-236
01060070;Schackendorf;135;122;248;235;-113
01060071;Schieren;62;52;92;82;-30
01060072;Schmalensee;85;78;165;158;-80
01060073;Schmalfeld;211;141;751;681;-540
01060074;Schwissel;.;.;95;.;.
01060075;Seedorf;224;148;712;636;-488
01060076;Seth;157;109;835;787;-678
01060077;Sievershütten;106;81;465;440;-359
01060079;Stipsdorf;.;.;54;42;.
01060080;Stocksee;31;15;151;135;-120
01060081;Strukdorf;.;.;101;.;.
01060082;Struvenhütten;76;49;391;364;-315
01060084;Stuvenborn;200;169;347;316;-147
01060085;Sülfeld;804;676;1240;1113;-437
01060086;Tarbek;.;.;61;.;.
01060087;Tensfeld;90;67;286;263;-196
01060088;Todesfelde;152;114;436;397;-283
01060089;Trappenkamp;1085;678;1792;1384;-706
01060090;Travenhorst;.;.;65;58;.
01060091;Traventhal;23;17;172;166;-149
01060092;Wahlstedt;3877;2515;3571;2211;304
01060093;Wakendorf I;42;34;145;137;-103
01060094;Wakendorf II;129;102;561;534;-432
01060095;Weddelbrook;193;157;401;365;-208
01060096;Weede;78;62;346;330;-268
01060097;Wensin;46;26;298;278;-252
01060098;Westerrade;66;48;153;135;-87
01060099;Wiemersdorf;203;127;678;602;-475
01060100;Winsen;56;48;141;133;-85
01060101;Wittenborn;247;221;366;340;-119
01061001;Aasbüttel;.;.;41;30;.
01061002;Aebtissinwisch;.;.;18;.;.
01061003;Agethorst;.;.;69;66;.
01061004;Altenmoor;11;6;97;92;-86
01061005;Auufer;6;3;54;51;-48
01061006;Bahrenfleth;46;36;212;202;-166
01061007;Beidenfleth;95;68;326;299;-231
01061008;Bekdorf;.;.;34;34;.
01061010;Bekmünde;48;45;65;62;-17
01061011;Besdorf;8;.;80;.;-72
01061012;Blomesche Wildnis;141;116;227;202;-86
01061013;Bokelrehm;8;3;60;55;-52
01061014;Bokhorst;6;3;57;54;-51
01061015;Borsfleth;108;86;278;256;-170
01061016;Breitenberg;49;42;123;116;-74
01061017;Breitenburg;138;126;365;353;-227
01061018;Brokdorf;649;557;384;292;265
01061019;Brokstedt;282;206;757;681;-475
01061020;Büttel;387;384;9;6;378
01061021;Christinenthal;.;.;22;.;.
01061022;Dägeling;888;848;413;374;474
01061023;Dammfleth;65;57;105;97;-40
01061024;Drage;10;7;71;68;-61
01061025;Ecklak;19;15;118;114;-99
01061026;Elskop;.;.;54;51;.
01061027;Engelbrechtsche Wildnis;123;104;266;247;-143
01061028;Fitzbek;.;.;151;147;.
01061029;Glückstadt;3646;2197;4050;2601;-404
01061030;Grevenkop;76;70;114;108;-38
01061031;Gribbohm;58;52;172;166;-114
01061033;Hadenfeld;56;52;55;51;1
01061034;Heiligenstedten;326;292;617;583;-291
01061035;Heiligenstedtenerkamp;49;39;283;273;-234
01061036;Hennstedt;43;32;214;203;-171
01061037;Herzhorn;103;81;404;382;-301
01061038;Hingstheide;.;.;29;25;.
01061039;Hodorf;18;8;92;82;-74
01061040;Hohenaspe;366;281;758;673;-392
01061041;Hohenfelde;87;69;386;368;-299
01061042;Hohenlockstedt;1493;1099;2045;1652;-553
01061043;Holstenniendorf;43;30;121;108;-78
01061044;Horst (Holstein);1653;1299;2089;1735;-436
01061045;Huje;6;.;84;.;-78
01061046;Itzehoe;16788;11626;10764;5600;6026
01061047;Kaaks;52;48;139;135;-87
01061048;Kaisborstel;.;.;29;.;-24
01061049;Kellinghusen;1418;806;2652;2041;-1235
01061050;Kiebitzreihe;343;291;780;728;-437
01061052;Kleve, b. Itzehoe;24;10;240;226;-216
01061053;Kollmoor;.;.;11;11;.
01061054;Krempdorf;.;.;75;72;.
01061055;Krempe;456;359;858;761;-402
01061056;Kremperheide;412;344;919;851;-507
01061057;Krempermoor;8;.;187;.;-179
01061058;Kronsmoor;16;12;56;52;-40
01061059;Krummendiek;.;.;27;.;.
01061060;Kudensee;.;.;55;.;.
01061061;Lägerdorf;610;477;939;806;-329
01061062;Landrecht;.;.;43;.;.
01061063;Landscheide;204;195;77;68;127
01061064;Lockstedt;.;.;57;48;.
01061065;Lohbarbek;26;17;278;269;-252
01061066;Looft;50;38;149;137;-99
01061067;Mehlbek;8;5;168;165;-160
01061068;Moordiek;.;.;40;.;.
01061070;Moorhusen;3;.;26;.;.
01061071;Mühlenbarbek;30;25;114;109;-84
01061072;Münsterdorf;134;104;652;622;-518
01061073;Neuenbrook;34;20;282;268;-248
01061074;Neuendorf b. Elmshorn;139;116;313;290;-174
01061076;Nienbüttel;.;.;39;.;.
01061077;Nortorf;24;19;323;318;-299
01061078;Nutteln;13;8;100;95;-87
01061079;Oelixdorf;85;63;499;476;-413
01061080;Oeschebüttel;12;9;55;52;-43
01061081;Oldenborstel;.;.;35;.;.
01061082;Oldendorf;26;17;392;383;-366
01061083;Ottenbüttel;60;45;251;236;-191
01061084;Peissen;.;.;96;.;.
01061085;Pöschendorf;.;.;100;.;.
01061086;Poyenberg;15;9;144;138;-129
01061087;Puls;9;4;242;237;-233
01061088;Quarnstedt;63;46;154;137;-91
01061089;Rade;.;.;27;24;.
01061091;Reher;57;35;295;273;-238
01061092;Rethwisch;60;54;233;227;-173
01061093;Rosdorf;21;18;136;133;-115
01061095;Sankt Margarethen;40;22;322;304;-282
01061096;Sarlhusen;132;104;203;175;-71
01061097;Schenefeld;890;650;891;651;-1
01061098;Schlotfeld;.;.;75;.;-70
01061099;Siezbüttel;-;-;-;-;-
01061100;Silzen;10;7;60;57;-50
01061101;Sommerland;64;51;285;272;-221
01061102;Stördorf;.;.;47;.;.
01061103;Störkathen;.;.;31;.;.
01061104;Süderau;125;103;281;259;-156
01061105;Vaale;137;91;453;407;-316
01061106;Vaalermoor;.;.;62;57;.
01061107;Wacken;280;181;709;610;-429
01061108;Warringholz;.;.;129;117;.
01061109;Westermoor;10;5;167;162;-157
01061110;Wewelsfleth;207;149;540;482;-333
01061111;Wiedenborstel;.;.;4;.;.
01061112;Willenscharen;.;.;60;.;.
01061113;Wilster;918;631;1462;1175;-544
01061114;Winseldorf;.;.;117;117;.
01061115;Wittenbergen;11;8;60;57;-49
01061116;Wrist;224;152;870;798;-646
01061117;Wulfsmoor;.;.;140;129;.
01061118;Kollmar;302;237;604;540;-303
01061119;Neuendorf-Sachsenbande;49;33;168;152;-119
01062001;Ahrensburg;16213;13171;11449;8412;4759
01062003;Badendorf;41;31;348;338;-307
01062004;Bad Oldesloe;11802;8328;9227;5758;2570
01062005;Bargfeld-Stegen;154;120;1086;1052;-932
01062006;Bargteheide;4902;3753;6158;5013;-1260
01062008;Barnitz;45;34;347;336;-302
01062009;Barsbüttel;5875;5310;4809;4247;1063
01062011;Braak;1086;1054;359;327;727
01062014;Delingsdorf;272;215;942;885;-670
01062016;Elmenhorst;225;178;976;929;-751
01062018;Glinde;6853;5962;7031;6142;-180
01062019;Grabau;51;41;307;297;-256
01062020;Grande;125;111;241;227;-116
01062021;Grönwohld;107;79;509;480;-401
01062022;Großensee;144;123;665;644;-521
01062023;Großhansdorf;2035;1681;3054;2702;-1021
01062025;Hamberge;73;58;632;617;-559
01062026;Hamfelde;155;130;183;158;-28
01062027;Hammoor;90;68;503;481;-413
01062031;Heidekamp;.;.;160;.;.
01062032;Heilshoop;86;65;209;188;-123
01062033;Hohenfelde;.;.;18;.;.
01062035;Hoisdorf;776;693;1226;1143;-450
01062036;Jersbek;123;91;586;554;-463
01062039;Klein Wesenberg;18;9;296;287;-278
01062040;Köthel;21;17;129;125;-108
01062045;Lütjensee;1085;898;1207;1020;-122
01062046;Meddewade;33;25;355;347;-322
01062048;Mönkhagen;19;16;299;296;-280
01062050;Neritz;53;36;133;116;-80
01062051;Nienwohld;71;43;197;169;-126
01062053;Oststeinbek;3309;3071;3138;2901;170
01062056;Pölitz;84;64;447;427;-363
01062058;Rausdorf;17;12;85;80;-68
01062059;Rehhorst;28;19;313;304;-285
01062060;Reinbek;9846;8253;9600;8010;243
01062061;Reinfeld (Holstein);2847;2210;3294;2658;-448
01062062;Rethwisch;94;80;462;448;-368
01062065;Rümpel;90;64;510;484;-420
01062069;Siek;1391;1256;952;818;438
01062071;Stapelfeld;1113;1061;657;607;454
01062076;Tangstedt;1048;849;2352;2154;-1305
01062078;Todendorf;163;148;546;531;-383
01062081;Tremsbüttel;182;161;745;724;-563
01062082;Trittau;3060;2366;3394;2701;-335
01062083;Westerau;125;85;324;284;-199
01062086;Witzhave;813;779;593;561;218
01062087;Zarpen;67;42;565;540;-498
01062088;Brunsbek;135;119;640;624;-505
01062089;Lasbek;145;109;525;489;-380
01062090;Ammersbek;1225;975;3585;3335;-2360
01062091;Steinburg;228;155;1163;1090;-935
01062092;Travenbrück;117;96;713;692;-596
01062093;Feldhorst;24;16;246;238;-222
01062094;Wesenberg;187;165;714;692;-527
02000000;Hamburg;912762;338467;684985;111024;227443
03101000;Braunschweig, krsfr. Stadt;123539;.;95951;.;.
03102000;Salzgitter, krsfr. Stadt;47371;.;36136;.;.
03103000;Wolfsburg, krsfr. Stadt;118677;.;50110;.;.
03151009;Gifhorn;19494;12824;15767;9105;3719
03151025;Sassenburg;1189;779;4964;4554;-3775
03151040;Wittingen;4091;2320;4572;2800;-480
03151401;Boldecker Land, Samtgemeinde;.;.;.;.;.
03151401002;Barwedel;16;13;431;428;-415
03151401004;Bokensdorf;29;21;542;534;-513
03151401014;Jembke;140;106;959;925;-819
03151401020;Osloß;58;40;862;844;-804
03151401030;Tappenbeck;.;.;637;621;.
03151401039;Weyhausen;1157;1026;1060;930;96
03151402;Brome, Samtgemeinde;.;.;.;.;.
03151402003;Bergfeld;.;.;385;367;.
03151402005;Brome;547;408;1216;1077;-669
03151402008;Ehra-Lessien;116;94;592;570;-476
03151402021;Parsau;106;70;753;717;-647
03151402024;Rühen;245;187;2241;2183;-1996
