GENESIS-Tabelle: 14344-01-02-5
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.08.2014;14522180;Freiberg, Stadt, Universitätsstadt;33200;48,9;16106;6277;2067;935;581;3284;2962
31.08.2014;14522190;Geringswalde, Stadt;3816;46,8;1756;764;218;39;68;379;288
31.08.2014;14522200;Großhartmannsdorf;2156;58,7;1233;674;88;18;46;194;213
31.08.2014;14522210;Großschirma, Stadt;4764;52,8;2478;1125;278;100;101;346;528
31.08.2014;14522220;Großweitzschen;2400;51,1;1208;572;119;41;73;191;212
31.08.2014;14522230;Hainichen, Stadt;7255;47,4;3383;1566;433;93;137;614;540
31.08.2014;14522240;Halsbrücke;4346;55,2;2375;1112;198;83;96;454;432
31.08.2014;14522250;Hartha, Stadt;6371;44,0;2747;1207;321;65;109;539;506
31.08.2014;14522260;Hartmannsdorf;3808;55,2;2083;1025;256;72;66;281;383
31.08.2014;14522270;Hilbersdorf;-;-;-;-;-;-;-;-;-
31.08.2014;14522280;Königsfeld;1304;55,3;712;335;78;27;37;112;123
31.08.2014;14522290;Königshain-Wiederau;2240;55,4;1220;673;125;27;43;159;193
31.08.2014;14522300;Kriebstein;1933;54,3;1032;447;82;33;34;198;238
31.08.2014;14522310;Leisnig, Stadt;7328;47,9;3449;1452;411;97;155;712;622
31.08.2014;14522320;Leubsdorf;2923;53,9;1558;794;168;50;53;235;258
31.08.2014;14522330;Lichtenau;6161;57,4;3503;1630;391;109;135;587;651
31.08.2014;14522340;Lichtenberg/Erzgeb.;2253;55,1;1228;585;109;44;60;198;232
31.08.2014;14522350;Lunzenau, Stadt;3869;48,5;1851;853;264;59;49;297;329
31.08.2014;14522360;Mittweida, Stadt, Hochschulstadt;12592;47,8;5930;2641;669;180;209;1228;1003
31.08.2014;14522370;Mochau;1943;50,0;957;441;82;21;36;167;210
31.08.2014;14522380;Mühlau;1776;52,7;925;415;103;33;40;170;164
31.08.2014;14522390;Mulda/Sa.;2163;56,9;1207;626;93;26;64;172;226
31.08.2014;14522400;Neuhausen/Erzgeb.;2386;51,8;1211;594;123;25;91;170;208
31.08.2014;14522410;Niederstriegis;-;-;-;-;-;-;-;-;-
31.08.2014;14522420;Niederwiesa;4154;56,3;2314;1083;295;123;81;373;359
31.08.2014;14522430;Oberschöna;2790;60,0;1647;746;181;67;88;275;290
31.08.2014;14522440;Oederan, Stadt;6995;51,8;3583;1637;331;101;131;631;752
31.08.2014;14522450;Ostrau;3174;47,3;1484;638;131;37;64;303;311
31.08.2014;14522460;Penig, Stadt;7931;49,0;3820;1757;464;110;116;729;644
31.08.2014;14522470;Rechenberg-Bienenmühle;1726;60,6;1027;512;77;15;98;134;191
31.08.2014;14522480;Reinsberg;2406;55,8;1310;615;119;61;53;202;260
31.08.2014;14522490;Rochlitz, Stadt;5208;48,7;2517;987;322;84;132;596;396
31.08.2014;14522500;Rossau;2943;55,1;1594;784;166;51;55;273;265
31.08.2014;14522510;Roßwein, Stadt;6477;47,1;3012;1334;377;91;104;579;527
31.08.2014;14522520;Sayda, Stadt;1629;53,2;853;426;81;16;57;123;150
31.08.2014;14522530;Seelitz;1571;54,7;851;372;88;27;39;164;161
31.08.2014;14522540;Striegistal;3996;50,9;2008;967;193;49;82;310;407
31.08.2014;14522550;Taura;2081;49,7;1006;505;103;31;40;148;179
31.08.2014;14522570;Waldheim, Stadt;7737;45,5;3449;1280;428;109;279;693;660
31.08.2014;14522580;Wechselburg;1630;53,4;856;390;112;31;34;132;157
31.08.2014;14522590;Weißenborn/Erzgeb.;2118;55,7;1154;565;107;33;44;197;208
31.08.2014;14522600;Zettlitz;669;51,1;339;138;35;9;17;73;67
31.08.2014;14522610;Ziegra-Knobelsdorf;-;-;-;-;-;-;-;-;-
31.08.2014;14522620;Zschaitz-Ottewig;1110;52,4;575;253;52;9;15;107;139
31.08.2014;14523010;Adorf/Vogtl., Stadt;4441;45,1;1978;823;301;40;39;319;456
31.08.2014;14523020;Auerbach/Vogtl., Stadt;16349;42,3;6818;3073;865;215;199;1287;1179
31.08.2014;14523030;Bad Brambach;1697;43,0;722;325;88;18;10;131;150
31.08.2014;14523040;Bad Elster, Stadt;3142;47,8;1471;571;221;46;45;286;302
31.08.2014;14523050;Bergen;874;49,8;429;185;67;5;14;63;95
31.08.2014;14523060;Bösenbrunn;1013;44,6;448;176;57;19;12;86;98
31.08.2014;14523070;Burgstein;-;-;-;-;-;-;-;-;-
31.08.2014;14523080;Eichigt;1057;45,1;466;181;60;13;9;98;105
31.08.2014;14523090;Ellefeld;2307;47,2;1077;516;121;40;33;181;186
31.08.2014;14523100;Elsterberg, Stadt;3695;54,4;1972;783;286;75;91;358;379
31.08.2014;14523110;Erlbach;-;-;-;-;-;-;-;-;-
31.08.2014;14523120;Falkenstein/Vogtl., Stadt;7170;43,9;3118;1433;393;78;132;566;516
31.08.2014;14523130;Grünbach;1535;50,6;767;414;73;20;20;118;122
31.08.2014;14523140;Hammerbrücke;-;-;-;-;-;-;-;-;-
