GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
13052050;Malchin, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052051;Meesiger;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052053;Mölln;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052054;Kentzlin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052055;Neukalen, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052056;Nossendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052059;Pripsleben;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052062;Remplin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052063;Ritzerow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052064;Röckwitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052065;Rosenow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052067;Sarow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052070;Schönfeld;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052071;Siedenbollentin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052073;Sommersdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052074;Stavenhagen, Reuterstadt, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052078;Tutow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052079;Tützpatz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052082;Verchen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052083;Völschow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052085;Warrenzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052086;Werder;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052087;Wildberg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052088;Wolde;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052092;Zettemin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052093;Borrentin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052094;Hohenmocker;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052095;Kletzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052096;Siedenbrünzow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052097;Utzedel;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13052098;Sassen-Trantow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053002;Alt Sührkow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053003;Altkalen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053004;Baumgarten;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053005;Behren-Lübchin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053007;Bernitt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053008;Boddin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053013;Bützow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053015;Dahmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053016;Dalkendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053017;Diekhof;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053019;Dreetz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053020;Finkenthal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053021;Glasewitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053022;Gnoien, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053026;Groß Roge;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053027;Groß Schwiesow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053028;Groß Wokern;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053029;Groß Wüstenfelde;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053031;Güstrow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053032;Gutow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053033;Hohen Demzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053034;Hohen Sprenz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053035;Hoppenrade;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053036;Jördenstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053037;Jürgenshagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053039;Klein Belitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053041;Klein Upahl;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053043;Krakow am See, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053044;Kuchelmiß;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053045;Kuhs;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053047;Laage, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053048;Lalendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053049;Langhagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053050;Lelkendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053054;Lohmen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053056;Lühburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053057;Lüssow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053060;Mistorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053062;Mühl Rosin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053067;Penzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053068;Plaaz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053075;Reimershagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053078;Rühn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053080;Sarmstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053083;Steinhagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053086;Tarnow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053087;Teterow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053088;Thürkow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053091;Walkendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053092;Wardow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053093;Warnkenhagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053094;Warnow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053095;Wasdow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053098;Zehna;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053099;Zepelin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053102;Dobbin-Linstow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053103;Dolgen am See;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053104;Gülzow-Prüzen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053105;Schorssow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053106;Schwasdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053107;Sukow-Levitzow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13053109;Prebberede;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054001;Alt Krenzlin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054002;Alt Zachun;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054003;Balow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054004;Bandenitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054007;Belsch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054009;Besitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054010;Blievenstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054011;Bobzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054013;Boizenburg/Elbe, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054014;Brahlstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054015;Brenz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054016;Bresegard bei Picher;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054017;Bresegard bei Eldena;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054018;Brunow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054021;Dambeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054022;Dersenow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054024;Dömitz, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054027;Dümmer;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054028;Eldena;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054030;Gallin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054031;Gammelin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054034;Göhlen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054035;Gorlosen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054037;Grabow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054039;Gresse;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054040;Greven;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054041;Groß Krams;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054042;Groß Laasch;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054043;Hagenow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054045;Holthusen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054046;Hoort;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054047;Hülseburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054049;Karenz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054051;Karstädt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054052;Kirch Jesar;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054054;Klein Rogahn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054056;Kogel;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054057;Körchow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054058;Kremmin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054060;Kuhstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054063;Lehsen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054064;Leussow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054065;Lübesse;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054066;Lüblow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054067;Lübtheen, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054069;Ludwigslust, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054071;Malk Göhren;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054072;Malliß;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054074;Milow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054075;Möllenbeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054076;Moraas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054077;Muchow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054078;Neu Gülze;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054079;Neu Kaliß;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054081;Neustadt-Glewe, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054083;Nostorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054084;Pampow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054086;Pätow-Steegen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054087;Picher;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054089;Prislich;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054090;Pritzier;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054091;Rastow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054092;Redefin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054095;Schossin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054096;Schwanheide;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054097;Setzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054098;Steesow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054099;Stralendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054100;Strohkirchen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054101;Sülstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054102;Teldau;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054103;Tessin b. Boizenburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054106;Toddin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054107;Uelitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054109;Vellahn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054110;Vielank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054111;Warlitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054112;Warlow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054113;Warsow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054117;Wittenburg, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054118;Wittenförden;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054119;Wöbbelin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054121;Zarrentin am Schaalsee, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054122;Zierzow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054123;Zülow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054124;Wittendörp;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054125;Grebs-Niendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054126;Lüttow-Valluhn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13054127;Bengerstorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055002;Beseritz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055003;Blankenhof;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055004;Blankensee;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055005;Blumenholz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055008;Brunn;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055009;Burg Stargard, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055010;Cammin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055011;Carpin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055012;Cölpin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055020;Friedland, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055021;Genzkow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055022;Glienke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055023;Godendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055028;Groß Nemerow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055029;Grünow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055032;Hohenzieritz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055033;Holldorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055035;Klein Vielen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055037;Kratzeburg;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055039;Kublank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055043;Mildenitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055044;Mirow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055045;Möllenbeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055046;Neddemin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055047;Neetzka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055049;Neuenkirchen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055050;Neustrelitz, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055051;Neverin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055053;Petersdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055054;Pragsdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055055;Priepert;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055058;Roggentin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055061;Schönbeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055062;Schönhausen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055066;Staven;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055068;Teschendorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055069;Trollenhagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055070;Userin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055071;Voigtsdorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055074;Wesenberg,Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055076;Woggersin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055078;Woldegk, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055079;Wulkenzin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055080;Wustrow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055081;Zirzow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055082;Feldberger Seenlandschaft;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055083;Groß Miltzow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055084;Helpt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055085;Eichhorst;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055086;Wokuhl-Dabelow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055087;Lindetal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055088;Datzetal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055089;Galenbeck;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13055090;Sponholz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056004;Alt Schwerin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056005;Altenhof;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056006;Ankershagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056007;Bollewick;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056008;Buchholz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056009;Bütow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056010;Fincken;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056011;Göhren-Lebbin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056012;Gotthun;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056013;Grabow-Below;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056014;Grabowhöfe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056015;Groß Dratow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056016;Groß Flotow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056017;Groß Gievitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056018;Groß Kelle;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056019;Groß Plasten;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056020;Groß Vielen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056022;Hinrichshagen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056023;Hohen Wangelin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056024;Jabel;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056025;Jaebetz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056026;Kambs;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056027;Kargow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056028;Kieve;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056029;Klein Lukow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056030;Klink;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056031;Klocksin;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056033;Krukow;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056035;Lapitz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056036;Lärz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056037;Leizen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056039;Ludorf;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
13056041;Malchow, Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
