GENESIS-Tabelle: 33111-01-01-5-B
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
- Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2015;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung (ohne Friedhofsfläche);Flächen anderer Nutzung (ohne Friedhofsfläche)
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
01051138;Tensbüttel-Röst;1936;207;78;25;7;7;1;0;-;121;112;1404;0;-;184;34;1;106;102
01051139;Süderdorf;1621;104;48;17;-;2;0;0;-;54;53;1422;-;-;71;20;2;2;2
01051140;Oesterwurth;1419;94;44;12;1;3;2;-;-;44;41;1296;-;-;1;28;-;0;0
01051141;Süderheistedt;844;80;50;22;0;2;1;1;-;26;26;727;-;-;25;9;-;3;3
01053001;Albsfelde;418;11;5;5;-;-;0;0;-;6;6;151;-;-;255;1;-;-;-
01053002;Alt Mölln;644;122;61;40;15;2;4;3;-;55;55;429;-;0;78;14;1;1;1
01053003;Aumühle;348;208;143;119;5;1;19;13;6;39;29;22;0;-;113;4;-;0;0
01053004;Bäk;430;57;40;36;0;0;1;1;-;16;16;256;-;-;112;4;-;0;0
01053005;Bälau;650;39;17;12;1;3;1;1;-;18;18;465;-;-;141;5;0;0;0
01053006;Basedow;747;78;34;27;-;1;4;4;-;38;27;562;-;-;88;17;0;2;2
01053007;Basthorst;1082;68;23;16;-;1;3;3;0;41;40;652;-;-;351;6;3;1;1
01053008;Behlendorf;1026;69;31;18;0;1;3;2;0;34;29;681;-;-;195;80;-;0;0
01053009;Berkenthin;1025;162;82;68;4;3;11;7;1;64;62;772;-;0;65;24;-;2;2
01053010;Besenthal;1265;81;12;3;0;-;0;0;-;69;69;675;-;-;497;12;0;0;0
01053011;Bliestorf;1035;74;39;26;-;0;2;1;-;33;33;597;-;-;362;2;-;-;-
01053012;Börnsen;842;223;154;129;6;1;12;8;-;57;54;450;-;0;164;5;0;1;1
01053013;Borstorf;865;43;20;11;1;0;1;0;-;21;21;324;-;-;491;6;-;1;1
01053014;Breitenfelde;1254;162;92;53;10;0;16;10;1;53;53;1025;-;-;50;10;7;0;0
01053015;Bröthen;1069;61;21;14;1;1;1;1;-;39;34;627;-;4;376;5;1;-;-
01053016;Brunsmark;429;28;11;9;-;0;-;-;-;17;17;103;-;-;297;1;0;-;-
01053017;Brunstorf;1376;198;32;22;4;3;117;1;1;46;46;902;-;-;268;6;-;1;1
01053018;Buchholz;293;51;17;16;0;4;3;2;-;27;23;205;-;-;33;2;-;2;2
01053019;Buchhorst;519;52;25;8;13;1;1;1;-;26;20;347;0;9;89;9;21;1;1
01053020;Büchen;1685;423;248;162;41;8;25;13;3;139;104;997;-;90;221;40;1;3;3
01053021;Dahmker;204;20;10;5;-;1;0;0;-;8;8;176;-;-;7;1;-;-;-
01053022;Dalldorf;605;66;25;18;0;1;2;0;-;38;32;441;1;-;57;39;3;1;1
01053023;Dassendorf;795;221;173;161;1;0;4;0;1;42;42;517;-;-;45;2;2;8;8
01053024;Düchelsdorf;301;17;9;7;0;2;0;0;-;5;5;269;1;-;14;1;-;-;-
01053025;Duvensee;1240;77;39;22;1;1;2;1;-;35;34;907;9;-;239;17;0;-;-
01053026;Einhaus;253;39;18;18;-;1;0;0;-;19;16;200;-;-;14;1;0;0;0
01053027;Elmenhorst;1299;204;80;29;23;67;4;2;-;53;53;872;3;-;216;7;0;0;0
01053028;Escheburg;891;235;96;91;1;0;81;0;-;58;54;543;-;18;97;14;-;2;2
