GENESIS-Tabelle: 14338-01-02-5
Landtagswahlen: Baden-Württemberg - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Baden-Württemberg;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.03.2016;08119068;Schwaikheim;6421;72,3;3890;883;673;1138;390;97;709
13.03.2016;08119069;Spiegelberg;1657;66,8;967;240;143;207;48;22;307
13.03.2016;08119075;Sulzbach an der Murr;3714;67,9;2156;698;345;439;130;53;491
13.03.2016;08119076;Urbach;6350;71,9;3905;1043;495;1041;413;73;840
13.03.2016;08119079;Waiblingen, Stadt;35732;67,0;20044;4795;3087;5677;2038;620;3827
13.03.2016;08119083;Weissach im Tal;5459;70,4;3322;866;631;752;258;52;763
13.03.2016;08119084;Welzheim, Stadt;7709;67,0;4431;1190;579;969;358;117;1218
13.03.2016;08119085;Winnenden, Stadt;18837;69,2;11014;3085;1304;3008;1214;307;2096
13.03.2016;08119086;Winterbach;5673;76,5;3680;973;450;1142;380;81;654
13.03.2016;08119087;Aspach;5893;71,0;3652;1092;540;787;298;56;879
13.03.2016;08119089;Berglen;4791;75,5;3054;849;340;782;348;55;680
13.03.2016;08119090;Remshalden;10447;74,3;6358;1671;718;1849;791;118;1211
13.03.2016;08119091;Weinstadt, Stadt;19065;75,0;11819;3273;1385;3412;1496;216;2037
13.03.2016;08119093;Kernen im Remstal;11206;70,1;6493;1462;768;1851;1187;192;1033
13.03.2016;08121000;Heilbronn, Stadtkreis;77576;63,4;48572;10586;7497;12913;4842;1642;11092
13.03.2016;08125001;Abstatt;3393;73,4;2070;569;267;539;182;44;469
13.03.2016;08125005;Bad Friedrichshall, Stadt;12706;61,1;6789;1675;1127;1583;464;221;1719
13.03.2016;08125006;Bad Rappenau, Stadt;15664;62,5;8336;1978;1632;1821;617;226;2062
13.03.2016;08125007;Bad Wimpfen, Stadt;4971;66,6;2825;847;516;731;195;59;477
13.03.2016;08125008;Beilstein, Stadt;4555;73,7;2653;740;260;800;299;45;509
13.03.2016;08125013;Brackenheim, Stadt;11254;69,4;6476;1546;661;2044;627;154;1444
13.03.2016;08125017;Cleebronn;1976;67,9;1126;354;114;284;129;10;235
13.03.2016;08125021;Eberstadt;2380;72,5;1534;370;278;382;129;34;341
13.03.2016;08125024;Ellhofen;2667;73,2;1658;401;337;409;143;35;333
13.03.2016;08125026;Eppingen, Stadt;15213;63,6;8023;2075;1076;1807;823;195;2047
13.03.2016;08125027;Erlenbach;3779;72,0;2255;704;319;526;205;38;463
13.03.2016;08125030;Flein;5309;73,7;3193;870;464;914;387;64;494
13.03.2016;08125034;Gemmingen;3649;65,2;2049;498;325;551;174;52;449
13.03.2016;08125038;Güglingen, Stadt;3799;64,9;2049;514;201;571;180;39;544
13.03.2016;08125039;Gundelsheim, Stadt;5334;70,7;3116;1092;442;628;195;74;685
13.03.2016;08125046;Ilsfeld;6343;71,9;3803;1135;422;1101;377;67;701
13.03.2016;08125047;Ittlingen;1714;63,0;933;324;121;205;89;9;185
13.03.2016;08125048;Jagsthausen;1070;70,2;640;149;133;166;75;23;94
13.03.2016;08125049;Kirchardt;3867;68,0;2335;677;379;446;180;45;608
13.03.2016;08125056;Lauffen am Neckar, Stadt;7763;66,9;4145;995;606;1386;339;92;727
13.03.2016;08125057;Lehrensteinsfeld;1704;75,9;1110;265;224;296;100;19;206
13.03.2016;08125058;Leingarten;8394;69,1;4894;1107;728;1438;425;96;1100
13.03.2016;08125059;Löwenstein, Stadt;2538;67,3;1419;303;259;390;135;38;294
13.03.2016;08125061;Massenbachhausen;2566;68,7;1492;425;220;321;111;30;385
13.03.2016;08125063;Möckmühl, Stadt;5533;59,3;2804;658;413;634;197;77;825
13.03.2016;08125065;Neckarsulm, Stadt;16874;63,3;9302;2234;1736;2221;679;322;2110
13.03.2016;08125066;Neckarwestheim;2743;73,8;1689;533;201;384;162;31;378
13.03.2016;08125068;Neudenau, Stadt;3791;68,5;2243;669;345;521;149;40;519
13.03.2016;08125069;Neuenstadt am Kocher, Stadt;7080;68,4;4171;1121;579;865;344;111;1151
13.03.2016;08125074;Nordheim;5795;71,3;3517;914;509;950;332;49;763
13.03.2016;08125078;Oedheim;4557;67,3;2607;778;473;598;178;47;533
13.03.2016;08125079;Offenau;1951;67,5;1096;272;179;264;67;48;266
13.03.2016;08125081;Pfaffenhofen;1617;69,4;889;226;124;213;89;17;220
13.03.2016;08125084;Roigheim;982;67,1;571;175;106;121;31;14;124
13.03.2016;08125086;Schwaigern, Stadt;8030;71,1;4931;1241;653;1455;532;119;931
13.03.2016;08125087;Siegelsbach;1194;65,4;656;180;100;151;44;7;174
13.03.2016;08125094;Talheim;3767;74,9;2264;609;251;711;240;38;415
13.03.2016;08125096;Untereisesheim;2993;70,8;1823;382;362;487;163;43;386
13.03.2016;08125098;Untergruppenbach;6206;72,0;3630;948;488;1096;302;86;710
13.03.2016;08125102;Weinsberg, Stadt;8582;66,2;4775;1059;914;1278;406;189;929
13.03.2016;08125103;Widdern, Stadt;1336;64,7;754;208;120;183;47;18;178
13.03.2016;08125107;Wüstenrot;5261;64,7;2886;759;449;718;216;55;689
13.03.2016;08125108;Zaberfeld;2968;71,7;1806;402;213;478;143;22;548
13.03.2016;08125110;Obersulm;10158;70,3;6122;1258;1577;1517;454;123;1193
13.03.2016;08125111;Hardthausen am Kocher;2902;70,4;1741;515;231;316;155;24;500
13.03.2016;08125113;Langenbrettach;2745;72,8;1708;504;192;417;141;28;426
13.03.2016;08126011;Bretzfeld;9519;68,5;5866;1406;757;1588;501;130;1484
13.03.2016;08126020;Dörzbach;1816;70,9;1153;504;133;185;109;18;204
13.03.2016;08126028;Forchtenberg, Stadt;3722;76,8;2444;695;283;717;188;46;515
13.03.2016;08126039;Ingelfingen, Stadt;4190;71,2;2540;748;290;669;258;57;518
13.03.2016;08126045;Krautheim, Stadt;3477;66,7;2051;844;158;428;180;35;406
13.03.2016;08126046;Künzelsau, Stadt;10831;62,7;5764;1535;785;1375;553;264;1252
13.03.2016;08126047;Kupferzell;4360;67,3;2569;699;304;669;344;65;488
13.03.2016;08126056;Mulfingen;2862;73,9;1894;743;173;470;172;32;304
13.03.2016;08126058;Neuenstein, Stadt;4807;69,3;2963;715;360;902;306;55;625
13.03.2016;08126060;Niedernhall, Stadt;2961;67,6;1740;397;228;572;102;48;393
13.03.2016;08126066;Öhringen, Stadt;17164;60,0;9144;2106;1085;2615;827;261;2250
13.03.2016;08126069;Pfedelbach;6994;66,8;4093;1106;431;1139;406;88;923
13.03.2016;08126072;Schöntal;4455;75,8;3016;1276;214;714;289;48;475
13.03.2016;08126085;Waldenburg, Stadt;2282;68,0;1310;328;152;458;121;28;223
13.03.2016;08126086;Weißbach;1435;59,5;755;178;122;187;75;14;179
13.03.2016;08126094;Zweiflingen;1343;66,9;792;234;60;217;85;16;180
13.03.2016;08127008;Blaufelden;3899;68,6;2390;782;240;556;287;62;463
13.03.2016;08127009;Braunsbach;1965;70,9;1251;291;153;347;178;30;252
13.03.2016;08127012;Bühlertann;2402;67,5;1464;381;172;276;160;39;436
13.03.2016;08127013;Bühlerzell;1613;71,6;1015;312;109;250;111;20;213
13.03.2016;08127014;Crailsheim, Stadt;24222;56,8;12290;2997;1643;2793;1159;319;3379
13.03.2016;08127023;Fichtenberg;2232;66,9;1284;272;185;389;122;16;300
13.03.2016;08127025;Gaildorf, Stadt;8368;63,4;4647;1027;786;1162;487;115;1070
13.03.2016;08127032;Gerabronn, Stadt;3300;63,0;1833;426;241;548;187;52;379
13.03.2016;08127043;Ilshofen, Stadt;4661;67,3;2800;733;328;774;318;67;580
13.03.2016;08127046;Kirchberg an der Jagst, Stadt;3168;68,7;1923;393;205;549;293;75;408
13.03.2016;08127047;Langenburg, Stadt;1412;72,0;847;240;94;238;110;16;149
13.03.2016;08127052;Mainhardt;4486;66,2;2626;676;274;713;306;64;593
13.03.2016;08127056;Michelbach an der Bilz;2628;71,6;1623;356;335;471;151;33;277
13.03.2016;08127059;Michelfeld;2906;72,1;1823;455;260;545;202;23;338
13.03.2016;08127062;Oberrot;2635;64,4;1491;322;147;433;202;24;363
13.03.2016;08127063;Obersontheim;3677;65,7;2163;498;326;537;255;38;509
13.03.2016;08127071;Rot am See;4043;66,2;2433;578;260;579;549;47;420
13.03.2016;08127073;Satteldorf;4091;66,1;2412;515;268;667;298;54;610
13.03.2016;08127075;Schrozberg, Stadt;4317;66,2;2600;735;258;625;318;61;603
13.03.2016;08127076;Schwäbisch Hall, Stadt;28208;64,5;15971;3218;2801;5172;1390;521;2869
13.03.2016;08127079;Sulzbach-Laufen;1907;70,0;1201;242;163;289;250;15;242
13.03.2016;08127086;Untermünkheim;2313;72,6;1486;445;175;412;193;23;238
13.03.2016;08127089;Vellberg, Stadt;3277;69,9;2030;479;289;643;220;34;365
13.03.2016;08127091;Wallhausen;2767;62,1;1562;373;196;355;204;35;399
13.03.2016;08127099;Wolpertshausen;1527;69,2;920;228;86;291;110;22;183
13.03.2016;08127100;Rosengarten;3882;69,9;2376;529;359;783;232;38;435
13.03.2016;08127101;Kreßberg;3029;64,1;1730;414;187;456;192;30;451
13.03.2016;08127102;Fichtenau;3475;60,9;1860;443;207;384;259;14;553
13.03.2016;08127103;Frankenhardt;3786;69,5;2360;601;291;644;259;42;523
13.03.2016;08127104;Stimpfach;2297;67,6;1373;445;136;323;130;24;315
13.03.2016;08128006;Assamstadt;1720;74,9;1123;556;61;166;64;20;256
13.03.2016;08128007;Bad Mergentheim, Stadt;17287;62,5;9119;3110;1036;2094;694;328;1857
13.03.2016;08128014;Boxberg, Stadt;5338;69,4;3327;965;423;782;244;82;831
13.03.2016;08128020;Creglingen, Stadt;3713;71,9;2396;718;601;325;217;27;508
13.03.2016;08128039;Freudenberg, Stadt;2939;66,9;1705;737;193;340;130;34;271
13.03.2016;08128045;Großrinderfeld;3194;67,0;1883;731;175;354;132;27;464
13.03.2016;08128047;Grünsfeld, Stadt;2937;72,7;1921;710;173;394;154;31;459
13.03.2016;08128058;Igersheim;4395;64,7;2446;964;245;565;176;78;418
13.03.2016;08128061;Königheim;2511;77,3;1712;892;117;292;103;23;285
13.03.2016;08128064;Külsheim, Stadt;4150;73,6;2668;1150;232;485;169;76;556
13.03.2016;08128082;Niederstetten, Stadt;3910;69,1;2402;720;279;542;240;54;567
13.03.2016;08128115;Tauberbischofsheim, Stadt;10063;65,1;5512;2206;514;1183;322;147;1140
13.03.2016;08128126;Weikersheim, Stadt;5816;69,4;3491;1203;458;787;275;89;679
