GENESIS-Tabelle: 46241-01-03-5-B
Straßenverkehrsunfälle, verunglückte Personen;;;;;;;
- Jahressumme - regionale Ebenen;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;
2015;;;;;;;
;;Unfälle (insgesamt);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i. e. S.;Sons.Sachschadensunf.unter d.Einfl.berausch.Mittel;Getötete Personen;Verletzte Personen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01055029;Manhagen;2;2;0;0;0;2
01055031;Neukirchen;4;3;1;0;0;5
01055032;Neustadt in Holstein;112;96;15;1;0;107
01055033;Oldenburg in Holstein;53;49;4;0;0;66
01055035;Ratekau;96;70;22;4;1;93
01055036;Riepsdorf;5;5;0;0;0;7
01055037;Schashagen;17;12;5;0;1;12
01055038;Schönwalde am Bungsberg;14;10;4;0;1;9
01055039;Sierksdorf;26;18;8;0;0;32
01055040;Stockelsdorf;50;43;5;2;0;54
01055041;Süsel;23;19;3;1;0;31
01055042;Timmendorfer Strand;75;62;10;3;0;83
01055043;Wangels;14;11;3;0;0;11
01055044;Scharbeutz;73;56;15;2;1;72
01055046;Fehmarn;94;78;12;4;1;115
01056001;Appen;24;21;1;2;1;31
01056002;Barmstedt;39;26;6;7;0;28
01056003;Bevern;7;6;1;0;0;7
01056004;Bilsen;7;6;1;0;0;9
01056005;Bönningstedt;38;32;6;0;0;45
01056006;Bokel;4;3;1;0;0;4
01056008;Bokholt-Hanredder;11;7;4;0;0;9
01056009;Borstel-Hohenraden;5;4;1;0;0;4
01056010;Brande-Hörnerkirchen;6;5;1;0;0;6
01056011;Bullenkuhlen;1;0;1;0;0;0
01056013;Ellerbek;5;4;1;0;0;4
01056014;Ellerhoop;5;4;0;1;0;5
01056015;Elmshorn;277;238;31;8;0;286
01056016;Groß Nordende;3;2;1;0;0;2
01056017;Groß Offenseth-Aspern;16;12;4;0;0;20
01056018;Halstenbek;78;65;9;4;0;90
01056019;Haselau;2;2;0;0;0;2
01056020;Haseldorf;7;6;1;0;0;7
01056021;Hasloh;23;18;3;2;0;27
01056022;Heede;6;5;1;0;0;11
01056023;Heidgraben;4;3;1;0;0;3
01056024;Heist;17;16;1;0;1;17
01056025;Helgoland;0;0;0;0;0;0
01056026;Hemdingen;7;5;2;0;1;6
01056027;Hetlingen;5;3;2;0;0;3
01056028;Holm;22;17;5;0;0;22
01056029;Klein Nordende;6;5;1;0;0;5
01056030;Klein Offenseth-Sparrieshoop;13;10;2;1;0;17
01056031;Kölln-Reisiek;5;5;0;0;0;6
01056032;Kummerfeld;19;17;2;0;0;23
01056033;Seester;5;5;0;0;1;6
01056034;Langeln;1;1;0;0;0;1
01056035;Lutzhorn;7;3;3;1;0;3
01056036;Moorrege;21;16;5;0;0;17
01056037;Neuendeich;4;4;0;0;0;4
01056038;Osterhorn;2;0;2;0;0;0
01056039;Pinneberg;207;185;18;4;0;214
01056040;Prisdorf;8;7;1;0;0;9
01056041;Quickborn;123;96;22;5;1;133
01056042;Raa-Besenbek;3;2;1;0;0;3
01056043;Rellingen;88;77;11;0;0;95
01056044;Schenefeld, Stadt;75;57;13;5;1;65
01056045;Seestermühe;0;0;0;0;0;0
01056046;Seeth-Ekholt;6;4;2;0;0;4
01056047;Tangstedt;8;6;1;1;0;7
01056048;Tornesch;89;71;16;2;0;90
01056049;Uetersen;83;73;8;2;1;87
01056050;Wedel;156;132;18;6;0;161
01056051;Westerhorn;3;1;1;1;1;1
01057001;Ascheberg (Holstein);13;12;1;0;0;18
01057002;Barmissen;3;1;2;0;0;1
01057003;Barsbek;3;3;0;0;0;3
01057004;Behrensdorf (Ostsee);4;2;1;1;0;3
01057005;Belau;1;0;1;0;0;0
01057006;Bendfeld;3;3;0;0;0;6
01057007;Blekendorf;11;9;2;0;0;15
01057008;Bönebüttel;9;9;0;0;0;12
01057009;Bösdorf;9;6;3;0;1;6
01057010;Boksee;5;5;0;0;0;10
01057011;Bothkamp;2;2;0;0;0;2
01057012;Brodersdorf;5;4;1;0;1;5
01057013;Dannau;0;0;0;0;0;0
01057015;Dersau;4;4;0;0;0;4
01057016;Dobersdorf;6;2;3;1;0;3
01057017;Dörnick;0;0;0;0;0;0
01057018;Fahren;0;0;0;0;0;0
01057020;Fiefbergen;4;3;1;0;0;4
01057021;Giekau;5;4;1;0;0;6
01057022;Grebin;10;9;1;0;0;12
01057023;Großbarkau;1;1;0;0;0;1
01057024;Großharrie;1;1;0;0;0;2
01057025;Heikendorf;22;18;4;0;0;24
01057026;Helmstorf;1;1;0;0;0;3
01057027;Högsdorf;5;4;1;0;1;5
01057028;Höhndorf;9;9;0;0;0;15
01057029;Hohenfelde;6;4;1;1;0;4
01057030;Hohwacht (Ostsee);2;2;0;0;0;2
01057031;Honigsee;6;4;2;0;0;22
01057032;Kalübbe;3;2;1;0;0;4
01057033;Kirchbarkau;4;4;0;0;0;5
01057034;Kirchnüchel;1;1;0;0;0;1
01057035;Klamp;2;2;0;0;0;4
01057037;Klein Barkau;3;1;1;1;0;1
01057038;Kletkamp;0;0;0;0;0;0
01057039;Köhn;0;0;0;0;0;0
01057040;Krokau;1;0;1;0;0;0
01057041;Krummbek;3;2;1;0;0;2
01057042;Kühren;3;3;0;0;0;3
01057043;Laboe;15;14;1;0;0;17
01057044;Lammershagen;4;4;0;0;0;5
01057045;Lebrade;1;0;0;1;0;0
01057046;Lehmkuhlen;9;9;0;0;0;19
01057047;Löptin;1;0;1;0;0;0
01057048;Lütjenburg;22;18;4;0;0;21
01057049;Lutterbek;1;1;0;0;1;2
01057050;Martensrade;10;9;1;0;0;14
01057051;Mönkeberg;2;2;0;0;0;3
01057052;Mucheln;4;2;2;0;0;2
01057053;Nehmten;0;0;0;0;0;0
01057054;Nettelsee;4;4;0;0;0;4
01057055;Panker;7;6;1;0;0;9
01057056;Passade;1;1;0;0;0;1
01057057;Plön;42;34;4;4;0;54
01057058;Pohnsdorf;4;4;0;0;0;5
01057059;Postfeld;8;7;1;0;1;11
01057060;Prasdorf;2;1;1;0;0;2
01057062;Preetz;54;49;3;2;0;68
01057063;Probsteierhagen;8;8;0;0;0;18
01057065;Rantzau;8;7;1;0;0;8
01057066;Rastorf;10;10;0;0;0;15
01057067;Rathjensdorf;1;1;0;0;0;2
01057068;Rendswühren;3;3;0;0;0;4
01057069;Ruhwinkel;7;5;2;0;0;10
01057070;Schellhorn;9;8;1;0;1;10
01057071;Schillsdorf;1;0;1;0;0;0
01057072;Schlesen;4;4;0;0;0;7
01057073;Schönberg (Holstein);31;29;2;0;0;31
01057074;Schönkirchen;24;20;4;0;0;26
01057076;Schwartbuck;0;0;0;0;0;0
01057077;Selent;5;5;0;0;0;5
01057078;Stakendorf;3;3;0;0;0;6
01057079;Stein;3;3;0;0;0;3
01057080;Stolpe;17;11;5;1;0;21
01057081;Stoltenberg;1;1;0;0;0;1
01057082;Tröndel;2;2;0;0;0;4
01057083;Tasdorf;0;0;0;0;0;0
01057084;Wahlstorf;2;1;1;0;0;1
01057085;Wankendorf;7;5;2;0;0;7
01057086;Warnau;0;0;0;0;0;0
