GENESIS-Tabelle: 42111-01-04-5-B
Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen;;;;;
und Erden: Betriebe, Beschäftigte - Stichtag: 30.09. -;;;;;
regionale Ebenen;;;;;
Verarbeitendes Gewerbe - Jahre ab 2009 mit WZ2008;;;;;
;;;Betriebe;Beschäftigte;Bruttoentgelte
;;;Anzahl;Anzahl;Tsd. EUR
30.09.2015;01056035;Lutzhorn;0;0;0
30.09.2015;01056036;Moorrege;3;227;6274
30.09.2015;01056037;Neuendeich;0;0;0
30.09.2015;01056038;Osterhorn;0;0;0
30.09.2015;01056039;Pinneberg;18;1248;51065
30.09.2015;01056040;Prisdorf;2;.;.
30.09.2015;01056041;Quickborn;9;469;18074
30.09.2015;01056042;Raa-Besenbek;1;.;.
30.09.2015;01056043;Rellingen;15;1124;46928
30.09.2015;01056044;Schenefeld, Stadt;12;1615;73174
30.09.2015;01056045;Seestermühe;1;.;.
30.09.2015;01056046;Seeth-Ekholt;0;0;0
30.09.2015;01056047;Tangstedt;1;.;.
30.09.2015;01056048;Tornesch;14;1862;77333
30.09.2015;01056049;Uetersen;13;1918;92835
30.09.2015;01056050;Wedel;23;3101;222469
30.09.2015;01056051;Westerhorn;1;.;.
30.09.2015;01057001;Ascheberg (Holstein);1;.;.
30.09.2015;01057002;Barmissen;0;0;0
30.09.2015;01057003;Barsbek;0;0;0
30.09.2015;01057004;Behrensdorf (Ostsee);0;0;0
30.09.2015;01057005;Belau;0;0;0
30.09.2015;01057006;Bendfeld;0;0;0
30.09.2015;01057007;Blekendorf;0;0;0
30.09.2015;01057008;Bönebüttel;0;0;0
30.09.2015;01057009;Bösdorf;1;.;.
30.09.2015;01057010;Boksee;0;0;0
30.09.2015;01057011;Bothkamp;0;0;0
30.09.2015;01057012;Brodersdorf;0;0;0
30.09.2015;01057013;Dannau;0;0;0
30.09.2015;01057015;Dersau;0;0;0
30.09.2015;01057016;Dobersdorf;0;0;0
30.09.2015;01057017;Dörnick;0;0;0
30.09.2015;01057018;Fahren;0;0;0
30.09.2015;01057020;Fiefbergen;0;0;0
30.09.2015;01057021;Giekau;0;0;0
30.09.2015;01057022;Grebin;0;0;0
30.09.2015;01057023;Großbarkau;0;0;0
30.09.2015;01057024;Großharrie;1;.;.
30.09.2015;01057025;Heikendorf;1;.;.
30.09.2015;01057026;Helmstorf;0;0;0
30.09.2015;01057027;Högsdorf;0;0;0
30.09.2015;01057028;Höhndorf;1;.;.
30.09.2015;01057029;Hohenfelde;0;0;0
30.09.2015;01057030;Hohwacht (Ostsee);0;0;0
30.09.2015;01057031;Honigsee;0;0;0
