GENESIS-Tabelle: 31111-02-02-5-B
Baugenehmigungen: Errichtung neuer Nichtwohngebäude;;;;
- Jahressumme - regionale Ebenen;;;;
Statistik der Baugenehmigungen;;;;
Nichtwohngebäude;;;;
2015;;;;
;;Nichtwohngebäude;Nutzfläche;Wohnungen
;;Anzahl;1000 qm;Anzahl
01058098;Loop;1;0,5;0
01058099;Loose;0;0,0;0
01058100;Lütjenwestedt;0;0,0;0
01058101;Luhnstedt;0;0,0;0
01058102;Goosefeld;0;0,0;0
01058103;Meezen;0;0,0;0
01058104;Melsdorf;0;0,0;0
01058105;Mielkendorf;0;0,0;0
01058106;Mörel;0;0,0;0
01058107;Molfsee;2;0,2;0
01058108;Mühbrook;1;0,2;0
01058109;Negenharrie;1;1,0;0
01058110;Neudorf-Bornstein;0;0,0;0
01058111;Neu Duvenstedt;0;0,0;0
01058112;Neuwittenbek;0;0,0;0
01058113;Nienborstel;0;0,0;0
01058115;Nindorf;0;0,0;0
01058116;Noer;0;0,0;0
01058117;Nortorf;1;1,0;0
01058118;Nübbel;0;0,0;0
01058119;Oldenbüttel;0;0,0;0
01058120;Oldenhütten;1;0,1;0
01058121;Osdorf;0;0,0;0
01058122;Ostenfeld (Rendsburg);1;0,2;0
01058123;Osterby;0;0,0;0
01058124;Osterrönfeld;3;0,5;0
01058125;Osterstedt;1;2,0;0
01058126;Ottendorf;0;0,0;0
01058127;Owschlag;4;1,8;0
01058128;Padenstedt;1;0,3;0
01058129;Prinzenmoor;2;0,7;0
01058130;Quarnbek;1;0,1;0
01058131;Rade b. Hohenwestedt;1;0,1;0
01058132;Rade b. Rendsburg;0;0,0;0
01058133;Reesdorf;1;0,4;0
01058134;Remmels;0;0,0;0
01058135;Rendsburg;2;0,1;0
01058136;Rickert;1;0,4;0
01058137;Rieseby;0;0,0;0
01058138;Rodenbek;1;0,1;0
01058139;Rumohr;0;0,0;0
01058140;Schacht-Audorf;1;0,9;0
