GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054034;Friedrich-Wilhelm-Lübke-Koog;75;-;-;12;9;13;10;31
01054035;Garding, Kirchspiel;182;-;17;37;37;22;24;45
01054036;Garding;1523;28;158;381;338;279;159;180
01054037;Goldebek;158;-;15;20;23;35;34;31
01054038;Goldelund;175;-;9;25;31;31;40;39
01054039;Gröde;4;-;-;-;-;4;-;-
01054040;Grothusenkoog;18;-;3;-;3;9;-;3
01054041;Haselund;364;-;23;25;43;89;82;102
01054042;Hattstedt;1131;7;54;129;172;318;215;236
01054043;Hattstedtermarsch;143;-;9;19;42;13;22;38
01054045;Högel;200;-;3;9;42;58;44;44
01054046;Hörnum (Sylt);900;45;148;209;202;132;82;79
01054048;Holm;45;-;3;3;9;12;3;15
01054050;Hallig Hooge;94;-;22;13;18;12;19;10
01054052;Horstedt;302;3;19;30;58;69;33;90
01054054;Hude;98;-;4;16;22;15;25;16
01054055;Humptrup;358;3;6;43;45;139;52;70
01054056;Husum;11944;189;936;2507;3286;2291;1480;1255
01054057;Immenstedt;262;-;3;15;38;87;64;55
01054059;Joldelund;332;-;17;38;58;65;56;98
01054061;Kampen (Sylt);1016;44;139;217;201;127;114;174
01054062;Karlum;95;-;3;6;19;29;23;15
01054063;Katharinenheerd;87;-;-;0;27;20;25;15
01054065;Klanxbüll;482;3;30;85;96;84;99;85
01054068;Klixbüll;447;-;12;51;98;105;106;75
01054070;Koldenbüttel;394;-;9;57;57;84;102;85
01054071;Kolkerheide;36;-;-;3;9;9;6;9
01054072;Kotzenbüll;99;-;3;7;18;27;19;25
01054073;Ladelund;690;22;12;77;105;209;94;171
01054074;Langeneß;94;-;-;12;13;35;12;22
01054075;Langenhorn;1460;6;54;184;248;336;331;301
01054076;Leck;3895;39;255;734;909;845;529;584
01054077;Lexgaard;32;-;3;3;6;-;17;3
01054078;List;1472;87;197;393;336;248;132;76
01054079;Löwenstedt;272;-;9;22;49;70;64;58
01054080;Lütjenholm;141;-;12;12;21;41;22;33
01054083;Midlum;243;-;19;47;58;70;19;30
01054084;Mildstedt;1582;6;45;223;232;392;320;364
01054085;Nebel;754;19;126;178;137;128;71;95
01054086;Neukirchen;588;3;29;87;107;183;68;111
01054087;Nieblum;651;3;48;153;151;143;81;72
01054088;Niebüll;4797;57;398;876;1056;890;653;867
01054089;Norddorf auf Amrum;422;12;76;124;105;55;19;31
01054090;Norderfriedrichskoog;26;3;6;3;3;4;7;0
01054091;Nordstrand;1443;19;115;300;298;281;214;216
01054092;Norstedt;175;-;-;9;26;40;26;74
01054093;Ockholm;177;3;12;20;32;35;23;52
01054094;Oevenum;269;-;25;55;46;39;37;67
01054095;Oldenswort;643;7;29;64;99;138;117;189
01054096;Oldersbek;303;-;3;41;59;72;46;82
01054097;Olderup;177;-;7;25;33;32;19;61
01054098;Oldsum;354;3;24;81;78;53;42;73
01054099;Ostenfeld (Husum);662;-;13;82;105;102;197;163
01054100;Osterhever;142;7;7;26;31;18;23;30
01054101;Oster-Ohrstedt;286;3;9;33;36;100;41;64
01054103;Pellworm;756;6;73;103;163;119;176;116
01054104;Poppenbüll;131;-;7;22;13;45;15;29
01054105;Ramstedt;205;-;3;20;45;54;48;35
01054106;Rantrum;713;3;6;95;126;182;147;154
01054107;Rantum (Sylt);-;-;-;-;-;-;-;-
01054108;Reußenköge;156;-;7;13;16;19;26;75
01054109;Risum-Lindholm;1636;6;50;194;325;302;342;417
01054110;Rodenäs;216;-;6;16;42;55;23;74
01054113;Sankt Peter-Ording;3989;140;672;1171;911;497;280;318
01054116;Schwabstedt;648;-;22;122;82;175;114;133
01054118;Schwesing;403;3;13;34;67;88;101;97
01054119;Seeth;282;3;7;23;49;106;41;53
01054120;Simonsberg;450;6;21;95;97;78;70;83
01054121;Sönnebüll;112;3;-;3;22;42;16;26
01054123;Sollwitt;135;-;-;15;7;25;31;57
01054124;Sprakebüll;101;3;6;0;29;24;24;15
01054125;Stadum;439;-;14;65;95;79;95;91
01054126;Stedesand;375;-;12;34;61;91;79;98
01054128;Struckum;409;11;-;40;55;79;109;115
01054129;Süderende;116;3;7;31;19;18;15;23
01054130;Süderhöft;12;-;-;-;-;9;-;3
01054131;Süderlügum;1066;14;25;174;224;242;204;183
01054132;Südermarsch;73;-;6;15;6;9;16;21
01054133;Sylt-Ost;-;-;-;-;-;-;-;-
01054134;Tating;658;10;64;105;162;128;102;87
01054135;Tetenbüll;378;-;18;50;95;66;83;66
01054136;Tinningstedt;105;-;3;14;10;19;17;42
01054138;Tönning;2617;58;213;482;636;533;334;361
01054140;Tümlauer Koog;66;3;6;9;12;6;6;24
01054141;Uelvesbüll;144;-;-;15;29;22;36;42
01054142;Uphusum;172;-;3;6;27;48;44;44
01054143;Utersum;334;19;43;86;84;56;13;33
01054144;Viöl;845;-;24;146;159;177;141;198
01054145;Vollerwiek;142;6;12;15;28;39;10;32
01054146;Vollstedt;88;-;-;6;20;21;16;25
01054148;Welt;127;-;7;19;32;24;24;21
01054149;Wenningstedt-Braderup (Sylt);2178;161;439;747;364;240;119;108
01054150;Westerhever;104;-;6;13;16;23;19;27
01054151;Westerland;-;-;-;-;-;-;-;-
01054152;Wester-Ohrstedt;462;-;22;54;69;88;117;112
01054154;Westre;157;-;-;24;22;22;32;57
01054156;Winnert;336;6;19;31;68;70;46;96
01054157;Wisch;53;-;-;3;3;17;13;17
01054158;Witsum;42;3;6;3;3;4;6;17
