GENESIS-Tabelle: 14339-01-02-5
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.09.2013;09180112;Bad Kohlgrub;1856;67,5;1221;676;151;54;40;13;288
15.09.2013;09180113;Bad Bayersoien;920;71,6;654;386;71;23;13;7;156
15.09.2013;09180114;Eschenlohe;1220;66,7;804;459;105;28;11;7;195
15.09.2013;09180115;Ettal;510;72,2;353;200;30;18;7;6;93
15.09.2013;09180116;Farchant;2840;65,1;1798;979;244;69;32;19;456
15.09.2013;09180117;Garmisch-Partenkirchen, M;19542;62,6;11994;6604;1578;587;486;135;2605
15.09.2013;09180118;Grainau;2649;65,6;1718;1053;169;65;78;16;339
15.09.2013;09180119;Großweil;1156;70,4;802;436;97;46;20;7;198
15.09.2013;09180122;Krün;1465;71,3;1017;663;104;34;32;13;173
15.09.2013;09180123;Mittenwald, M;5882;62,2;3585;2301;321;115;91;34;724
15.09.2013;09180124;Murnau a.Staffelsee, M;8812;69,0;5983;3000;994;538;279;80;1094
15.09.2013;09180125;Oberammergau;3763;60,7;2234;1094;222;188;67;41;623
15.09.2013;09180126;Oberau;2312;63,5;1421;723;204;57;29;32;378
15.09.2013;09180127;Ohlstadt;2565;71,5;1810;1019;211;136;35;23;388
15.09.2013;09180128;Riegsee;926;74,2;675;334;54;51;15;5;217
15.09.2013;09180129;Saulgrub;1270;70,6;882;511;85;48;10;9;220
15.09.2013;09180131;Schwaigen;458;70,1;318;166;45;25;9;2;72
15.09.2013;09180132;Seehausen a.Staffelsee;1775;74,0;1298;616;185;142;61;23;272
15.09.2013;09180133;Spatzenhausen;555;74,6;408;261;40;18;5;5;79
15.09.2013;09180134;Uffing a.Staffelsee;2323;75,6;1733;823;267;183;65;27;368
15.09.2013;09180135;Unterammergau;1191;64,1;748;417;68;36;18;6;205
15.09.2013;09180136;Wallgau;1093;67,8;731;498;56;19;22;7;130
15.09.2013;09180444;Gem.fr. Geb. Garmisch-Partenkirchen;0;0,0;0;0;0;0;0;0;0
15.09.2013;09181111;Apfeldorf;856;68,5;576;317;80;44;10;13;113
15.09.2013;09181113;Denklingen;1969;67,5;1295;811;149;73;23;33;208
15.09.2013;09181114;Dießen am Ammersee, M;7971;70,4;5517;2575;1067;838;218;152;668
15.09.2013;09181115;Eching am Ammersee;1300;78,5;1012;561;170;92;32;13;146
15.09.2013;09181116;Egling a.d.Paar;1674;75,3;1244;622;156;61;26;20;361
15.09.2013;09181118;Eresing;1382;76,7;1047;557;161;155;25;18;132
15.09.2013;09181120;Finning;1273;71,0;893;483;129;135;19;14;114
15.09.2013;09181121;Fuchstal;2749;69,3;1887;1044;302;159;32;25;327
15.09.2013;09181122;Geltendorf;4237;73,0;3046;1567;600;334;47;40;460
15.09.2013;09181123;Greifenberg;1618;72,0;1153;655;185;129;50;10;125
15.09.2013;09181124;Hofstetten;1384;68,5;930;515;154;90;14;19;139
