GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053043;Groß Sarau;308;34;19;131;16;14;12;27;23;23;9
01053044;Groß Schenkenberg;180;19;10;47;46;6;26;9;-;17;-
01053045;Grove;85;6;-;44;10;6;6;-;-;13;-
01053046;Gudow;595;81;22;266;78;10;49;59;18;9;3
01053047;Gülzow;387;54;25;142;41;12;10;61;24;15;3
01053048;Güster;611;18;19;351;52;16;36;61;26;16;16
01053049;Hamfelde;174;33;6;57;23;12;19;12;6;3;3
01053050;Hamwarde;241;62;20;84;32;9;12;6;3;13;-
01053051;Harmsdorf;91;18;7;47;3;-;-;-;-;13;3
01053052;Havekost;49;12;4;15;3;3;3;6;3;-;-
01053053;Hohenhorn;166;21;14;57;16;3;19;10;3;4;19
01053054;Hollenbek;156;20;14;61;16;9;16;20;-;-;-
01053056;Hornbek;76;24;4;24;9;-;3;9;-;3;-
01053057;Horst;95;33;-;40;6;-;10;3;3;-;-
01053058;Juliusburg;50;10;7;16;7;-;7;3;-;-;-
01053059;Kankelau;58;12;-;21;9;-;-;7;3;6;-
01053060;Kasseburg;165;20;17;78;20;-;4;9;7;7;3
01053061;Kastorf;375;40;44;96;18;3;70;65;21;15;3
01053062;Kittlitz;97;19;3;50;15;-;4;3;-;3;-
01053064;Klein Pampau;207;3;9;66;51;14;25;14;7;12;6
01053066;Klein Zecher;92;22;3;30;6;-;3;15;13;-;-
01053067;Klempau;221;30;6;116;6;3;10;3;22;21;4
01053068;Klinkrade;190;57;6;33;20;3;20;19;9;17;6
01053069;Koberg;251;29;23;59;34;10;31;31;9;16;9
01053070;Köthel;93;9;10;31;17;-;10;7;6;3;-
01053071;Kollow;193;36;21;54;39;6;9;13;12;3;-
01053072;Kröppelshagen-Fahrendorf;404;35;24;169;51;9;35;55;6;13;7
01053073;Krüzen;109;13;3;22;19;3;13;6;23;-;7
01053074;Krukow;53;6;6;22;6;3;3;3;4;-;-
01053075;Krummesse;597;32;23;335;42;15;21;66;48;15;-
01053076;Kuddewörde;444;27;32;174;62;21;32;22;30;41;3
01053077;Kühsen;120;43;9;26;9;12;9;6;3;3;-
01053078;Kulpin;67;24;9;13;12;-;6;3;-;-;-
01053079;Labenz;261;46;19;52;15;12;35;46;21;12;3
01053080;Langenlehsten;48;6;3;27;-;3;3;3;3;-;-
01053081;Lankau;167;43;25;50;19;0;9;15;6;-;-
01053082;Lanze;90;12;9;30;9;-;3;12;9;6;-
01053083;Lauenburg/Elbe;3043;394;351;1563;215;109;126;160;80;27;18
01053084;Lehmrade;145;15;6;54;24;12;6;12;16;-;-
01053085;Linau;404;41;43;124;33;25;61;21;37;10;9
01053086;Lüchow;94;27;3;9;6;3;6;6;7;27;-
01053087;Lütau;210;34;22;76;18;6;9;14;14;17;-
01053088;Mechow;33;21;-;3;3;-;-;3;-;-;3
01053089;Möhnsen;161;36;27;53;7;10;3;19;-;3;3
01053090;Mölln;5001;341;399;2689;467;170;282;271;171;161;50
