GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
15086005;Biederitz;3487;1703;1784;47;25;22
15086010;Brettin;-;-;-;-;-;-
15086015;Burg, Stadt;8364;4321;4043;125;89;36
15086020;Demsin;-;-;-;-;-;-
15086025;Dörnitz;-;-;-;-;-;-
15086030;Drewitz b. Burg b. Magdeburg;-;-;-;-;-;-
15086035;Elbe-Parey;2640;1412;1228;11;.;.
15086040;Genthin;5502;2934;2568;54;30;24
15086045;Gerwisch;-;-;-;-;-;-
15086050;Gladau;-;-;-;-;-;-
15086055;Gommern, Stadt;4195;2168;2027;51;31;20
15086060;Grabow;-;-;-;-;-;-
15086065;Gübs;-;-;-;-;-;-
15086070;Hobeck;-;-;-;-;-;-
15086075;Hohenwarthe;-;-;-;-;-;-
15086080;Jerichow, Stadt;2782;1492;1290;11;.;.
15086085;Kade;-;-;-;-;-;-
15086090;Karow b. Genthin;-;-;-;-;-;-
15086095;Klitsche;-;-;-;-;-;-
15086100;Königsborn;-;-;-;-;-;-
15086105;Körbelitz;-;-;-;-;-;-
15086110;Krüssau;-;-;-;-;-;-
15086115;Küsel;-;-;-;-;-;-
15086120;Loburg;-;-;-;-;-;-
15086125;Lostau;-;-;-;-;-;-
15086130;Lübs b. Zerbst;-;-;-;-;-;-
15086135;Magdeburgerforth;-;-;-;-;-;-
15086140;Möckern, Stadt;5186;2778;2408;214;118;96
15086145;Möser;3406;1657;1749;25;18;7
15086150;Nielebock;-;-;-;-;-;-
15086155;Paplitz b. Genthin;-;-;-;-;-;-
15086160;Pietzpuhl;-;-;-;-;-;-
15086170;Redekin;-;-;-;-;-;-
15086175;Reesdorf b. Burg b. Magdeburg;-;-;-;-;-;-
15086180;Reesen;-;-;-;-;-;-
15086185;Rietzel;-;-;-;-;-;-
15086190;Rosian;-;-;-;-;-;-
15086195;Roßdorf b. Jeßnitz, Anh;-;-;-;-;-;-
15086200;Schermen;-;-;-;-;-;-
15086205;Schlagenthin;-;-;-;-;-;-
15086210;Schopsdorf;-;-;-;-;-;-
15086215;Schweinitz;-;-;-;-;-;-
15086220;Stresow;-;-;-;-;-;-
15086230;Tryppehna;-;-;-;-;-;-
15086235;Tucheim;-;-;-;-;-;-
15086240;Wallwitz;-;-;-;-;-;-
15086245;Woltersdorf b. Magdeburg;-;-;-;-;-;-
15086250;Wulkow;-;-;-;-;-;-
15086255;Wüstenjerichow;-;-;-;-;-;-
15086260;Zabakuck;-;-;-;-;-;-
15086265;Zeddenick;-;-;-;-;-;-
15087005;Abberode;-;-;-;-;-;-
15087010;Ahlsdorf;656;347;309;0;0;0
15087015;Allstedt, Stadt;3061;1656;1405;7;4;3
15087020;Alterode;-;-;-;-;-;-
15087025;Amsdorf;-;-;-;-;-;-
15087030;Arnstedt;-;-;-;-;-;-
15087031;Arnstein, Stadt;2475;1319;1156;12;5;7
15087035;Aseleben;-;-;-;-;-;-
15087040;Augsdorf;-;-;-;-;-;-
15087045;Benndorf;680;355;325;5;.;.
15087050;Bennungen;-;-;-;-;-;-
15087055;Berga;707;383;324;11;8;3
15087060;Beyernaumburg;-;-;-;-;-;-
15087065;Bischofrode;-;-;-;-;-;-
15087070;Blankenheim;494;248;246;.;.;.
15087075;Bornstedt;310;172;138;.;.;0
15087080;Bräunrode;-;-;-;-;-;-
15087085;Braunschwende;-;-;-;-;-;-
15087090;Breitenstein;-;-;-;-;-;-
15087095;Breitungen;-;-;-;-;-;-
15087100;Brücken (Helme);-;-;-;-;-;-
15087101;Brücken-Hackpfüffel;414;220;194;.;0;.
15087105;Burgsdorf;-;-;-;-;-;-
15087110;Dederstedt;-;-;-;-;-;-
15087115;Dietersdorf b. Roßla;-;-;-;-;-;-
15087120;Drebsdorf;-;-;-;-;-;-
15087125;Edersleben;415;213;202;.;0;.
15087130;Eisleben, Lutherstadt;8192;4317;3875;142;109;33
15087135;Emseloh;-;-;-;-;-;-
15087140;Erdeborn;-;-;-;-;-;-
15087145;Freist;-;-;-;-;-;-
15087150;Friedeburg (Saale);-;-;-;-;-;-
15087155;Friedeburgerhütte;-;-;-;-;-;-
15087160;Friesdorf;-;-;-;-;-;-
15087165;Gerbstedt, Stadt;2771;1522;1249;15;11;4
15087170;Greifenhagen;-;-;-;-;-;-
15087175;Hackpfüffel;-;-;-;-;-;-
15087180;Hainrode;-;-;-;-;-;-
15087185;Harkerode;-;-;-;-;-;-
15087190;Hayn (Harz);-;-;-;-;-;-
15087195;Hedersleben b. Lutherstadt Eisleben;-;-;-;-;-;-
15087200;Heiligenthal;-;-;-;-;-;-
15087205;Helbra;1377;690;687;10;3;7
15087210;Hergisdorf;563;309;254;0;0;0
15087215;Hermerode;-;-;-;-;-;-
15087220;Hettstedt, Stadt;4597;2465;2132;53;32;21
15087225;Holdenstedt;-;-;-;-;-;-
15087230;Hornburg b. Lutherstadt Eisleben;-;-;-;-;-;-
15087235;Hübitz;-;-;-;-;-;-
15087240;Ihlewitz;-;-;-;-;-;-
15087245;Katharinenrieth;-;-;-;-;-;-
15087250;Kelbra (Kyffhäuser), Stadt;1315;696;619;5;.;.
15087255;Kleinleinungen;-;-;-;-;-;-
15087260;Klostermansfeld;875;455;420;3;.;.
15087265;Liedersdorf;-;-;-;-;-;-
15087270;Lüttchendorf;-;-;-;-;-;-
15087275;Mansfeld, Stadt;3418;1845;1573;20;13;7
15087280;Martinsrieth;-;-;-;-;-;-
15087285;Mittelhausen;-;-;-;-;-;-
15087290;Molmerswende;-;-;-;-;-;-
15087295;Neehausen;-;-;-;-;-;-
15087300;Niederröblingen (Helme);-;-;-;-;-;-
15087305;Nienstedt;-;-;-;-;-;-
15087310;Osterhausen;-;-;-;-;-;-
15087315;Pölsfeld;-;-;-;-;-;-
15087320;Quenstedt;-;-;-;-;-;-
15087325;Questenberg;-;-;-;-;-;-
15087330;Riethnordhausen b. Sangerhausen;-;-;-;-;-;-
15087335;Ritterode;-;-;-;-;-;-
15087340;Ritzgerode;-;-;-;-;-;-
15087345;Röblingen am See;-;-;-;-;-;-
15087350;Roßla;-;-;-;-;-;-
15087355;Rottelsdorf;-;-;-;-;-;-
15087360;Rottleberode;-;-;-;-;-;-
15087365;Sandersleben (Anhalt);-;-;-;-;-;-
15087370;Sangerhausen, Stadt;9205;4784;4421;101;64;37
15087375;Schmalzerode;-;-;-;-;-;-
15087380;Schwenda;-;-;-;-;-;-
15087385;Seeburg b. Lutherstadt Eisleben;-;-;-;-;-;-
15087386;Seegebiet Mansfelder Land;3476;1838;1638;23;17;6
15087390;Siersleben;-;-;-;-;-;-
15087395;Sotterhausen;-;-;-;-;-;-
15087400;Stangerode;-;-;-;-;-;-
15087405;Stedten;-;-;-;-;-;-
15087410;Stolberg (Harz);-;-;-;-;-;-
15087412;Südharz;3586;1951;1635;17;13;4
15087415;Sylda;-;-;-;-;-;-
15087420;Tilleda (Kyffhäuser);-;-;-;-;-;-
15087425;Uftrungen;-;-;-;-;-;-
15087430;Ulzigerode;-;-;-;-;-;-
15087435;Walbeck b. Hettstedt, Sachs-Anh;-;-;-;-;-;-
15087440;Wallhausen;985;518;467;8;.;.
15087445;Wansleben am See;-;-;-;-;-;-
15087450;Welbsleben;-;-;-;-;-;-
15087455;Welfesholz;-;-;-;-;-;-
15087460;Wickerode;-;-;-;-;-;-
15087465;Wiederstedt;-;-;-;-;-;-
15087470;Wimmelburg;468;242;226;3;.;.
15087475;Winkel;-;-;-;-;-;-
15087485;Wolferstedt;-;-;-;-;-;-
15087490;Zabenstedt;-;-;-;-;-;-
15088005;Albersroda;-;-;-;-;-;-
15088010;Alberstedt;-;-;-;-;-;-
15088015;Angersdorf;-;-;-;-;-;-
15088020;Bad Dürrenberg, Stadt;4153;2246;1907;124;106;18
15088025;Bad Lauchstädt, Goethestadt;3570;1871;1699;12;7;5
15088030;Barnstädt;394;215;179;0;0;0
15088035;Beesenstedt;-;-;-;-;-;-
15088040;Bennstedt;-;-;-;-;-;-
15088045;Beuna (Geiseltal);-;-;-;-;-;-
15088050;Brachstedt;-;-;-;-;-;-
15088055;Brachwitz b. Halle, Saale;-;-;-;-;-;-
15088060;Braschwitz;-;-;-;-;-;-
15088065;Braunsbedra, Stadt;4277;2340;1937;76;67;9
15088075;Döblitz;-;-;-;-;-;-
15088080;Domnitz;-;-;-;-;-;-
15088085;Dornstedt;-;-;-;-;-;-
15088095;Esperstedt b. Querfurt;-;-;-;-;-;-
15088100;Farnstädt;613;328;285;4;.;.
15088105;Fienstedt;-;-;-;-;-;-
15088110;Friedensdorf;-;-;-;-;-;-
15088115;Geusa;-;-;-;-;-;-
15088120;Gimritz;-;-;-;-;-;-
15088125;Götschetal;-;-;-;-;-;-
15088130;Günthersdorf b. Merseburg;-;-;-;-;-;-
15088135;Hohenthurm;-;-;-;-;-;-
15088140;Höhnstedt;-;-;-;-;-;-
15088145;Horburg-Maßlau;-;-;-;-;-;-
15088150;Kabelsketal;4038;2068;1970;32;24;8
15088160;Kloschwitz;-;-;-;-;-;-
15088165;Kötschlitz;-;-;-;-;-;-
15088170;Kötzschau;-;-;-;-;-;-
15088175;Kreypau;-;-;-;-;-;-
15088180;Krosigk;-;-;-;-;-;-
15088190;Kütten;-;-;-;-;-;-
15088195;Landsberg, Stadt;7042;3616;3426;91;73;18
15088200;Langenbogen;-;-;-;-;-;-
15088205;Leuna, Stadt;6106;3184;2922;120;88;32
15088210;Lieskau b. Halle, Saale;-;-;-;-;-;-
15088215;Löbejün;-;-;-;-;-;-
15088216;Wettin-Löbejün, Stadt;3984;2091;1893;37;26;11
15088220;Merseburg, Stadt;12078;6282;5796;333;249;84
15088225;Milzau;-;-;-;-;-;-
15088230;Morl;-;-;-;-;-;-
15088235;Mücheln (Geiseltal), Stadt;3130;1690;1440;16;.;.
15088240;Nauendorf b. Halle, Saale;-;-;-;-;-;-
15088245;Nempitz;-;-;-;-;-;-
15088250;Nemsdorf-Göhrendorf;368;212;156;.;.;0
15088255;Neutz-Lettewitz;-;-;-;-;-;-
15088260;Niemberg;-;-;-;-;-;-
15088265;Obhausen;926;509;417;.;.;.
15088275;Oechlitz;-;-;-;-;-;-
15088280;Oppin;-;-;-;-;-;-
15088285;Ostrau b. Halle, Saale;-;-;-;-;-;-
15088290;Peißen b. Halle, Saale;-;-;-;-;-;-
15088295;Petersberg;4222;2161;2061;17;8;9
15088300;Plötz b. Halle, Saale;-;-;-;-;-;-
15088305;Querfurt, Stadt;4098;2178;1920;26;13;13
15088310;Rodden;-;-;-;-;-;-
15088315;Rothenburg;-;-;-;-;-;-
15088319;Salzatal;4975;2424;2551;22;14;8
15088320;Salzmünde;-;-;-;-;-;-
15088330;Schkopau;4815;2441;2374;41;31;10
15088335;Schochwitz;-;-;-;-;-;-
15088340;Schraplau, Stadt;394;213;181;.;0;.
15088345;Schwerz;-;-;-;-;-;-
15088350;Spergau;-;-;-;-;-;-
15088355;Steigra;505;279;226;7;.;.
15088360;Steuden;-;-;-;-;-;-
15088365;Teutschenthal;5793;2983;2810;44;40;4
15088370;Tollwitz;-;-;-;-;-;-
15088375;Wallendorf (Luppe);-;-;-;-;-;-
15088380;Wettin;-;-;-;-;-;-
15088385;Zappendorf;-;-;-;-;-;-
15088390;Zöschen;-;-;-;-;-;-
15088395;Zweimen;-;-;-;-;-;-
15089005;Alsleben (Saale), Stadt;913;489;424;.;.;0
15089010;Amesdorf;-;-;-;-;-;-
15089015;Aschersleben, Stadt;9442;4995;4447;152;107;45
15089020;Baalberge;-;-;-;-;-;-
15089025;Barby (Elbe);-;-;-;-;-;-
15089026;Barby, Stadt;3122;1704;1418;27;15;12
15089030;Bernburg (Saale), Stadt;12488;6544;5944;252;156;96
15089035;Biendorf b. Bernburg;-;-;-;-;-;-
15089041;Bördeaue;695;384;311;6;.;.
15089042;Bördeland;2997;1571;1426;30;25;5
15089043;Börde-Hakel;1103;612;491;4;.;.
15089045;Borne;523;275;248;.;.;0
15089050;Breitenhagen;-;-;-;-;-;-
15089055;Calbe (Saale), Stadt;3003;1677;1326;48;35;13
15089060;Cörmigk;-;-;-;-;-;-
15089070;Edlau;-;-;-;-;-;-
15089075;Egeln, Stadt;1147;619;528;12;8;4
15089090;Etgersleben;-;-;-;-;-;-
15089095;Förderstedt;-;-;-;-;-;-
15089105;Friedrichsaue;-;-;-;-;-;-
15089110;Frose;-;-;-;-;-;-
15089115;Gatersleben;-;-;-;-;-;-
15089120;Gerbitz;-;-;-;-;-;-
15089125;Gerlebogk;-;-;-;-;-;-
15089130;Giersleben;388;212;176;0;0;0
15089135;Glinde b. Schönebeck, Elbe;-;-;-;-;-;-
15089140;Gnadau;-;-;-;-;-;-
15089145;Gröna;-;-;-;-;-;-
15089150;Groß Rosenburg;-;-;-;-;-;-
15089155;Groß Schierstedt;-;-;-;-;-;-
15089165;Güsten, Stadt;1685;911;774;7;4;3
15089170;Hakeborn;-;-;-;-;-;-
15089175;Hecklingen, Stadt;2806;1435;1371;6;3;3
15089180;Hoym;-;-;-;-;-;-
15089185;Ilberstedt;443;237;206;3;.;.
15089195;Könnern, Stadt;3440;1847;1593;19;7;12
15089200;Latdorf;-;-;-;-;-;-
15089205;Lödderitz;-;-;-;-;-;-
15089215;Nachterstedt;-;-;-;-;-;-
15089220;Neu Königsaue;-;-;-;-;-;-
15089225;Neugattersleben;-;-;-;-;-;-
15089230;Neundorf (Anhalt);-;-;-;-;-;-
15089235;Nienburg (Saale), Stadt;2476;1319;1157;12;6;6
15089240;Peißen b. Bernburg;-;-;-;-;-;-
15089245;Plötzkau;561;291;270;29;13;16
15089250;Plötzky;-;-;-;-;-;-
15089255;Pobzig;-;-;-;-;-;-
15089260;Poley;-;-;-;-;-;-
15089265;Pömmelte;-;-;-;-;-;-
15089270;Pretzien;-;-;-;-;-;-
15089275;Preußlitz;-;-;-;-;-;-
15089280;Ranies;-;-;-;-;-;-
15089285;Sachsendorf b. Schönebeck, Elbe;-;-;-;-;-;-
15089290;Schackenthal;-;-;-;-;-;-
15089295;Schackstedt;-;-;-;-;-;-
15089300;Schadeleben;-;-;-;-;-;-
15089305;Schönebeck (Elbe), Stadt;11535;5961;5574;168;117;51
15089307;Seeland, Stadt;2413;1303;1110;44;28;16
15089310;Staßfurt, Stadt;9567;5083;4484;86;63;23
15089315;Tarthun;-;-;-;-;-;-
15089320;Tornitz;-;-;-;-;-;-
15089325;Unseburg;-;-;-;-;-;-
15089330;Wedlitz;-;-;-;-;-;-
15089340;Wespen;-;-;-;-;-;-
15089345;Westdorf;-;-;-;-;-;-
15089350;Westeregeln;-;-;-;-;-;-
15089355;Wiendorf b. Könnern;-;-;-;-;-;-
15089360;Wohlsdorf;-;-;-;-;-;-
15089365;Wolmirsleben;527;280;247;0;0;0
15089375;Zuchau;-;-;-;-;-;-
15090003;Aland;549;280;269;0;0;0
15090005;Altenzaun;-;-;-;-;-;-
15090007;Altmärkische Höhe;838;468;370;6;.;.
15090008;Altmärkische Wische;336;182;154;4;.;.
15090010;Arneburg, Stadt;573;316;257;4;.;.
15090015;Aulosen;-;-;-;-;-;-
15090020;Baben;-;-;-;-;-;-
15090025;Badingen b. Stendal;-;-;-;-;-;-
15090030;Ballerstedt;-;-;-;-;-;-
15090035;Beelitz b. Stendal;-;-;-;-;-;-
15090040;Behrendorf, Altmark;-;-;-;-;-;-
15090045;Bellingen b. Stendal;-;-;-;-;-;-
15090050;Berkau;-;-;-;-;-;-
15090055;Bertkow;-;-;-;-;-;-
15090060;Beuster;-;-;-;-;-;-
15090065;Birkholz b. Tangerhütte;-;-;-;-;-;-
15090070;Bismark (Altmark), Stadt;1284;705;579;5;5;0
15090075;Bittkau;-;-;-;-;-;-
15090080;Bölsdorf;-;-;-;-;-;-
15090085;Boock, Altmark;-;-;-;-;-;-
15090090;Bretsch;-;-;-;-;-;-
15090095;Buch b. Tangerhütte;-;-;-;-;-;-
15090100;Buchholz b. Gräfenhainichen;-;-;-;-;-;-
15090105;Büste;-;-;-;-;-;-
15090110;Cobbel;-;-;-;-;-;-
15090115;Dahlen b. Schönhausen, Elbe;-;-;-;-;-;-
15090120;Demker;-;-;-;-;-;-
15090125;Dobberkau;-;-;-;-;-;-
15090130;Düsedau;-;-;-;-;-;-
15090135;Eichstedt (Altmark);379;200;179;.;.;0
15090140;Erxleben b. Osterburg;-;-;-;-;-;-
15090145;Falkenberg, Altmark;-;-;-;-;-;-
15090150;Fischbeck (Elbe);-;-;-;-;-;-
15090155;Flessau;-;-;-;-;-;-
15090160;Gagel;-;-;-;-;-;-
15090165;Garlipp;-;-;-;-;-;-
15090170;Geestgottberg;-;-;-;-;-;-
15090175;Gladigau;-;-;-;-;-;-
15090180;Goldbeck;1443;762;681;.;0;.
15090185;Gollensdorf;-;-;-;-;-;-
15090190;Grassau b. Stendal;-;-;-;-;-;-
15090195;Grieben b. Tangerhütte;-;-;-;-;-;-
15090200;Grobleben;-;-;-;-;-;-
15090205;Groß Garz;-;-;-;-;-;-
15090210;Groß Schwechten;-;-;-;-;-;-
15090215;Hämerten;-;-;-;-;-;-
15090220;Hassel;417;202;215;0;0;0
15090225;Havelberg, Hansestadt;2070;1034;1036;27;12;15
15090230;Heeren;-;-;-;-;-;-
15090235;Heiligenfelde;-;-;-;-;-;-
15090245;Hohenberg-Krusemark;520;289;231;0;0;0
15090250;Hohengöhren;-;-;-;-;-;-
15090255;Hohenwulsch;-;-;-;-;-;-
15090260;Holzhausen b. Kolbe, Milde;-;-;-;-;-;-
15090265;Hüselitz;-;-;-;-;-;-
15090270;Iden;358;187;171;.;0;.
15090275;Insel;-;-;-;-;-;-
15090280;Jerchel b. Tangerhütte;-;-;-;-;-;-
15090285;Kamern;483;252;231;.;.;.
15090290;Käthen;-;-;-;-;-;-
15090295;Kehnert;-;-;-;-;-;-
15090300;Kläden b. Stendal;-;-;-;-;-;-
15090305;Klein Schwechten;-;-;-;-;-;-
15090310;Klietz;584;312;272;.;0;.
15090315;Königsmark;-;-;-;-;-;-
15090320;Könnigde;-;-;-;-;-;-
15090325;Kossebau;-;-;-;-;-;-
15090330;Kremkau;-;-;-;-;-;-
15090335;Krevese;-;-;-;-;-;-
15090340;Krüden;-;-;-;-;-;-
15090345;Langensalzwedel;-;-;-;-;-;-
15090350;Lichterfelde;-;-;-;-;-;-
15090355;Lindtorf;-;-;-;-;-;-
15090360;Losenrade;-;-;-;-;-;-
15090365;Losse;-;-;-;-;-;-
15090370;Lückstedt;-;-;-;-;-;-
15090375;Lüderitz;-;-;-;-;-;-
15090380;Meseberg, Altmark;-;-;-;-;-;-
15090385;Meßdorf;-;-;-;-;-;-
15090390;Miltern;-;-;-;-;-;-
15090395;Möringen;-;-;-;-;-;-
15090400;Nahrstedt;-;-;-;-;-;-
15090405;Neuermark-Lübars;-;-;-;-;-;-
15090410;Neukirchen (Altmark);-;-;-;-;-;-
15090415;Osterburg (Altmark), Hansestadt;4184;2211;1973;16;11;5
15090420;Pollitz;-;-;-;-;-;-
15090425;Querstedt;-;-;-;-;-;-
15090430;Ringfurth;-;-;-;-;-;-
15090435;Rochau;458;248;210;3;.;.
15090440;Rossau, Altmark;-;-;-;-;-;-
15090445;Sandau (Elbe), Stadt;325;164;161;.;.;0
15090450;Sandauerholz;-;-;-;-;-;-
15090455;Sanne;-;-;-;-;-;-
15090460;Schäplitz;-;-;-;-;-;-
15090465;Schelldorf;-;-;-;-;-;-
15090470;Schernebeck;-;-;-;-;-;-
15090475;Schernikau;-;-;-;-;-;-
15090480;Schinne;-;-;-;-;-;-
15090485;Schollene;434;236;198;0;0;0
15090490;Schönberg, Altmark;-;-;-;-;-;-
15090495;Schönfeld b. Schönhausen, Elbe;-;-;-;-;-;-
15090500;Schönhausen (Elbe);862;429;433;.;.;0
15090505;Schönwalde (Altmark);-;-;-;-;-;-
15090510;Schorstedt;-;-;-;-;-;-
15090515;Schwarzholz;-;-;-;-;-;-
15090520;Seehausen (Altmark), Hansestadt;1831;970;861;14;11;3
15090525;Staats;-;-;-;-;-;-
15090530;Steinfeld (Altmark);-;-;-;-;-;-
15090535;Stendal, Hansestadt;14320;7417;6903;216;142;74
15090540;Storkau (Elbe);-;-;-;-;-;-
15090545;Tangerhütte;-;-;-;-;-;-
15090546;Tangerhütte, Stadt;4404;2388;2016;47;39;8
15090550;Tangermünde, Stadt;4134;2110;2024;36;24;12
15090555;Uchtdorf;-;-;-;-;-;-
15090560;Uchtspringe;-;-;-;-;-;-
15090565;Uenglingen;-;-;-;-;-;-
15090570;Uetz;-;-;-;-;-;-
15090575;Vinzelberg;-;-;-;-;-;-
15090580;Volgfelde;-;-;-;-;-;-
15090585;Wahrenberg;-;-;-;-;-;-
15090590;Walsleben, Altmark;-;-;-;-;-;-
15090595;Wanzer;-;-;-;-;-;-
15090600;Weißewarte;-;-;-;-;-;-
15090605;Wendemark;-;-;-;-;-;-
15090610;Werben (Elbe), Hansestadt;371;217;154;0;0;0
15090615;Windberge;-;-;-;-;-;-
15090620;Wittenmoor;-;-;-;-;-;-
15090625;Wulkau;-;-;-;-;-;-
15090630;Wust b. Schönhausen, Elbe;-;-;-;-;-;-
15090631;Wust-Fischbeck;506;278;228;0;0;0
15090635;Zehrental;349;191;158;0;0;0
15091005;Abtsdorf;-;-;-;-;-;-
15091010;Annaburg, Stadt;2609;1458;1151;23;.;.
15091015;Axien;-;-;-;-;-;-
15091020;Bad Schmiedeberg, Stadt;3258;1677;1581;32;16;16
15091025;Bethau;-;-;-;-;-;-
15091030;Boßdorf;-;-;-;-;-;-
15091035;Brandhorst;-;-;-;-;-;-
15091040;Bräsen;-;-;-;-;-;-
15091045;Buko;-;-;-;-;-;-
15091055;Cobbelsdorf;-;-;-;-;-;-
15091060;Coswig (Anhalt), Stadt;4829;2509;2320;94;67;27
15091065;Dabrun;-;-;-;-;-;-
15091070;Dietrichsdorf;-;-;-;-;-;-
15091080;Düben;-;-;-;-;-;-
15091085;Elster (Elbe);-;-;-;-;-;-
15091090;Eutzsch;-;-;-;-;-;-
15091095;Gadegast;-;-;-;-;-;-
15091100;Globig-Bleddin;-;-;-;-;-;-
15091105;Gohrau;-;-;-;-;-;-
15091110;Gräfenhainichen, Stadt;4566;2336;2230;57;42;15
15091120;Griesen;-;-;-;-;-;-
15091125;Groß Naundorf;-;-;-;-;-;-
15091130;Horstdorf;-;-;-;-;-;-
15091135;Hundeluft;-;-;-;-;-;-
15091140;Jeber-Bergfrieden;-;-;-;-;-;-
15091145;Jessen (Elster), Stadt;5133;2713;2420;112;68;44
15091155;Kakau;-;-;-;-;-;-
15091160;Kemberg, Stadt;4052;2096;1956;17;.;.
15091165;Klieken;-;-;-;-;-;-
15091170;Klöden;-;-;-;-;-;-
15091175;Korgau;-;-;-;-;-;-
15091180;Köselitz;-;-;-;-;-;-
15091185;Kropstädt;-;-;-;-;-;-
15091190;Labrun;-;-;-;-;-;-
15091195;Lebien;-;-;-;-;-;-
15091200;Leetza;-;-;-;-;-;-
15091205;Listerfehrda;-;-;-;-;-;-
15091210;Meuro b. Lutherstadt Eisleben;-;-;-;-;-;-
15091215;Mochau b. Lutherstadt Eisleben;-;-;-;-;-;-
15091220;Möhlau;-;-;-;-;-;-
15091225;Möllensdorf;-;-;-;-;-;-
15091230;Mühlanger;-;-;-;-;-;-
15091235;Naundorf bei Seyda;-;-;-;-;-;-
15091240;Oranienbaum;-;-;-;-;-;-
15091241;Oranienbaum-Wörlitz, Stadt;3375;1743;1632;48;28;20
15091245;Plossig;-;-;-;-;-;-
15091250;Prettin;-;-;-;-;-;-
15091255;Pretzsch (Elbe);-;-;-;-;-;-
15091260;Priesitz;-;-;-;-;-;-
15091265;Rackith;-;-;-;-;-;-
15091270;Radis;-;-;-;-;-;-
15091275;Ragösen b. Dessua, Anh;-;-;-;-;-;-
15091280;Rehsen;-;-;-;-;-;-
15091285;Riesigk;-;-;-;-;-;-
15091290;Rotta;-;-;-;-;-;-
15091295;Schköna;-;-;-;-;-;-
15091300;Schleesen;-;-;-;-;-;-
15091305;Schnellin;-;-;-;-;-;-
15091310;Schützberg;-;-;-;-;-;-
15091315;Selbitz b. Bitterfeld;-;-;-;-;-;-
15091320;Senst;-;-;-;-;-;-
15091325;Serno;-;-;-;-;-;-
15091330;Söllichau;-;-;-;-;-;-
15091335;Stackelitz;-;-;-;-;-;-
15091340;Straach;-;-;-;-;-;-
15091345;Thießen;-;-;-;-;-;-
15091350;Tornau;-;-;-;-;-;-
15091355;Trebitz;-;-;-;-;-;-
15091360;Uthausen;-;-;-;-;-;-
15091365;Vockerode;-;-;-;-;-;-
15091370;Wartenburg;-;-;-;-;-;-
15091375;Wittenberg, Lutherstadt;17958;9255;8703;348;229;119
15091380;Wörlitz;-;-;-;-;-;-
15091390;Zahna;-;-;-;-;-;-
15091391;Zahna-Elster, Stadt;3841;1984;1857;30;19;11
15091395;Zemnick;-;-;-;-;-;-
15091400;Zörnigall;-;-;-;-;-;-
15091405;Zschornewitz;-;-;-;-;-;-
15101000;Dessau, Kreisfreie Stadt;-;-;-;-;-;-
15151000;Anhalt-Zerbst, Kreis;-;-;-;-;-;-
15153000;Bernburg, Kreis;-;-;-;-;-;-
15154000;Bitterfeld, Kreis;-;-;-;-;-;-
15159000;Köthen, Kreis;-;-;-;-;-;-
15171000;Wittenberg, Kreis;-;-;-;-;-;-
15202000;Halle (Saale), Kreisfreie Stadt;-;-;-;-;-;-
15256000;Burgenlandkreis;-;-;-;-;-;-
15260000;Mansfelder Land, Kreis;-;-;-;-;-;-
15261000;Merseburg-Querfurt, Kreis;-;-;-;-;-;-
15265000;Saalkreis;-;-;-;-;-;-
15266000;Sangerhausen, Kreis;-;-;-;-;-;-
15268000;Weißenfels, Kreis;-;-;-;-;-;-
15303000;Magdeburg, Kreisfreie Stadt;-;-;-;-;-;-
15352000;Aschersleben-Staßfurt, Kreis;-;-;-;-;-;-
15355000;Bördekreis;-;-;-;-;-;-
15357000;Halberstadt, Kreis;-;-;-;-;-;-
15358000;Jerichower Land, Kreis;-;-;-;-;-;-
15362000;Ohrekreis;-;-;-;-;-;-
15363000;Stendal, Kreis;-;-;-;-;-;-
15364000;Quedlinburg, Kreis;-;-;-;-;-;-
15367000;Schönebeck, Kreis;-;-;-;-;-;-
15369000;Wernigerode, Kreis;-;-;-;-;-;-
15370000;Altmarkkreis Salzwedel, Kreis;-;-;-;-;-;-
16051000;Erfurt, krsfr. Stadt;78137;39272;38865;3064;1899;1165
16052000;Gera, krsfr. Stadt;33655;17098;16557;607;431;176
16053000;Jena, krsfr. Stadt;38783;19793;18990;1455;815;640
16054000;Suhl, krsfr. Stadt;13343;6659;6684;469;267;202
16055000;Weimar, krsfr. Stadt;21778;10774;11004;896;547;349
16056000;Eisenach, krsfr. Stadt;16630;8851;7779;672;415;257
16061001;Arenshausen;484;255;229;9;4;5
16061002;Asbach-Sickenberg;31;14;17;-;-;-
16061003;Berlingerode;544;291;253;-;-;-
16061004;Bernterode (bei Heilbad Heiligenstadt);107;62;45;-;-;-
16061005;Bernterode (bei Worbis);-;-;-;-;-;-
16061007;Birkenfelde;242;134;108;.;.;-
16061009;Bischofferode;-;-;-;-;-;-
