GENESIS-Tabelle: 13111-02-02-5-B
Sozialversicherungspflichtig Beschäftigte am Wohnort;;;;;;;
nach Geschlecht und Nationalität - Stichtag 30.06. -;;;;;;;
regionale Ebenen;;;;;;;
Sozialversicherungspflichtig Beschäftigte;;;;;;;
Sozialversicherungspfl. Beschäftigte (Wohnort) (Anzahl);;;;;;;
30.06.2015;;;;;;;
;;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität;Nationalität
;;Insgesamt;Insgesamt;Insgesamt;Ausländer(innen);Ausländer(innen);Ausländer(innen)
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
01054032;Fresendelf;28;17;11;-;-;-
01054033;Friedrichstadt;694;356;338;28;14;14
01054034;Friedrich-Wilhelm-Lübke-Koog;55;35;20;-;-;-
01054035;Garding, Kirchspiel;51;22;29;.;-;.
01054036;Garding;981;445;536;34;18;16
01054037;Goldebek;110;60;50;.;-;.
01054038;Goldelund;128;69;59;.;-;.
01054039;Gröde;4;4;-;-;-;-
01054040;Grothusenkoog;5;.;.;.;.;.
01054041;Haselund;363;201;162;.;-;.
01054042;Hattstedt;857;442;415;6;3;3
01054043;Hattstedtermarsch;90;44;46;5;.;.
01054045;Högel;126;73;53;3;.;.
01054046;Hörnum (Sylt);446;229;217;53;26;27
01054048;Holm;35;19;16;-;-;-
01054050;Hallig Hooge;39;21;18;6;.;.
01054052;Horstedt;286;149;137;.;-;.
01054054;Hude;54;34;20;-;-;-
01054055;Humptrup;215;121;94;3;3;-
01054056;Husum;7174;3532;3642;258;168;90
01054057;Immenstedt;262;151;111;24;.;.
01054059;Joldelund;235;131;104;3;.;.
01054061;Kampen (Sylt);166;88;78;36;16;20
01054062;Karlum;66;33;33;-;-;-
01054063;Katharinenheerd;61;31;30;-;-;-
01054065;Klanxbüll;415;217;198;20;12;8
01054068;Klixbüll;344;182;162;10;3;7
01054070;Koldenbüttel;324;177;147;9;.;.
01054071;Kolkerheide;22;15;7;3;.;.
01054072;Kotzenbüll;71;39;32;.;.;.
01054073;Ladelund;453;238;215;7;.;.
01054074;Langeneß;42;28;14;6;.;.
01054075;Langenhorn;1080;584;496;10;.;.
01054076;Leck;2631;1349;1282;59;20;39
01054077;Lexgaard;23;12;11;-;-;-
01054078;List;801;400;401;166;82;84
01054079;Löwenstedt;250;137;113;.;-;.
01054080;Lütjenholm;110;68;42;.;.;.
01054083;Midlum;186;88;98;9;4;5
01054084;Mildstedt;1346;665;681;16;10;6
01054085;Nebel;417;182;235;29;10;19
01054086;Neukirchen;452;261;191;17;13;4
01054087;Nieblum;175;84;91;19;11;8
01054088;Niebüll;3830;1948;1882;248;125;123
01054089;Norddorf auf Amrum;284;131;153;38;19;19
01054090;Norderfriedrichskoog;11;5;6;.;.;.
01054091;Nordstrand;612;343;269;3;.;.
01054092;Norstedt;149;88;61;.;.;.
01054093;Ockholm;93;50;43;.;-;.
01054094;Oevenum;177;81;96;9;3;6
01054095;Oldenswort;451;242;209;7;.;.
01054096;Oldersbek;256;151;105;.;.;.
01054097;Olderup;147;82;65;.;-;.
01054098;Oldsum;167;87;80;.;.;.
01054099;Ostenfeld (Husum);487;245;242;6;3;3
01054100;Osterhever;68;35;33;4;4;-
01054101;Oster-Ohrstedt;199;111;88;.;.;.
01054103;Pellworm;318;163;155;15;5;10
01054104;Poppenbüll;49;24;25;.;.;.
01054105;Ramstedt;137;80;57;3;.;.
01054106;Rantrum;679;358;321;3;.;.
01054107;Rantum (Sylt);-;-;-;-;-;-
01054108;Reußenköge;91;51;40;14;8;6
01054109;Risum-Lindholm;1465;786;679;22;9;13
01054110;Rodenäs;180;103;77;6;.;.
01054113;Sankt Peter-Ording;1254;614;640;223;145;78
01054116;Schwabstedt;396;216;180;.;-;.
01054118;Schwesing;330;158;172;3;.;.
01054119;Seeth;163;86;77;.;.;.
01054120;Simonsberg;264;144;120;3;.;.
01054121;Sönnebüll;104;54;50;4;.;.
01054123;Sollwitt;91;56;35;.;.;.
01054124;Sprakebüll;92;53;39;-;-;-
01054125;Stadum;333;178;155;-;-;-
01054126;Stedesand;320;177;143;.;.;.
01054128;Struckum;335;175;160;.;.;.
01054129;Süderende;70;35;35;.;.;.
01054130;Süderhöft;7;4;3;-;-;-
01054131;Süderlügum;720;357;363;19;13;6
01054132;Südermarsch;50;26;24;.;-;.
01054133;Sylt-Ost;-;-;-;-;-;-
01054134;Tating;322;159;163;30;19;11
01054135;Tetenbüll;171;78;93;4;.;.
01054136;Tinningstedt;85;38;47;4;.;.
01054138;Tönning;1587;824;763;54;28;26
01054140;Tümlauer Koog;33;20;13;-;-;-
01054141;Uelvesbüll;90;45;45;.;.;.
01054142;Uphusum;139;67;72;.;.;.
01054143;Utersum;157;70;87;9;3;6
01054144;Viöl;792;413;379;4;.;.
01054145;Vollerwiek;55;27;28;.;.;.
01054146;Vollstedt;64;34;30;-;-;-
01054148;Welt;74;33;41;3;.;.
01054149;Wenningstedt-Braderup (Sylt);552;258;294;84;47;37
01054150;Westerhever;26;11;15;-;-;-
01054151;Westerland;-;-;-;-;-;-
01054152;Wester-Ohrstedt;382;207;175;6;.;.
01054154;Westre;139;71;68;7;4;3
01054156;Winnert;234;135;99;4;.;.
01054157;Wisch;39;24;15;.;.;.
01054158;Witsum;7;.;.;-;-;-
01054159;Wittbek;235;134;101;3;3;-
01054160;Wittdün auf Amrum;401;184;217;30;14;16
01054161;Witzwort;311;161;150;.;.;.
01054162;Wobbenbüll;129;72;57;-;-;-
01054163;Wrixum;253;123;130;15;9;6
01054164;Wyk auf Föhr;1650;741;909;157;69;88
01054165;Galmsbüll;211;118;93;3;.;.
01054166;Emmelsbüll-Horsbüll;303;153;150;5;.;.
01054167;Enge-Sande;405;216;189;.;.;.
01054168;Sylt;6340;3085;3255;881;475;406
01055001;Ahrensbök;3178;1637;1541;62;42;20
01055002;Altenkrempe;432;217;215;7;3;4
01055004;Bad Schwartau;6688;3344;3344;196;108;88
01055006;Beschendorf;200;102;98;-;-;-
01055007;Bosau;1161;614;547;11;8;3
01055010;Dahme;346;172;174;29;13;16
01055011;Damlos;247;120;127;.;.;.
01055012;Eutin;5287;2568;2719;143;99;44
01055014;Göhl;441;233;208;3;3;-
01055015;Gremersdorf;584;306;278;29;15;14
01055016;Grömitz;2194;1110;1084;233;141;92
01055017;Großenbrode;662;325;337;24;14;10
01055018;Grube;367;176;191;11;4;7
01055020;Harmsdorf;242;135;107;-;-;-
01055021;Heiligenhafen;2833;1390;1443;110;54;56
01055022;Heringsdorf (Holstein);348;184;164;8;.;.
01055023;Kabelhorst;166;77;89;3;.;.
01055024;Kasseedorf;526;270;256;8;5;3
01055025;Kellenhusen (Ostsee);264;118;146;47;18;29
01055027;Lensahn;1825;922;903;42;22;20
01055028;Malente;3311;1603;1708;77;37;40
01055029;Manhagen;139;76;63;.;-;.
01055031;Neukirchen;411;212;199;8;5;3
01055032;Neustadt in Holstein;5220;2472;2748;199;116;83
01055033;Oldenburg in Holstein;3350;1687;1663;90;54;36
01055035;Ratekau;5644;2801;2843;157;95;62
01055036;Riepsdorf;328;159;169;5;.;.
01055037;Schashagen;785;395;390;14;7;7
01055038;Schönwalde am Bungsberg;878;459;419;9;6;3
01055039;Sierksdorf;473;250;223;56;30;26
01055040;Stockelsdorf;6365;3253;3112;136;73;63
01055041;Süsel;1843;930;913;28;13;15
01055042;Timmendorfer Strand;2812;1326;1486;307;146;161
01055043;Wangels;782;423;359;49;25;24
01055044;Scharbeutz;3595;1757;1838;208;128;80
01055046;Fehmarn;4509;2211;2298;388;191;197
01056001;Appen;1866;919;947;80;50;30
01056002;Barmstedt;3769;1969;1800;190;116;74
01056003;Bevern;268;136;132;14;7;7
01056004;Bilsen;303;171;132;13;6;7
01056005;Bönningstedt;1736;902;834;118;59;59
01056006;Bokel;217;115;102;.;.;.
01056008;Bokholt-Hanredder;420;234;186;18;8;10
01056009;Borstel-Hohenraden;942;491;451;50;32;18
01056010;Brande-Hörnerkirchen;624;320;304;13;7;6
01056011;Bullenkuhlen;163;96;67;16;13;3
01056013;Ellerbek;1459;754;705;99;60;39
01056014;Ellerhoop;566;300;266;24;21;3
01056015;Elmshorn;19380;10418;8962;1582;960;622
01056016;Groß Nordende;286;147;139;11;.;.
01056017;Groß Offenseth-Aspern;180;99;81;15;11;4
01056018;Halstenbek;6396;3298;3098;412;238;174
01056019;Haselau;431;237;194;22;18;4
01056020;Haseldorf;696;352;344;12;6;6
01056021;Hasloh;1347;703;644;62;35;27
01056022;Heede;275;140;135;.;.;.
01056023;Heidgraben;1020;532;488;28;18;10
01056024;Heist;1130;598;532;16;10;6
01056025;Helgoland;780;412;368;142;72;70
01056026;Hemdingen;687;357;330;17;11;6
01056027;Hetlingen;551;295;256;10;7;3
01056028;Holm;1229;669;560;64;44;20
01056029;Klein Nordende;1144;585;559;17;11;6
01056030;Klein Offenseth-Sparrieshoop;1170;632;538;35;20;15
01056031;Kölln-Reisiek;1194;625;569;47;22;25
01056032;Kummerfeld;843;447;396;51;32;19
01056033;Seester;345;189;156;4;4;-
01056034;Langeln;226;116;110;5;.;.
01056035;Lutzhorn;301;153;148;8;.;.
01056036;Moorrege;1674;857;817;29;18;11
01056037;Neuendeich;181;97;84;3;3;-
01056038;Osterhorn;158;93;65;18;11;7
01056039;Pinneberg;16306;8548;7758;1576;930;646
01056040;Prisdorf;947;478;469;47;23;24
01056041;Quickborn;7891;4110;3781;444;257;187
01056042;Raa-Besenbek;213;104;109;4;.;.
01056043;Rellingen;5326;2751;2575;309;177;132
01056044;Schenefeld, Stadt;7546;3887;3659;504;281;223
01056045;Seestermühe;366;187;179;5;.;.
01056046;Seeth-Ekholt;351;181;170;18;9;9
01056047;Tangstedt;928;501;427;70;42;28
01056048;Tornesch;5248;2779;2469;241;146;95
01056049;Uetersen;6937;3802;3135;581;383;198
01056050;Wedel;12081;6365;5716;1143;685;458
01056051;Westerhorn;536;286;250;17;10;7
01057001;Ascheberg (Holstein);1013;513;500;9;6;3
01057002;Barmissen;63;27;36;.;.;.
01057003;Barsbek;202;105;97;.;-;.
01057004;Behrensdorf (Ostsee);193;101;92;.;.;.
01057005;Belau;136;74;62;.;.;.
01057006;Bendfeld;83;43;40;.;.;.
01057007;Blekendorf;567;295;272;13;8;5
01057008;Bönebüttel;824;384;440;11;4;7
01057009;Bösdorf;443;228;215;10;4;6
01057010;Boksee;192;90;102;-;-;-
01057011;Bothkamp;116;67;49;9;6;3
01057012;Brodersdorf;158;83;75;11;5;6
01057013;Dannau;216;105;111;.;.;.
01057015;Dersau;285;152;133;.;.;.
01057016;Dobersdorf;401;217;184;8;8;-
01057017;Dörnick;63;31;32;.;.;.
01057018;Fahren;41;20;21;-;-;-
01057020;Fiefbergen;218;113;105;.;.;.
01057021;Giekau;362;188;174;6;.;.
01057022;Grebin;324;168;156;5;.;.
01057023;Großbarkau;78;40;38;.;.;.
01057024;Großharrie;176;93;83;-;-;-
01057025;Heikendorf;2344;1147;1197;56;23;33
01057026;Helmstorf;102;53;49;3;.;.
01057027;Högsdorf;160;78;82;-;-;-
01057028;Höhndorf;138;73;65;.;.;.
01057029;Hohenfelde;321;172;149;7;.;.
01057030;Hohwacht (Ostsee);216;115;101;14;6;8
01057031;Honigsee;180;89;91;5;.;.
01057032;Kalübbe;213;112;101;-;-;-
01057033;Kirchbarkau;271;133;138;3;.;.
01057034;Kirchnüchel;61;35;26;.;-;.
01057035;Klamp;258;136;122;.;.;.
01057037;Klein Barkau;88;44;44;.;.;.
01057038;Kletkamp;34;18;16;.;.;.
01057039;Köhn;276;148;128;5;.;.
01057040;Krokau;168;94;74;.;.;.
01057041;Krummbek;147;72;75;4;.;.
01057042;Kühren;266;138;128;9;6;3
01057043;Laboe;1447;757;690;51;25;26
01057044;Lammershagen;89;44;45;.;.;.
01057045;Lebrade;220;116;104;11;7;4
01057046;Lehmkuhlen;521;270;251;6;.;.
01057047;Löptin;116;61;55;3;.;.
01057048;Lütjenburg;1633;807;826;38;22;16
01057049;Lutterbek;136;78;58;-;-;-
01057050;Martensrade;378;201;177;3;.;.
01057051;Mönkeberg;1263;600;663;42;25;17
01057052;Mucheln;217;122;95;3;.;.
01057053;Nehmten;84;39;45;.;.;.
01057054;Nettelsee;186;95;91;.;.;.
01057055;Panker;478;241;237;9;.;.
01057056;Passade;97;49;48;-;-;-
01057057;Plön;2630;1257;1373;86;44;42
01057058;Pohnsdorf;164;80;84;3;.;.
