GENESIS-Tabelle: 14335-01-02-5
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Gemeinde;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13.05.2012;05366036;Schleiden;10357;58,3;5921;2054;1717;499;787;105;759
13.05.2012;05366040;Weilerswist;12885;57,8;7312;2019;2727;648;741;149;1028
13.05.2012;05366044;Zülpich;15713;57,9;8898;2883;2829;798;844;219;1325
13.05.2012;05370004;Erkelenz;34720;58,7;20048;6737;6651;1857;1804;332;2667
13.05.2012;05370008;Gangelt;8421;59,6;4855;2286;1196;377;357;52;587
13.05.2012;05370012;Geilenkirchen;20619;57,6;11617;4196;3552;1147;847;250;1625
13.05.2012;05370016;Heinsberg (Rhld.);30935;56,4;17044;7302;4656;1266;1304;336;2180
13.05.2012;05370020;Hückelhoven;27969;53,3;14594;4689;5706;995;840;372;1992
13.05.2012;05370024;Selfkant;5512;60,7;3268;1413;846;259;330;39;381
13.05.2012;05370028;Übach-Palenberg;18461;54,4;9829;2542;4181;810;536;270;1490
13.05.2012;05370032;Waldfeucht;6483;63,1;3967;1937;864;323;273;54;516
13.05.2012;05370036;Wassenberg;13059;56,2;7183;2372;2446;670;591;158;946
13.05.2012;05370040;Wegberg;21962;61,1;13242;4332;4267;1207;1480;237;1719
13.05.2012;05374004;Bergneustadt;13250;55,1;7159;2410;2595;527;615;133;879
13.05.2012;05374008;Engelskirchen;15204;62,7;9421;2550;3653;1030;874;183;1131
13.05.2012;05374012;Gummersbach;38286;56,0;21063;6236;7566;2050;2062;487;2662
13.05.2012;05374016;Hückeswagen;12115;60,8;7253;2354;2409;736;684;125;945
13.05.2012;05374020;Lindlar;16416;60,6;9849;3478;3282;1008;1001;124;956
13.05.2012;05374024;Marienheide;10307;59,5;6016;1991;2066;573;588;105;693
