GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01057058;Pohnsdorf;181;87;88;-;6
01057059;Postfeld;181;155;26;-;-
01057060;Prasdorf;165;113;52;-;-
01057062;Preetz;7495;3884;3436;12;163
01057063;Probsteierhagen;925;559;339;-;27
01057065;Rantzau;167;99;62;6;-
01057066;Rastorf;365;245;111;-;9
01057067;Rathjensdorf;208;153;55;-;-
01057068;Rendswühren;301;222;70;-;9
01057069;Ruhwinkel;356;222;112;3;19
01057070;Schellhorn;692;492;178;3;19
01057071;Schillsdorf;350;247;94;-;9
01057072;Schlesen;212;134;71;-;7
01057073;Schönberg (Holstein);3557;1857;1177;428;95
01057074;Schönkirchen;2938;1674;1210;9;45
01057076;Schwartbuck;343;211;126;-;6
01057077;Selent;575;337;234;-;4
01057078;Stakendorf;202;134;59;9;-
01057079;Stein;452;261;145;46;0
01057080;Stolpe;542;355;166;3;18
01057081;Stoltenberg;139;108;25;-;6
01057082;Tröndel;175;112;37;16;10
01057083;Tasdorf;158;121;37;-;-
01057084;Wahlstorf;226;151;71;4;-
01057085;Wankendorf;1260;623;599;-;38
01057086;Warnau;147;86;58;-;3
01057087;Wendtorf;594;354;118;106;16
01057088;Wisch;432;261;54;102;15
01057089;Wittmoldt;89;60;18;11;-
01057090;Fargau-Pratjau;310;228;76;0;6
01057091;Schwentinental;6338;4140;2128;3;67
01058001;Achterwehr;386;313;69;4;-
01058003;Alt Duvenstedt;769;445;309;-;15
01058004;Altenhof;146;69;71;3;3
01058005;Altenholz;4629;2854;1679;15;81
01058007;Arpsdorf;110;78;32;-;-
01058008;Ascheffel;395;262;127;-;6
01058009;Aukrug;1557;1041;468;6;42
01058010;Bargstall;53;45;8;-;-
01058011;Bargstedt;300;233;64;-;3
